upsell_id,customer_id,upsell_date,from_plan,to_plan,add_on,add_on_revenue,sales_rep,country
U00062,C00051,2023-11-12,premium,enterprise,,2886,SR03,DK
U00063,C00102,2023-11-21,premium,enterprise,,1670,SR05,DK
U00064,C00220,2023-11-19,premium,enterprise,,2940,SR02,DK
U00065,C00155,2023-11-17,premium,premium,bookkeeping_add_on,795,SR05,DK
U00066,C00485,2023-11-24,basic,premium,,2933,SR09,DK
U00067,C00435,2023-12-19,basic,premium,,743,SR02,DK
U00068,C00104,2023-12-06,enterprise,enterprise,audit_add_on,555,SR07,DK
U00069,C00426,2023-12-05,basic,basic,tax_advisory_add_on,578,SR01,DK
U00070,C00142,2023-12-15,basic,premium,,1246,SR02,DK
U00071,C00465,2023-12-16,premium,enterprise,,1951,SR06,DK
U00072,C00028,2023-12-07,basic,basic,bookkeeping_add_on,748,SR06,DK
U00073,C00283,2024-01-12,basic,premium,,821,SR04,DK
U00074,C00397,2024-01-27,basic,basic,audit_add_on,703,SR08,DK
U00075,C00115,2024-01-21,enterprise,enterprise,tax_advisory_add_on,773,SR05,DK
U00076,C00240,2024-01-25,basic,basic,bookkeeping_add_on,394,SR03,DK
U00077,C00340,2024-01-09,basic,premium,,568,SR05,DK
U00078,C00467,2024-01-03,premium,enterprise,,917,SR10,DK
U00079,C00150,2024-02-23,premium,enterprise,,1613,SR07,DK
U00080,C00200,2024-02-08,enterprise,enterprise,audit_add_on,375,SR03,DK
U00081,C00191,2024-02-12,basic,premium,,748,SR11,DK
U00082,C00344,2024-02-15,premium,enterprise,,455,SR06,DK
U00083,C00467,2024-02-04,basic,premium,,3457,SR08,DK
U00084,C00126,2024-02-26,basic,premium,,2057,SR11,DK
U00085,C00584,2024-03-25,premium,premium,audit_add_on,535,SR07,DK
U00086,C00244,2024-03-03,premium,enterprise,,2021,SR09,DK
U00087,C00471,2024-03-15,enterprise,enterprise,audit_add_on,307,SR11,DK
U00088,C00512,2024-03-19,enterprise,enterprise,audit_add_on,310,SR06,DK
U00089,C00530,2024-03-16,premium,enterprise,,1526,SR11,DK
U00090,C00312,2024-03-07,enterprise,enterprise,payroll_add_on,332,SR04,DK
U00091,C00184,2024-04-25,premium,enterprise,,2111,SR11,DK
U00092,C00095,2024-04-04,premium,enterprise,,2470,SR12,DK
U00093,C00153,2024-04-14,basic,premium,,823,SR02,DK
U00094,C00374,2024-04-24,premium,enterprise,,1022,SR10,DK
U00095,C00525,2024-04-28,basic,premium,,1615,SR06,DK
U00096,C00586,2024-04-28,basic,premium,,2362,SR05,DK
U00097,C00348,2024-05-23,premium,premium,bookkeeping_add_on,722,SR12,DK
U00098,C00467,2024-05-13,basic,premium,,1753,SR12,DK
U00099,C00464,2024-05-23,basic,premium,,1929,SR10,DK
U00100,C00165,2024-05-14,premium,enterprise,,3494,SR09,DK
U00101,C00570,2024-05-06,basic,premium,,3264,SR03,DK
U00102,C00162,2024-05-02,enterprise,enterprise,payroll_add_on,378,SR04,DK
U00103,C00179,2024-06-22,basic,premium,,1535,SR03,DK
U00104,C00559,2024-06-04,basic,premium,,3311,SR07,DK
U00105,C00171,2024-06-18,premium,enterprise,,1295,SR06,DK
U00106,C00625,2024-06-19,enterprise,enterprise,payroll_add_on,302,SR10,DK
U00107,C00372,2024-06-26,basic,basic,bookkeeping_add_on,756,SR09,DK
U00108,C00269,2024-06-12,enterprise,enterprise,audit_add_on,559,SR04,DK
U00109,C00247,2024-07-05,basic,basic,tax_advisory_add_on,860,SR11,DK
U00110,C00484,2024-07-01,premium,premium,tax_advisory_add_on,699,SR10,DK
U00111,C00297,2024-07-01,premium,premium,tax_advisory_add_on,605,SR09,DK
U00112,C00394,2024-07-19,premium,enterprise,,621,SR04,DK
U00113,C00460,2024-07-22,premium,premium,audit_add_on,494,SR11,DK
U00114,C00172,2024-07-01,premium,enterprise,,2675,SR07,DK
U00115,C00528,2024-08-08,basic,premium,,1963,SR12,DK
U00116,C00419,2024-08-28,premium,enterprise,,1425,SR06,DK
U00117,C00494,2024-08-26,basic,premium,,1745,SR03,DK
U00118,C00403,2024-08-10,premium,enterprise,,1960,SR06,DK
U00119,C00523,2024-08-09,basic,premium,,2847,SR10,DK
U00120,C00444,2024-08-19,basic,premium,,416,SR01,DK
U00121,C00426,2024-09-28,premium,enterprise,,2077,SR01,DK
U00122,C00151,2024-09-24,enterprise,enterprise,bookkeeping_add_on,417,SR12,DK
U00123,C00111,2024-09-14,basic,basic,bookkeeping_add_on,746,SR04,DK
U00124,C00282,2024-09-01,basic,premium,,2017,SR12,DK
U00125,C00675,2024-09-01,enterprise,enterprise,tax_advisory_add_on,884,SR02,DK
U00126,C00459,2024-09-24,premium,premium,tax_advisory_add_on,657,SR10,DK
U00127,C00669,2024-10-08,basic,premium,,3285,SR01,DK
U00128,C00265,2024-10-28,basic,premium,,901,SR12,DK
U00129,C00548,2024-10-01,basic,basic,bookkeeping_add_on,570,SR02,DK
U00130,C00242,2024-10-13,basic,premium,,2542,SR04,DK
U00131,C00637,2024-10-20,premium,premium,tax_advisory_add_on,549,SR09,DK
U00132,C00499,2024-10-07,basic,premium,,1155,SR08,DK
U00133,C00230,2024-11-02,basic,premium,,2795,SR03,DK
U00134,C00149,2024-11-17,premium,enterprise,,1798,SR06,DK
U00135,C00672,2024-11-15,premium,enterprise,,1824,SR03,DK
U00136,C00688,2024-11-13,premium,enterprise,,2840,SR08,DK
U00137,C00149,2024-11-23,enterprise,enterprise,payroll_add_on,595,SR06,DK
U00138,C00618,2024-11-10,premium,enterprise,,770,SR02,DK
U00139,C00559,2024-12-14,premium,enterprise,,2729,SR03,DK
U00140,C00295,2024-12-28,basic,basic,bookkeeping_add_on,848,SR11,DK
U00141,C00465,2024-12-11,basic,basic,bookkeeping_add_on,466,SR06,DK
U00142,C00629,2024-12-26,enterprise,enterprise,bookkeeping_add_on,826,SR01,DK
U00143,C00734,2024-12-09,premium,premium,tax_advisory_add_on,317,SR05,DK
U00144,C00631,2024-12-04,basic,basic,tax_advisory_add_on,815,SR12,DK
U00145,C00795,2023-01-18,enterprise,enterprise,audit_add_on,634,SR06,NO
U00146,C01052,2023-01-20,premium,premium,tax_advisory_add_on,455,SR04,NO
U00147,C00970,2023-01-19,premium,enterprise,,3234,SR07,NO
U00148,C01074,2023-01-19,basic,premium,,3060,SR04,NO
U00149,C00927,2023-01-25,basic,premium,,1181,SR08,NO
U00150,C00953,2023-01-24,basic,premium,,1159,SR05,NO
U00151,C00841,2023-02-20,basic,basic,payroll_add_on,609,SR05,NO
U00152,C00957,2023-02-19,premium,premium,payroll_add_on,757,SR01,NO
U00153,C00910,2023-02-02,enterprise,enterprise,payroll_add_on,747,SR12,NO
U00154,C00915,2023-02-04,basic,premium,,2256,SR02,NO
U00155,C00930,2023-02-19,enterprise,enterprise,bookkeeping_add_on,296,SR08,NO
U00156,C00989,2023-02-18,premium,enterprise,,1884,SR11,NO
U00157,C00819,2023-03-14,basic,premium,,1618,SR09,NO
U00158,C00877,2023-03-05,premium,enterprise,,3397,SR08,NO
U00159,C01054,2023-03-21,basic,basic,payroll_add_on,568,SR01,NO
U00160,C00933,2023-03-18,basic,premium,,1444,SR10,NO
U00161,C00895,2023-03-03,enterprise,enterprise,tax_advisory_add_on,743,SR01,NO
U00162,C01073,2023-03-26,premium,enterprise,,3029,SR08,NO
U00163,C00799,2023-04-19,basic,premium,,985,SR06,NO
U00164,C00935,2023-04-02,basic,premium,,2833,SR11,NO
U00165,C00809,2023-04-07,premium,enterprise,,3448,SR08,NO
U00166,C00891,2023-04-11,premium,enterprise,,1479,SR03,NO
U00167,C00992,2023-04-07,premium,enterprise,,434,SR12,NO
U00168,C00868,2023-04-19,premium,enterprise,,2216,SR10,NO
U00169,C00844,2023-05-22,basic,premium,,1044,SR06,NO
U00170,C01005,2023-05-05,premium,enterprise,,2749,SR02,NO
U00171,C01070,2023-05-24,enterprise,enterprise,tax_advisory_add_on,770,SR06,NO
U00172,C01040,2023-05-27,basic,premium,,2692,SR03,NO
U00173,C01084,2023-05-14,basic,premium,,3179,SR05,NO
U00174,C00861,2023-05-03,premium,premium,bookkeeping_add_on,745,SR05,NO
U00175,C00952,2023-06-14,basic,premium,,1207,SR06,NO
U00176,C01124,2023-06-18,premium,premium,tax_advisory_add_on,851,SR12,NO
U00177,C01103,2023-06-09,premium,enterprise,,1411,SR12,NO
U00178,C01143,2023-06-14,premium,premium,bookkeeping_add_on,754,SR01,NO
U00179,C01085,2023-06-11,premium,enterprise,,798,SR10,NO
U00180,C01098,2023-06-13,basic,premium,,2188,SR06,NO
U00181,C00793,2023-07-16,premium,premium,tax_advisory_add_on,478,SR12,NO
U00182,C01133,2023-07-17,basic,premium,,3099,SR09,NO
U00183,C01150,2023-07-16,basic,premium,,2420,SR03,NO
U00184,C01091,2023-07-24,basic,premium,,2105,SR06,NO
U00185,C00830,2023-07-07,enterprise,enterprise,tax_advisory_add_on,760,SR08,NO
U00186,C00832,2023-07-04,enterprise,enterprise,audit_add_on,396,SR04,NO
U00187,C01160,2023-08-04,basic,premium,,1937,SR02,NO
U00188,C00822,2023-08-07,basic,premium,,487,SR02,NO
U00189,C01065,2023-08-20,premium,enterprise,,417,SR11,NO
U00190,C00907,2023-08-23,premium,premium,bookkeeping_add_on,281,SR04,NO
U00191,C01019,2023-08-09,basic,premium,,1906,SR08,NO
U00192,C00939,2023-08-07,premium,enterprise,,861,SR01,NO
U00193,C01201,2023-09-06,premium,enterprise,,2138,SR03,NO
U00194,C01211,2023-09-24,premium,enterprise,,2487,SR05,NO
U00195,C01067,2023-09-23,basic,basic,tax_advisory_add_on,402,SR09,NO
U00196,C01046,2023-09-05,enterprise,enterprise,bookkeeping_add_on,447,SR08,NO
U00197,C01040,2023-09-28,basic,premium,,701,SR04,NO
U00198,C01146,2023-09-21,basic,basic,bookkeeping_add_on,337,SR08,NO
U00199,C01126,2023-10-11,basic,basic,payroll_add_on,419,SR01,NO
U00200,C00849,2023-10-09,premium,enterprise,,2605,SR09,NO
U00201,C00848,2023-10-05,premium,enterprise,,690,SR10,NO
U00202,C01215,2023-10-24,premium,premium,tax_advisory_add_on,675,SR10,NO
U00203,C01276,2023-10-18,basic,basic,audit_add_on,315,SR05,NO
U00204,C01008,2023-10-23,premium,premium,bookkeeping_add_on,893,SR11,NO
U00205,C00957,2023-11-18,premium,premium,audit_add_on,334,SR07,NO
U00206,C01191,2023-11-18,basic,basic,bookkeeping_add_on,330,SR02,NO
U00207,C00947,2023-11-12,premium,enterprise,,2791,SR06,NO
U00208,C01134,2023-11-07,basic,basic,tax_advisory_add_on,360,SR03,NO
U00209,C01060,2023-11-10,premium,premium,tax_advisory_add_on,710,SR09,NO
U00210,C01052,2023-11-20,premium,premium,tax_advisory_add_on,725,SR04,NO
U00211,C00875,2023-12-01,basic,premium,,2934,SR03,NO
U00212,C00806,2023-12-06,basic,premium,,3001,SR03,NO
U00213,C00927,2023-12-04,premium,premium,audit_add_on,450,SR11,NO
U00214,C00907,2023-12-27,basic,premium,,2274,SR10,NO
U00215,C01239,2023-12-08,basic,premium,,1756,SR02,NO
U00216,C01164,2023-12-15,basic,premium,,2509,SR01,NO
U00217,C01313,2024-01-13,premium,enterprise,,3250,SR04,NO
U00218,C01295,2024-01-05,premium,enterprise,,451,SR02,NO
U00219,C01003,2024-01-27,premium,enterprise,,554,SR08,NO
U00220,C01182,2024-01-27,enterprise,enterprise,bookkeeping_add_on,534,SR08,NO
U00221,C00997,2024-01-21,premium,premium,payroll_add_on,694,SR02,NO
U00222,C00885,2024-01-24,basic,premium,,3162,SR12,NO
U00223,C00990,2024-02-20,enterprise,enterprise,audit_add_on,440,SR12,NO
U00224,C01338,2024-02-08,premium,enterprise,,3127,SR01,NO
U00225,C01220,2024-02-27,basic,basic,bookkeeping_add_on,280,SR08,NO
U00226,C01202,2024-02-04,premium,enterprise,,3096,SR04,NO
U00227,C01321,2024-02-13,premium,enterprise,,2162,SR09,NO
U00228,C01288,2024-02-22,basic,premium,,544,SR04,NO
U00229,C00841,2024-03-09,basic,premium,,2936,SR05,NO
U00230,C01004,2024-03-12,premium,enterprise,,2416,SR03,NO
U00231,C00838,2024-03-24,premium,enterprise,,1213,SR06,NO
U00232,C01250,2024-03-14,premium,enterprise,,3470,SR03,NO
U00233,C00887,2024-03-05,basic,basic,payroll_add_on,274,SR05,NO
U00234,C01343,2024-03-10,premium,enterprise,,1778,SR04,NO
U00235,C01205,2024-04-03,premium,premium,tax_advisory_add_on,545,SR11,NO
U00236,C00993,2024-04-25,basic,premium,,1168,SR01,NO
U00237,C00941,2024-04-16,premium,enterprise,,3409,SR10,NO
U00238,C01097,2024-04-05,premium,enterprise,,623,SR06,NO
U00239,C00934,2024-04-08,enterprise,enterprise,audit_add_on,792,SR05,NO
U00240,C01133,2024-04-18,basic,premium,,971,SR08,NO
U00241,C01398,2024-05-13,enterprise,enterprise,bookkeeping_add_on,774,SR04,NO
U00242,C00824,2024-05-20,basic,basic,bookkeeping_add_on,354,SR09,NO
U00243,C01268,2024-05-20,premium,enterprise,,752,SR03,NO
U00244,C00893,2024-05-18,enterprise,enterprise,bookkeeping_add_on,628,SR09,NO
U00245,C01408,2024-05-19,premium,enterprise,,1343,SR05,NO
U00246,C01012,2024-05-12,premium,enterprise,,1089,SR09,NO
U00247,C01231,2024-06-24,basic,premium,,1600,SR02,NO
U00248,C01150,2024-06-03,basic,basic,tax_advisory_add_on,627,SR10,NO
U00249,C00966,2024-06-23,premium,enterprise,,1156,SR12,NO
U00250,C01120,2024-06-08,basic,basic,audit_add_on,399,SR03,NO
U00251,C01116,2024-06-14,basic,basic,audit_add_on,634,SR02,NO
U00252,C01068,2024-06-20,premium,enterprise,,3335,SR06,NO
U00253,C01191,2024-07-23,basic,basic,audit_add_on,607,SR07,NO
U00254,C00852,2024-07-04,basic,basic,payroll_add_on,517,SR08,NO
U00255,C00802,2024-07-28,enterprise,enterprise,bookkeeping_add_on,728,SR08,NO
U00256,C00896,2024-07-15,enterprise,enterprise,bookkeeping_add_on,845,SR03,NO
U00257,C01303,2024-07-01,basic,premium,,1906,SR11,NO
U00258,C00977,2024-07-13,premium,enterprise,,527,SR02,NO
U00259,C01375,2024-08-14,enterprise,enterprise,payroll_add_on,278,SR02,NO
U00260,C01258,2024-08-05,enterprise,enterprise,payroll_add_on,677,SR02,NO
U00261,C01002,2024-08-16,basic,premium,,1280,SR08,NO
U00262,C00959,2024-08-20,basic,premium,,498,SR11,NO
U00263,C01023,2024-08-16,premium,enterprise,,761,SR04,NO
U00264,C01346,2024-08-05,basic,premium,,778,SR08,NO
U00265,C01313,2024-09-21,premium,enterprise,,1405,SR07,NO
U00266,C00841,2024-09-27,premium,enterprise,,1058,SR09,NO
U00267,C00897,2024-09-24,basic,premium,,1131,SR10,NO
U00268,C01191,2024-09-04,enterprise,enterprise,bookkeeping_add_on,329,SR11,NO
U00269,C01223,2024-09-10,enterprise,enterprise,payroll_add_on,883,SR09,NO
U00270,C00998,2024-09-18,basic,premium,,943,SR11,NO
U00271,C01509,2024-10-03,premium,enterprise,,2609,SR05,NO
U00272,C01167,2024-10-22,premium,enterprise,,861,SR03,NO
U00273,C01086,2024-10-26,basic,premium,,794,SR08,NO
U00274,C00873,2024-10-12,enterprise,enterprise,tax_advisory_add_on,638,SR08,NO
U00275,C01190,2024-10-10,basic,premium,,3417,SR07,NO
U00276,C01008,2024-10-20,basic,premium,,2504,SR05,NO
U00277,C01084,2024-11-09,enterprise,enterprise,bookkeeping_add_on,641,SR08,NO
U00278,C01215,2024-11-05,basic,premium,,3382,SR06,NO
U00279,C01197,2024-11-22,enterprise,enterprise,bookkeeping_add_on,571,SR01,NO
U00280,C00996,2024-11-28,basic,premium,,1176,SR09,NO
U00281,C01394,2024-11-19,premium,premium,tax_advisory_add_on,679,SR02,NO
U00282,C01360,2024-11-28,basic,premium,,2104,SR04,NO
U00283,C00934,2024-12-04,enterprise,enterprise,audit_add_on,858,SR09,NO
U00284,C00989,2024-12-11,premium,enterprise,,751,SR06,NO
U00285,C01263,2024-12-20,basic,premium,,2001,SR02,NO
U00286,C01499,2024-12-12,basic,premium,,1895,SR12,NO
U00287,C00919,2024-12-25,premium,enterprise,,1144,SR08,NO
U00288,C00871,2024-12-28,basic,basic,payroll_add_on,769,SR04,NO
U00289,C01629,2023-01-24,basic,premium,,784,SR02,SE
U00290,C01818,2023-01-25,basic,premium,,3028,SR10,SE
U00291,C01659,2023-01-18,basic,basic,bookkeeping_add_on,763,SR08,SE
U00292,C01868,2023-01-08,premium,enterprise,,2866,SR07,SE
U00293,C01766,2023-01-12,enterprise,enterprise,audit_add_on,309,SR09,SE
U00294,C01588,2023-01-26,premium,enterprise,,1761,SR04,SE
U00295,C01831,2023-02-21,basic,premium,,581,SR12,SE
U00296,C01886,2023-02-27,premium,enterprise,,2832,SR09,SE
U00297,C01661,2023-02-11,premium,enterprise,,696,SR12,SE
U00298,C01833,2023-02-24,premium,enterprise,,1229,SR07,SE
U00299,C01652,2023-02-21,premium,enterprise,,2539,SR12,SE
U00300,C01619,2023-02-18,premium,enterprise,,771,SR12,SE
U00301,C01590,2023-03-09,basic,basic,payroll_add_on,344,SR02,SE
U00302,C01874,2023-03-24,premium,premium,audit_add_on,477,SR02,SE
U00303,C01896,2023-03-17,enterprise,enterprise,payroll_add_on,606,SR08,SE
U00304,C01669,2023-03-13,premium,premium,audit_add_on,426,SR10,SE
U00305,C01840,2023-03-26,basic,premium,,3125,SR05,SE
U00306,C01590,2023-03-06,basic,basic,audit_add_on,341,SR05,SE
U00307,C01878,2023-04-19,enterprise,enterprise,tax_advisory_add_on,679,SR05,SE
U00308,C01657,2023-04-09,basic,premium,,2288,SR02,SE
U00309,C01648,2023-04-22,premium,enterprise,,3315,SR12,SE
U00310,C01738,2023-04-12,enterprise,enterprise,audit_add_on,435,SR10,SE
U00311,C01780,2023-04-14,basic,premium,,1902,SR10,SE
U00312,C01757,2023-04-15,basic,premium,,2257,SR06,SE
U00313,C01708,2023-05-22,basic,premium,,1392,SR01,SE
U00314,C01917,2023-05-17,basic,premium,,683,SR04,SE
U00315,C01739,2023-05-01,basic,premium,,3442,SR09,SE
U00316,C01705,2023-05-21,basic,premium,,841,SR05,SE
U00317,C01875,2023-05-26,basic,premium,,1428,SR11,SE
U00318,C01797,2023-05-09,premium,enterprise,,3417,SR02,SE
U00319,C01675,2023-06-07,premium,premium,payroll_add_on,635,SR10,SE
U00320,C01815,2023-06-01,premium,enterprise,,1777,SR06,SE
U00321,C01693,2023-06-22,basic,premium,,781,SR10,SE
U00322,C01601,2023-06-10,enterprise,enterprise,tax_advisory_add_on,553,SR02,SE
U00323,C01638,2023-06-05,premium,enterprise,,3207,SR10,SE
U00324,C01654,2023-06-28,premium,premium,bookkeeping_add_on,280,SR09,SE
U00325,C01860,2023-07-18,premium,premium,audit_add_on,499,SR02,SE
U00326,C01870,2023-07-15,premium,enterprise,,2925,SR12,SE
U00327,C01814,2023-07-12,premium,enterprise,,1861,SR08,SE
U00328,C01609,2023-07-15,enterprise,enterprise,audit_add_on,422,SR11,SE
U00329,C01683,2023-07-24,enterprise,enterprise,payroll_add_on,713,SR04,SE
U00330,C01811,2023-07-23,premium,enterprise,,1694,SR11,SE
U00331,C01619,2023-08-17,basic,premium,,622,SR05,SE
U00332,C01766,2023-08-11,premium,enterprise,,1912,SR10,SE
U00333,C01866,2023-08-03,premium,enterprise,,3180,SR12,SE
U00334,C02000,2023-08-05,basic,premium,,3230,SR06,SE
U00335,C01634,2023-08-02,premium,enterprise,,1070,SR08,SE
U00336,C01946,2023-08-05,basic,premium,,1300,SR08,SE
U00337,C01670,2023-09-05,basic,premium,,2492,SR04,SE
U00338,C01934,2023-09-10,basic,premium,,2947,SR01,SE
U00339,C01707,2023-09-15,basic,premium,,3391,SR01,SE
U00340,C02000,2023-09-06,basic,basic,tax_advisory_add_on,253,SR08,SE
U00341,C02008,2023-09-05,basic,premium,,1566,SR09,SE
U00342,C01612,2023-09-21,premium,premium,bookkeeping_add_on,534,SR06,SE
U00343,C01898,2023-10-04,premium,enterprise,,1552,SR09,SE
U00344,C01702,2023-10-18,premium,enterprise,,1783,SR09,SE
U00345,C01681,2023-10-01,premium,enterprise,,3437,SR06,SE
U00346,C01904,2023-10-25,premium,enterprise,,1654,SR04,SE
U00347,C01675,2023-10-02,enterprise,enterprise,audit_add_on,453,SR12,SE
U00348,C01850,2023-10-05,premium,premium,audit_add_on,421,SR03,SE
U00349,C01614,2023-11-25,basic,basic,audit_add_on,299,SR09,SE
U00350,C01899,2023-11-14,premium,premium,audit_add_on,655,SR05,SE
U00351,C01852,2023-11-12,basic,basic,tax_advisory_add_on,718,SR08,SE
U00352,C01744,2023-11-05,basic,basic,audit_add_on,817,SR08,SE
U00353,C02021,2023-11-21,premium,premium,tax_advisory_add_on,436,SR03,SE
U00354,C01930,2023-11-16,basic,premium,,437,SR01,SE
U00355,C01961,2023-12-27,basic,basic,audit_add_on,881,SR06,SE
U00356,C01937,2023-12-08,basic,premium,,726,SR12,SE
U00357,C01646,2023-12-26,enterprise,enterprise,audit_add_on,716,SR04,SE
U00358,C01696,2023-12-18,premium,premium,payroll_add_on,702,SR11,SE
U00359,C01780,2023-12-14,basic,premium,,1279,SR07,SE
U00360,C01624,2023-12-28,premium,premium,audit_add_on,603,SR07,SE
U00361,C01691,2024-01-15,basic,basic,audit_add_on,475,SR08,SE
U00362,C01910,2024-01-25,basic,premium,,467,SR04,SE
U00363,C01773,2024-01-11,basic,premium,,2178,SR03,SE
U00364,C01673,2024-01-19,basic,premium,,1045,SR02,SE
U00365,C01866,2024-01-19,premium,enterprise,,1679,SR08,SE
U00366,C01663,2024-01-03,basic,premium,,1537,SR09,SE
U00367,C01966,2024-02-04,basic,premium,,3269,SR09,SE
U00368,C01798,2024-02-13,premium,premium,audit_add_on,582,SR07,SE
U00369,C01864,2024-02-26,basic,basic,tax_advisory_add_on,781,SR09,SE
U00370,C02058,2024-02-15,premium,enterprise,,2445,SR08,SE
U00371,C01832,2024-02-03,basic,premium,,3187,SR04,SE
U00372,C02001,2024-02-21,basic,basic,tax_advisory_add_on,713,SR03,SE
U00373,C01968,2024-03-12,basic,basic,tax_advisory_add_on,645,SR07,SE
U00374,C01657,2024-03-05,basic,premium,,2062,SR06,SE
U00375,C01606,2024-03-18,basic,basic,tax_advisory_add_on,267,SR04,SE
U00376,C02134,2024-03-26,premium,premium,payroll_add_on,585,SR01,SE
U00377,C01814,2024-03-21,premium,enterprise,,1340,SR08,SE
U00378,C01791,2024-03-15,premium,enterprise,,3204,SR02,SE
U00379,C01917,2024-04-23,basic,premium,,2062,SR08,SE
U00380,C01915,2024-04-10,premium,premium,payroll_add_on,783,SR09,SE
U00381,C02072,2024-04-16,enterprise,enterprise,audit_add_on,624,SR05,SE
U00382,C01745,2024-04-10,premium,enterprise,,3257,SR04,SE
U00383,C01816,2024-04-09,premium,premium,audit_add_on,857,SR10,SE
U00384,C02023,2024-04-20,basic,basic,tax_advisory_add_on,836,SR12,SE
U00385,C01706,2024-05-25,enterprise,enterprise,payroll_add_on,440,SR02,SE
U00386,C02005,2024-05-28,premium,premium,bookkeeping_add_on,868,SR05,SE
U00387,C01978,2024-05-17,basic,premium,,538,SR08,SE
