referral_lead_id,referring_partner_id,customer_id,country,service_type,industry,referred_at,matched_at,booked_at,resolved_at,referral_status,deal_size_estimate,urgency
RL00047,R001,,DK,payroll,retail,2023-04-25,2023-04-27,,2023-05-12,lost,42219,low
RL00048,R003,C00343,DK,payroll,hospitality,2023-04-21,2023-04-24,2023-05-03,2023-05-10,booked,5450,low
RL00049,R001,C00275,DK,payroll,professional_services,2023-04-17,2023-04-19,2023-04-24,2023-05-10,booked,13781,medium
RL00050,R003,,DK,payroll,professional_services,2023-04-13,,,,pending,24722,low
RL00051,R004,C00320,DK,accounting,tech,2023-04-09,2023-04-12,2023-04-17,2023-05-12,booked,35161,medium
RL00052,R001,C00046,DK,payroll,hospitality,2023-04-19,2023-04-20,2023-04-23,2023-05-05,booked,4272,low
RL00053,R001,C00347,DK,tax_advisory,professional_services,2023-04-28,2023-04-29,2023-05-05,2023-05-17,booked,15694,low
RL00054,R001,,DK,payroll,professional_services,2023-04-10,2023-04-12,,,matching,14686,medium
RL00055,R004,C00044,DK,bookkeeping,professional_services,2023-04-06,2023-04-09,2023-04-15,2023-04-27,booked,12172,medium
RL00056,R001,,DK,tax_advisory,tech,2023-04-19,2023-04-21,,,matching,18184,low
RL00057,R002,,DK,audit,other,2023-04-04,2023-04-07,,2023-04-17,lost,19698,low
RL00058,R004,C00109,DK,audit,other,2023-04-20,2023-04-22,2023-05-01,2023-05-08,booked,27577,low
RL00059,R004,C00220,DK,bookkeeping,tech,2023-04-24,2023-04-26,2023-05-05,2023-05-22,booked,10762,low
RL00060,R004,C00302,DK,payroll,professional_services,2023-04-06,2023-04-09,2023-04-12,2023-04-29,booked,43950,medium
RL00061,R004,C00060,DK,accounting,retail,2023-05-24,2023-05-27,2023-06-01,2023-06-06,booked,31722,low
RL00062,R001,C00026,DK,audit,professional_services,2023-05-19,2023-05-20,2023-05-25,2023-06-01,booked,3665,low
RL00063,R002,,DK,tax_advisory,professional_services,2023-05-19,2023-05-21,,,matching,23549,medium
RL00064,R004,C00246,DK,bookkeeping,tech,2023-05-14,2023-05-17,2023-05-27,2023-06-13,booked,22670,high
RL00065,R003,C00202,DK,accounting,professional_services,2023-05-13,2023-05-16,2023-05-19,2023-06-02,booked,35425,medium
RL00066,R001,,DK,tax_advisory,retail,2023-05-09,2023-05-10,,,negotiating,41580,medium
RL00067,R003,,DK,tax_advisory,professional_services,2023-05-13,2023-05-15,,2023-05-23,lost,8867,medium
RL00068,R002,,DK,accounting,professional_services,2023-05-17,2023-05-20,,2023-06-03,lost,25359,medium
RL00069,R001,,DK,bookkeeping,hospitality,2023-05-21,2023-05-23,,,matching,12163,high
RL00070,R004,,DK,tax_advisory,retail,2023-05-06,2023-05-07,,,matching,34541,low
RL00071,R002,C00157,DK,tax_advisory,other,2023-05-05,2023-05-07,2023-05-10,2023-05-15,booked,41055,medium
RL00072,R002,,DK,accounting,hospitality,2023-05-20,2023-05-23,,2023-05-30,lost,28848,medium
RL00073,R003,C00311,DK,audit,retail,2023-05-28,2023-05-30,2023-06-06,2023-06-29,booked,43737,medium
RL00074,R003,,DK,bookkeeping,hospitality,2023-05-26,2023-05-29,,2023-06-04,lost,24861,medium
RL00075,R003,C00296,DK,tax_advisory,hospitality,2023-05-04,2023-05-06,2023-05-13,2023-05-25,booked,10097,medium
RL00076,R003,,DK,payroll,professional_services,2023-06-10,,,,pending,12725,medium
RL00077,R003,C00184,DK,audit,other,2023-06-23,2023-06-24,2023-06-30,2023-07-16,booked,15990,medium
RL00078,R002,,DK,tax_advisory,other,2023-06-26,2023-06-28,,,negotiating,6810,medium
RL00079,R002,C00035,DK,bookkeeping,other,2023-06-16,2023-06-17,2023-06-24,2023-07-02,booked,21090,medium
RL00080,R003,,DK,bookkeeping,retail,2023-06-13,,,,pending,19613,high
RL00081,R004,C00097,DK,audit,retail,2023-06-02,2023-06-05,2023-06-08,2023-06-17,booked,27518,medium
RL00082,R003,C00270,DK,audit,retail,2023-06-03,2023-06-06,2023-06-08,2023-06-22,booked,35426,medium
RL00083,R004,C00014,DK,tax_advisory,other,2023-06-19,2023-06-20,2023-06-28,2023-07-03,booked,15716,medium
RL00084,R002,,DK,tax_advisory,retail,2023-06-24,2023-06-27,,,negotiating,18602,medium
RL00085,R002,,DK,accounting,professional_services,2023-06-13,2023-06-14,,,negotiating,16749,medium
RL00086,R004,,DK,accounting,tech,2023-06-27,2023-06-28,,,matching,21784,low
RL00087,R004,C00225,DK,payroll,tech,2023-06-17,2023-06-19,2023-06-25,2023-07-09,booked,41951,medium
RL00088,R001,C00116,DK,bookkeeping,hospitality,2023-06-07,2023-06-10,2023-06-12,2023-06-17,booked,27575,low
RL00089,R002,C00321,DK,audit,tech,2023-06-15,2023-06-18,2023-06-21,2023-07-15,booked,21595,low
RL00090,R001,,DK,tax_advisory,retail,2023-06-18,2023-06-19,,,matching,35331,medium
RL00091,R002,,DK,accounting,professional_services,2023-07-15,2023-07-17,,,matching,14953,high
RL00092,R002,,DK,payroll,hospitality,2023-07-24,2023-07-26,,2023-08-06,lost,32725,medium
RL00093,R004,,DK,audit,tech,2023-07-20,2023-07-23,,2023-08-03,lost,40207,low
RL00094,R004,,DK,payroll,other,2023-07-10,,,,pending,34568,medium
RL00095,R002,,DK,bookkeeping,other,2023-07-17,2023-07-18,,,negotiating,35129,medium
RL00096,R003,C00082,DK,accounting,other,2023-07-21,2023-07-22,2023-07-26,2023-08-11,booked,23200,high
RL00097,R004,,DK,accounting,other,2023-07-20,,,,pending,22820,medium
RL00098,R001,C00151,DK,accounting,other,2023-07-16,2023-07-17,2023-07-27,2023-08-16,booked,17346,low
RL00099,R002,,DK,tax_advisory,hospitality,2023-07-23,2023-07-26,,,negotiating,30934,medium
RL00100,R001,,DK,audit,professional_services,2023-07-15,2023-07-16,,2023-07-24,lost,34450,high
RL00101,R002,,DK,audit,other,2023-07-25,2023-07-28,,2023-08-04,lost,8549,medium
RL00102,R004,,DK,tax_advisory,professional_services,2023-07-04,2023-07-06,,2023-07-14,lost,14895,high
RL00103,R004,,DK,tax_advisory,hospitality,2023-07-23,,,,pending,12351,high
RL00104,R003,,DK,audit,retail,2023-07-16,,,,pending,33195,high
RL00105,R003,C00262,DK,tax_advisory,retail,2023-07-09,2023-07-12,2023-07-21,2023-08-13,booked,20503,medium
RL00106,R003,,DK,tax_advisory,hospitality,2023-08-15,2023-08-17,,,matching,36680,medium
RL00107,R001,,DK,audit,retail,2023-08-15,2023-08-18,,2023-08-24,lost,28312,medium
RL00108,R004,C00151,DK,tax_advisory,tech,2023-08-23,2023-08-25,2023-08-28,2023-09-05,booked,8675,low
RL00109,R003,C00300,DK,audit,hospitality,2023-08-24,2023-08-25,2023-09-02,2023-09-21,booked,25805,medium
RL00110,R002,C00241,DK,bookkeeping,other,2023-08-28,2023-08-30,2023-09-06,2023-09-24,booked,19830,high
RL00111,R002,,DK,bookkeeping,professional_services,2023-08-17,,,,pending,34744,low
RL00112,R003,,DK,accounting,professional_services,2023-08-18,,,,pending,33592,medium
RL00113,R003,,DK,bookkeeping,other,2023-08-01,2023-08-04,,,negotiating,22234,medium
RL00114,R003,C00111,DK,audit,tech,2023-08-02,2023-08-04,2023-08-10,2023-08-16,booked,10579,medium
RL00115,R004,C00284,DK,bookkeeping,hospitality,2023-08-11,2023-08-12,2023-08-22,2023-09-08,booked,14811,low
RL00116,R001,C00333,DK,tax_advisory,tech,2023-08-04,2023-08-05,2023-08-09,2023-08-15,booked,17883,low
RL00117,R001,C00261,DK,tax_advisory,other,2023-08-13,2023-08-16,2023-08-25,2023-09-02,booked,10829,medium
RL00118,R004,,DK,payroll,hospitality,2023-08-22,2023-08-24,,2023-09-08,lost,35079,medium
RL00119,R001,C00381,DK,bookkeeping,hospitality,2023-08-02,2023-08-04,2023-08-06,2023-08-19,booked,13144,high
RL00120,R001,,DK,payroll,hospitality,2023-08-19,2023-08-22,,,negotiating,38539,low
RL00121,R004,,DK,audit,other,2023-09-03,2023-09-04,,,negotiating,12808,medium
RL00122,R002,C00115,DK,audit,hospitality,2023-09-15,2023-09-18,2023-09-25,2023-10-03,booked,23776,high
RL00123,R001,,DK,tax_advisory,retail,2023-09-28,2023-09-29,,,negotiating,10459,low
RL00124,R004,C00022,DK,accounting,other,2023-09-09,2023-09-11,2023-09-16,2023-09-26,booked,14749,low
RL00125,R002,,DK,payroll,professional_services,2023-09-16,2023-09-18,,2023-10-03,lost,26901,medium
RL00126,R004,,DK,audit,other,2023-09-11,2023-09-12,,2023-09-19,lost,41128,medium
RL00127,R004,,DK,bookkeeping,tech,2023-09-08,2023-09-10,,2023-09-25,lost,32923,low
RL00128,R003,,DK,accounting,professional_services,2023-09-05,,,,pending,32062,high
RL00129,R004,,DK,audit,tech,2023-09-24,,,,pending,30049,medium
RL00130,R001,,DK,audit,hospitality,2023-09-28,2023-09-29,,2023-10-04,lost,24978,low
RL00131,R001,C00410,DK,bookkeeping,hospitality,2023-09-15,2023-09-18,2023-09-20,2023-10-10,booked,27192,medium
RL00132,R004,C00350,DK,tax_advisory,retail,2023-09-28,2023-09-30,2023-10-07,2023-10-22,booked,20216,medium
RL00133,R001,C00020,DK,payroll,professional_services,2023-09-27,2023-09-29,2023-10-08,2023-11-01,booked,12189,medium
RL00134,R001,C00111,DK,bookkeeping,other,2023-09-19,2023-09-20,2023-09-23,2023-10-12,booked,31894,high
RL00135,R004,,DK,tax_advisory,other,2023-09-02,2023-09-03,,,matching,34792,high
RL00136,R004,,DK,audit,other,2023-10-22,2023-10-23,,,matching,11255,medium
RL00137,R002,C00037,DK,tax_advisory,professional_services,2023-10-23,2023-10-25,2023-10-30,2023-11-06,booked,5306,medium
RL00138,R004,C00431,DK,bookkeeping,retail,2023-10-13,2023-10-14,2023-10-20,2023-10-26,booked,39876,low
RL00139,R004,C00473,DK,audit,tech,2023-10-28,2023-10-30,2023-11-05,2023-11-22,booked,29536,low
RL00140,R004,C00236,DK,tax_advisory,tech,2023-10-06,2023-10-07,2023-10-12,2023-11-01,booked,3291,medium
RL00141,R004,C00265,DK,accounting,other,2023-10-12,2023-10-15,2023-10-22,2023-11-13,booked,28383,medium
RL00142,R002,C00053,DK,tax_advisory,retail,2023-10-08,2023-10-10,2023-10-14,2023-11-06,booked,36449,medium
RL00143,R002,,DK,payroll,other,2023-10-14,,,,pending,44017,medium
RL00144,R001,C00360,DK,payroll,hospitality,2023-10-28,2023-10-29,2023-11-05,2023-11-18,booked,20810,medium
RL00145,R001,,DK,tax_advisory,tech,2023-10-22,,,,pending,26562,medium
RL00146,R001,C00408,DK,payroll,tech,2023-10-26,2023-10-29,2023-11-02,2023-11-24,booked,34812,medium
RL00147,R002,C00228,DK,accounting,tech,2023-10-18,2023-10-19,2023-10-26,2023-11-06,booked,8031,medium
RL00148,R002,,DK,payroll,other,2023-10-12,2023-10-13,,2023-10-18,lost,24185,medium
RL00149,R004,,DK,accounting,hospitality,2023-10-27,2023-10-30,,2023-11-14,lost,5077,medium
RL00150,R002,,DK,audit,retail,2023-10-13,2023-10-15,,2023-10-23,lost,25723,medium
RL00151,R003,,DK,accounting,retail,2023-11-26,2023-11-27,,2023-12-08,lost,16730,low
RL00152,R003,,DK,audit,other,2023-11-04,2023-11-06,,2023-11-21,lost,11174,low
RL00153,R001,,DK,payroll,other,2023-11-09,2023-11-10,,2023-11-17,lost,21298,low
RL00154,R001,C00226,DK,bookkeeping,professional_services,2023-11-10,2023-11-13,2023-11-17,2023-12-08,booked,23888,medium
RL00155,R003,,DK,payroll,other,2023-11-28,2023-12-01,,2023-12-07,lost,43443,high
RL00156,R004,,DK,accounting,other,2023-11-03,2023-11-06,,2023-11-17,lost,17337,low
RL00157,R001,,DK,payroll,retail,2023-11-26,2023-11-28,,,matching,23066,low
RL00158,R004,C00375,DK,tax_advisory,retail,2023-11-05,2023-11-07,2023-11-09,2023-11-30,booked,3516,medium
RL00159,R004,C00105,DK,audit,professional_services,2023-11-27,2023-11-29,2023-12-05,2023-12-17,booked,37668,low
RL00160,R004,,DK,accounting,hospitality,2023-11-07,2023-11-09,,2023-11-16,lost,5186,medium
RL00161,R001,C00289,DK,payroll,hospitality,2023-11-20,2023-11-22,2023-11-24,2023-12-11,booked,9549,low
RL00162,R001,C00132,DK,audit,professional_services,2023-11-08,2023-11-09,2023-11-12,2023-11-29,booked,35567,medium
RL00163,R004,C00467,DK,payroll,retail,2023-11-10,2023-11-13,2023-11-20,2023-12-01,booked,7893,medium
RL00164,R004,,DK,bookkeeping,tech,2023-11-02,2023-11-05,,,negotiating,8085,medium
RL00165,R002,,DK,audit,hospitality,2023-11-10,2023-11-11,,2023-11-22,lost,9869,low
RL00166,R004,C00356,DK,bookkeeping,professional_services,2023-12-03,2023-12-06,2023-12-10,2023-12-28,booked,22400,low
RL00167,R004,,DK,tax_advisory,hospitality,2023-12-08,2023-12-10,,,matching,30327,medium
RL00168,R002,,DK,tax_advisory,tech,2023-12-19,2023-12-20,,,negotiating,44110,high
RL00169,R002,,DK,audit,tech,2023-12-11,2023-12-13,,,matching,37508,low
RL00170,R001,C00427,DK,audit,other,2023-12-13,2023-12-16,2023-12-20,2024-01-14,booked,23072,high
RL00171,R003,C00312,DK,payroll,professional_services,2023-12-21,2023-12-23,2023-12-29,2024-01-08,booked,7543,medium
RL00172,R002,,DK,audit,hospitality,2023-12-10,2023-12-13,,2023-12-25,lost,19838,low
RL00173,R001,,DK,bookkeeping,retail,2023-12-14,2023-12-15,,,matching,38256,medium
RL00174,R001,C00438,DK,audit,other,2023-12-25,2023-12-28,2024-01-06,2024-01-15,booked,16888,medium
RL00175,R001,,DK,accounting,hospitality,2023-12-17,2023-12-20,,,negotiating,6093,medium
RL00176,R003,,DK,accounting,tech,2023-12-22,2023-12-25,,2024-01-09,lost,11500,high
RL00177,R004,C00202,DK,bookkeeping,other,2023-12-21,2023-12-22,2023-12-29,2024-01-19,booked,29905,medium
RL00178,R002,,DK,tax_advisory,other,2023-12-01,2023-12-02,,,negotiating,37937,medium
RL00179,R004,C00448,DK,bookkeeping,tech,2023-12-21,2023-12-23,2023-12-28,2024-01-03,booked,22524,medium
RL00180,R002,,DK,audit,retail,2023-12-16,,,,pending,6113,medium
RL00181,R004,,DK,payroll,hospitality,2024-01-18,2024-01-21,,,negotiating,40912,medium
RL00182,R002,,DK,audit,tech,2024-01-17,2024-01-18,,2024-01-27,lost,28566,medium
RL00183,R001,C00331,DK,bookkeeping,retail,2024-01-25,2024-01-27,2024-02-06,2024-02-24,booked,17213,medium
RL00184,R003,,DK,tax_advisory,professional_services,2024-01-02,2024-01-05,,2024-01-18,lost,37768,medium
RL00185,R003,,DK,accounting,professional_services,2024-01-20,2024-01-21,,2024-02-04,lost,36416,medium
RL00186,R001,,DK,accounting,other,2024-01-19,2024-01-22,,2024-02-04,lost,21964,medium
RL00187,R003,C00213,DK,tax_advisory,retail,2024-01-22,2024-01-25,2024-02-03,2024-02-26,booked,26163,medium
RL00188,R004,,DK,accounting,hospitality,2024-01-02,2024-01-05,,,matching,32336,medium
RL00189,R001,,DK,accounting,hospitality,2024-01-04,2024-01-05,,,matching,25315,medium
RL00190,R002,,DK,audit,retail,2024-01-01,,,,pending,42688,high
RL00191,R002,C00210,DK,payroll,hospitality,2024-01-03,2024-01-05,2024-01-09,2024-02-03,booked,29349,high
RL00192,R002,,DK,bookkeeping,other,2024-01-09,2024-01-10,,2024-01-23,lost,13449,high
RL00193,R001,,DK,bookkeeping,tech,2024-01-23,2024-01-25,,2024-02-01,lost,18321,medium
RL00194,R003,,DK,payroll,retail,2024-01-10,,,,pending,24852,medium
RL00195,R003,,DK,tax_advisory,hospitality,2024-01-18,,,,pending,16245,medium
RL00196,R001,C00364,DK,accounting,hospitality,2024-02-20,2024-02-23,2024-03-04,2024-03-23,booked,24604,high
RL00197,R001,C00485,DK,audit,other,2024-02-18,2024-02-20,2024-02-22,2024-03-17,booked,28255,medium
RL00198,R001,,DK,tax_advisory,professional_services,2024-02-01,2024-02-02,,2024-02-08,lost,27882,medium
RL00199,R002,C00552,DK,tax_advisory,hospitality,2024-02-01,2024-02-03,2024-02-05,2024-02-26,booked,7643,medium
RL00200,R004,C00296,DK,accounting,retail,2024-02-06,2024-02-08,2024-02-15,2024-03-06,booked,29842,low
RL00201,R003,C00535,DK,bookkeeping,retail,2024-02-17,2024-02-18,2024-02-25,2024-03-12,booked,32951,medium
RL00202,R003,C00463,DK,audit,tech,2024-02-18,2024-02-19,2024-02-25,2024-03-09,booked,8112,medium
RL00203,R004,,DK,tax_advisory,hospitality,2024-02-16,2024-02-18,,2024-03-01,lost,8413,low
RL00204,R001,,DK,bookkeeping,professional_services,2024-02-12,2024-02-15,,,matching,6433,low
RL00205,R002,,DK,bookkeeping,retail,2024-02-16,2024-02-19,,,matching,17238,high
RL00206,R001,,DK,tax_advisory,other,2024-02-05,2024-02-07,,,negotiating,14097,medium
RL00207,R001,C00229,DK,bookkeeping,tech,2024-02-21,2024-02-24,2024-02-26,2024-03-20,booked,31921,low
RL00208,R003,C00446,DK,bookkeeping,retail,2024-02-21,2024-02-23,2024-02-25,2024-03-04,booked,35452,high
RL00209,R003,C00097,DK,bookkeeping,other,2024-02-22,2024-02-25,2024-03-03,2024-03-23,booked,19234,medium
RL00210,R004,,DK,accounting,professional_services,2024-02-25,2024-02-28,,,matching,19535,medium
RL00211,R003,C00570,DK,tax_advisory,professional_services,2024-03-11,2024-03-12,2024-03-14,2024-04-04,booked,27826,medium
RL00212,R003,,DK,bookkeeping,other,2024-03-19,,,,pending,23320,high
RL00213,R003,,DK,accounting,other,2024-03-02,2024-03-05,,,negotiating,40507,low
RL00214,R001,C00132,DK,audit,professional_services,2024-03-11,2024-03-13,2024-03-18,2024-03-23,booked,36494,medium
RL00215,R004,,DK,audit,hospitality,2024-03-17,2024-03-19,,2024-03-25,lost,43381,low
RL00216,R002,,DK,accounting,professional_services,2024-03-12,2024-03-15,,2024-03-27,lost,20965,low
RL00217,R004,C00210,DK,accounting,professional_services,2024-03-04,2024-03-07,2024-03-14,2024-03-19,booked,20610,low
RL00218,R004,C00112,DK,payroll,professional_services,2024-03-17,2024-03-20,2024-03-29,2024-04-23,booked,34028,medium
RL00219,R003,,DK,audit,retail,2024-03-18,2024-03-21,,2024-03-28,lost,39671,medium
RL00220,R004,,DK,audit,professional_services,2024-03-12,2024-03-14,,,matching,21396,low
RL00221,R002,C00473,DK,audit,tech,2024-03-03,2024-03-05,2024-03-15,2024-04-09,booked,7385,medium
RL00222,R002,,DK,audit,retail,2024-03-15,2024-03-18,,,negotiating,38322,low
RL00223,R002,C00079,DK,payroll,retail,2024-03-18,2024-03-20,2024-03-25,2024-04-10,booked,36129,high
RL00224,R002,,DK,payroll,professional_services,2024-03-11,2024-03-12,,,matching,38899,medium
RL00225,R002,,DK,tax_advisory,retail,2024-03-24,2024-03-26,,,matching,20372,high
RL00226,R001,C00430,DK,audit,tech,2024-04-04,2024-04-06,2024-04-16,2024-04-27,booked,20549,medium
RL00227,R004,,DK,accounting,professional_services,2024-04-25,2024-04-27,,,negotiating,41491,low
RL00228,R003,C00362,DK,tax_advisory,hospitality,2024-04-22,2024-04-23,2024-04-29,2024-05-19,booked,41177,high
RL00229,R004,C00162,DK,accounting,retail,2024-04-13,2024-04-16,2024-04-21,2024-05-15,booked,31846,high
RL00230,R002,C00047,DK,payroll,other,2024-04-13,2024-04-14,2024-04-18,2024-05-01,booked,31509,low
RL00231,R003,,DK,audit,tech,2024-04-03,2024-04-05,,,negotiating,36283,low
RL00232,R003,C00009,DK,accounting,tech,2024-04-18,2024-04-20,2024-04-27,2024-05-15,booked,27971,low
RL00233,R002,,DK,tax_advisory,hospitality,2024-04-06,,,,pending,17365,medium
RL00234,R003,,DK,audit,tech,2024-04-03,2024-04-04,,,negotiating,35672,high
RL00235,R001,,DK,payroll,retail,2024-04-27,2024-04-29,,2024-05-12,lost,16739,medium
RL00236,R003,,DK,audit,other,2024-04-12,,,,pending,39128,medium
RL00237,R002,C00145,DK,tax_advisory,retail,2024-04-28,2024-05-01,2024-05-05,2024-05-28,booked,26670,low
RL00238,R002,C00026,DK,bookkeeping,hospitality,2024-04-19,2024-04-20,2024-04-30,2024-05-05,booked,10068,low
RL00239,R003,C00075,DK,payroll,other,2024-04-12,2024-04-15,2024-04-20,2024-05-04,booked,14910,medium
RL00240,R004,,DK,bookkeeping,tech,2024-04-02,2024-04-05,,,negotiating,31467,low
RL00241,R002,C00520,DK,tax_advisory,other,2024-05-08,2024-05-09,2024-05-19,2024-06-05,booked,30060,low
RL00242,R001,,DK,tax_advisory,professional_services,2024-05-13,2024-05-15,,,matching,9425,medium
RL00243,R004,,DK,tax_advisory,tech,2024-05-15,2024-05-17,,,matching,5519,medium
RL00244,R001,,DK,bookkeeping,other,2024-05-23,2024-05-26,,2024-06-09,lost,28077,low
RL00245,R001,,DK,bookkeeping,retail,2024-05-12,2024-05-13,,2024-05-24,lost,34190,high
RL00246,R004,,DK,payroll,other,2024-05-05,2024-05-08,,2024-05-21,lost,10928,medium
RL00247,R004,,DK,payroll,other,2024-05-05,2024-05-06,,,negotiating,39536,high
RL00248,R001,,DK,audit,other,2024-05-18,2024-05-21,,2024-06-03,lost,34981,high
RL00249,R003,,DK,bookkeeping,tech,2024-05-05,2024-05-06,,2024-05-13,lost,27812,medium
RL00250,R003,,DK,accounting,tech,2024-05-14,2024-05-17,,2024-05-23,lost,20962,high
RL00251,R004,C00224,DK,accounting,hospitality,2024-05-22,2024-05-24,2024-05-26,2024-06-03,booked,32146,medium
RL00252,R003,,DK,payroll,tech,2024-05-17,2024-05-18,,,matching,11142,low
RL00253,R004,,DK,accounting,retail,2024-05-24,2024-05-27,,,matching,3550,low
RL00254,R004,,DK,bookkeeping,other,2024-05-01,2024-05-03,,,matching,34012,medium
RL00255,R004,C00391,DK,audit,tech,2024-05-06,2024-05-08,2024-05-17,2024-05-22,booked,7471,low
RL00256,R001,,DK,accounting,other,2024-06-26,2024-06-28,,,negotiating,33044,medium
RL00257,R004,,DK,tax_advisory,professional_services,2024-06-12,2024-06-15,,,negotiating,39206,high
RL00258,R001,,DK,payroll,retail,2024-06-01,2024-06-04,,2024-06-18,lost,16454,medium
RL00259,R003,,DK,tax_advisory,hospitality,2024-06-10,2024-06-13,,,negotiating,8677,medium
RL00260,R003,,DK,audit,retail,2024-06-09,2024-06-11,,,matching,9205,medium
RL00261,R002,C00448,DK,tax_advisory,retail,2024-06-19,2024-06-22,2024-06-30,2024-07-10,booked,21002,medium
RL00262,R004,,DK,bookkeeping,tech,2024-06-04,,,,pending,42639,low
