referring_partner_id,snapshot_date,leads_sent_count,conversion_rate_pct,avg_deal_size,cancellation_rate_pct,inquiry_response_latency_hours,churn_risk_score
R001,2023-02-15,5,63.18,19083.67,5.19,5.86,0.0
R001,2023-02-16,5,60.32,21714.72,9.08,9.08,5.2
R001,2023-02-17,5,70.22,22663.63,6.3,4.46,0.0
R001,2023-02-18,4,69.8,17203.31,12.79,6.11,0.0
R001,2023-02-19,4,63.49,18141.42,14.72,7.61,1.24
R001,2023-02-20,6,60.61,18884.28,5.4,5.5,1.52
R001,2023-02-21,5,63.48,17260.2,5.16,6.14,0.0
R001,2023-02-22,3,62.34,18398.48,12.11,9.44,4.25
R001,2023-02-23,3,60.02,18374.57,10.04,7.86,3.74
R001,2023-02-24,4,69.39,14618.88,13.98,5.97,0.0
R001,2023-02-25,5,56.4,19191.33,10.12,7.16,5.47
R001,2023-02-26,6,69.48,22224.51,11.2,6.23,0.0
R001,2023-02-27,5,71.93,20414.04,5.5,5.75,0.0
R001,2023-02-28,5,60.21,17864.64,11.82,9.27,5.58
R001,2023-03-01,4,65.71,18404.71,12.33,7.67,1.33
R001,2023-03-02,5,68.51,19630.07,13.1,6.32,0.0
R001,2023-03-03,6,58.11,16199.67,7.9,9.16,7.09
R001,2023-03-04,4,66.45,18491.08,12.04,5.26,0.0
R001,2023-03-05,4,62.07,19107.22,14.26,5.41,0.36
R001,2023-03-06,5,73.6,21222.66,10.46,3.44,0.0
R001,2023-03-07,5,66.6,19107.04,9.8,7.27,0.73
R001,2023-03-08,5,79.18,15677.47,6.28,10.86,6.11
R001,2023-03-09,3,67.62,16308.6,9.76,4.16,0.13
R001,2023-03-10,6,63.33,21860.54,10.54,8.51,2.6
R001,2023-03-11,6,60.63,20834.87,13.61,8.49,4.07
R001,2023-03-12,4,52.34,18231.46,7.24,5.75,8.14
R001,2023-03-13,5,71.19,18410.66,10.41,9.14,3.53
R001,2023-03-14,4,66.71,18571.28,11.44,7.51,1.09
R001,2023-03-15,5,69.01,21583.05,8.79,4.58,0.0
R001,2023-03-16,5,59.15,20695.11,9.67,3.27,2.69
R001,2023-03-17,5,58.84,21041.64,9.81,4.04,2.94
R001,2023-03-18,5,56.67,22915.65,13.73,6.23,4.68
R001,2023-03-19,3,64.91,17424.78,8.95,9.72,4.54
R001,2023-03-20,5,73.44,18073.9,8.92,6.22,0.0
R001,2023-03-21,4,54.38,17631.28,5.4,3.57,6.51
R001,2023-03-22,5,61.86,21650.16,14.72,4.06,0.53
R001,2023-03-23,3,57.16,17121.39,12.27,5.01,4.42
R001,2023-03-24,4,61.7,21244.75,12.13,5.36,0.66
R001,2023-03-25,5,59.19,15851.63,12.56,2.48,2.66
R001,2023-03-26,5,61.64,19100.89,7.6,5.37,0.7
R001,2023-03-27,5,63.03,20396.53,12.51,5.82,0.0
R001,2023-03-28,5,60.87,17997.2,14.18,3.87,1.31
R001,2023-03-29,5,72.27,17659.24,6.06,4.22,0.0
R001,2023-03-30,3,62.43,18763.97,8.7,7.34,1.04
R001,2023-03-31,5,68.35,20344.93,13.17,6.96,0.26
R001,2023-04-01,3,64.78,21544.82,6.13,5.52,0.13
R001,2023-04-02,3,62.6,21623.72,13.75,6.21,0.13
R001,2023-04-03,5,67.73,18810.5,13.12,5.81,0.0
R001,2023-04-04,3,63.12,21820.01,12.68,6.36,0.13
R001,2023-04-05,4,62.37,15499.54,9.1,5.93,0.12
R001,2023-04-06,3,66.03,17746.9,13.4,4.8,0.13
R001,2023-04-07,4,62.55,16762.44,14.55,5.42,0.0
R001,2023-04-08,5,61.63,19380.68,5.14,6.38,0.71
R001,2023-04-09,6,56.68,21276.76,11.7,6.62,4.67
R001,2023-04-10,4,55.05,20464.79,8.6,5.05,5.97
R001,2023-04-11,7,58.53,22340.14,6.42,3.24,3.19
R001,2023-04-12,4,64.26,20818.26,13.51,8.0,1.83
R001,2023-04-13,3,66.82,19253.59,13.42,10.2,5.26
R001,2023-04-14,4,64.13,20526.62,8.8,6.59,0.0
R001,2023-04-15,4,63.68,17214.63,8.21,6.85,0.1
R001,2023-04-16,5,64.01,22634.49,12.01,8.53,2.62
R001,2023-04-17,3,62.8,17829.6,8.19,6.58,0.13
R001,2023-04-18,5,64.75,21470.92,13.34,6.55,0.0
R001,2023-04-19,4,67.35,19167.29,11.15,12.01,7.84
R001,2023-04-20,3,55.95,19854.72,10.89,4.65,5.38
R001,2023-04-21,5,65.59,20077.5,10.8,10.79,6.01
R001,2023-04-22,4,54.53,17745.91,10.03,4.01,6.39
R001,2023-04-23,5,54.59,19838.51,8.37,4.39,6.34
R001,2023-04-24,4,59.79,19306.31,8.59,4.3,2.18
R001,2023-04-25,4,58.31,18837.83,5.08,9.0,6.69
R001,2023-04-26,4,64.98,20353.17,8.98,9.52,4.1
R001,2023-04-27,5,67.82,16150.27,14.07,7.57,1.18
R001,2023-04-28,4,71.46,20012.29,11.7,5.18,0.0
R001,2023-04-29,2,58.53,18343.84,7.89,9.69,11.69
R001,2023-04-30,5,64.46,15457.21,5.48,9.99,4.81
R001,2023-05-01,4,57.12,18017.38,10.79,4.67,4.32
R001,2023-05-02,5,69.61,18055.27,6.93,7.44,0.99
R001,2023-05-03,5,55.01,16452.25,5.21,2.12,6.01
R001,2023-05-04,5,52.95,21483.6,5.05,4.9,7.66
R001,2023-05-05,5,72.62,21737.15,12.06,5.25,0.0
R001,2023-05-06,5,49.23,21434.95,7.58,7.59,11.85
R001,2023-05-07,3,61.57,18813.81,7.88,7.5,1.97
R001,2023-05-08,4,64.6,18659.57,9.25,7.73,1.42
R001,2023-05-09,3,68.33,20395.78,8.36,4.89,0.13
R001,2023-05-10,4,67.72,16170.53,8.16,8.14,2.04
R001,2023-05-11,4,57.24,21762.12,9.62,2.42,4.22
R001,2023-05-12,5,61.41,16880.48,6.56,6.87,1.02
R001,2023-05-13,6,67.31,18392.97,5.21,7.11,0.5
R001,2023-05-14,4,62.48,16476.22,10.23,6.22,0.03
R001,2023-05-15,4,62.81,20744.81,14.88,5.86,0.0
R001,2023-05-16,4,65.5,20921.38,14.11,10.43,5.47
R001,2023-05-17,4,72.02,20657.89,10.38,8.98,3.3
R001,2023-05-18,4,60.71,19303.05,8.17,3.68,1.45
R001,2023-05-19,5,65.4,21440.62,6.78,6.94,0.24
R001,2023-05-20,5,59.12,16777.35,5.42,5.22,2.72
R001,2023-05-21,5,66.41,21123.88,11.73,9.05,3.4
R001,2023-05-22,4,57.8,17394.54,6.43,5.2,3.77
R001,2023-05-23,6,59.38,24298.29,12.89,5.99,2.51
R001,2023-05-24,3,63.26,18099.22,5.1,8.61,2.88
R001,2023-05-25,4,63.68,21275.93,9.22,3.67,0.0
R001,2023-05-26,5,67.05,16693.93,7.08,8.06,1.91
R001,2023-05-27,5,67.36,22591.3,9.73,6.57,0.0
R001,2023-05-28,5,67.23,19570.26,8.38,8.44,2.48
R001,2023-05-29,5,61.2,20106.19,11.76,10.8,7.08
R001,2023-05-30,4,58.92,17244.54,10.86,5.43,2.88
R001,2023-05-31,5,58.36,17215.57,6.06,9.03,6.7
R001,2023-06-01,6,59.74,19987.89,5.93,6.99,2.54
R001,2023-06-02,4,64.0,18239.58,12.69,4.68,0.0
R001,2023-06-03,4,55.9,18273.29,9.02,5.1,5.29
R001,2023-06-04,5,59.23,20328.75,7.67,6.77,2.63
R001,2023-06-05,6,64.25,21236.9,6.18,5.46,0.0
R001,2023-06-06,5,58.62,16544.06,12.88,6.05,3.12
R001,2023-06-07,5,65.14,19158.24,8.07,5.27,0.0
R001,2023-06-08,3,64.03,17982.4,6.05,7.65,1.43
R001,2023-06-09,4,61.59,19407.69,7.43,9.97,5.53
R001,2023-06-10,4,58.27,17892.86,5.73,5.45,3.4
R001,2023-06-11,5,51.43,21064.24,12.48,5.99,8.87
R001,2023-06-12,6,68.69,17539.87,5.76,6.69,0.0
R001,2023-06-13,6,64.82,16487.72,10.51,7.28,0.75
R001,2023-06-14,3,53.96,20546.21,12.06,3.09,6.98
R001,2023-06-15,5,70.32,16732.79,5.05,9.09,3.47
R001,2023-06-16,3,63.44,20407.2,7.83,5.37,0.13
R001,2023-06-17,5,68.6,19089.55,10.08,5.51,0.0
R001,2023-06-18,4,57.62,19641.98,14.0,5.98,3.91
R001,2023-06-19,3,61.16,20255.12,12.15,8.87,4.35
R001,2023-06-20,5,64.73,16933.84,14.71,5.91,0.0
R001,2023-06-21,5,69.13,24239.89,10.14,5.05,0.0
R001,2023-06-22,2,54.27,19517.98,6.25,6.5,10.73
R001,2023-06-23,2,66.01,22992.92,13.43,7.1,4.6
R001,2023-06-24,5,65.76,18586.28,8.69,7.21,0.65
R001,2023-06-25,3,59.74,17754.28,5.64,8.39,4.76
R001,2023-06-26,3,62.05,21150.16,5.08,8.62,3.26
R001,2023-06-27,4,56.45,18090.08,7.74,9.36,8.73
R001,2023-06-28,4,61.62,21566.3,13.25,3.43,0.72
R001,2023-06-29,4,68.64,20700.93,8.74,8.11,1.99
R001,2023-06-30,5,66.17,17406.55,9.8,3.09,0.0
R001,2023-07-01,4,64.04,17873.85,12.81,5.08,0.0
R001,2023-07-02,3,70.25,19234.36,8.84,4.78,0.13
R001,2023-07-03,5,53.06,18535.4,7.44,8.52,10.18
R001,2023-07-04,5,66.63,21374.76,13.84,8.41,2.44
R001,2023-07-05,2,60.67,21855.79,11.37,7.79,7.13
R001,2023-07-06,5,63.39,18940.96,14.99,7.12,0.51
R001,2023-07-07,3,60.23,20141.71,5.33,9.0,5.28
R001,2023-07-08,3,61.06,17257.62,8.92,10.76,7.26
R001,2023-07-09,4,61.07,21711.79,13.16,8.76,4.13
R001,2023-07-10,5,60.6,16716.55,6.57,3.58,1.53
R001,2023-07-11,5,62.48,17656.55,10.78,3.61,0.03
R001,2023-07-12,5,64.27,17050.64,12.78,1.69,0.0
R001,2023-07-13,5,54.95,17303.47,11.57,10.85,12.16
R001,2023-07-14,5,69.38,19644.51,7.69,6.01,0.0
R001,2023-07-15,5,58.74,20332.89,12.8,4.7,3.02
R001,2023-07-16,5,65.26,20266.51,8.27,5.22,0.0
R001,2023-07-17,5,54.72,18149.01,6.01,7.19,6.85
R001,2023-07-18,7,66.49,20534.29,13.91,9.89,4.66
R001,2023-07-19,3,62.45,15616.33,8.53,7.18,0.78
R001,2023-07-20,4,62.95,17519.72,12.22,4.49,0.0
R001,2023-07-21,6,56.73,14385.44,10.1,6.17,4.63
R001,2023-07-22,5,63.35,18364.0,6.14,5.47,0.0
R001,2023-07-23,5,65.83,19920.98,14.37,2.11,0.0
R001,2023-07-24,4,66.76,17748.54,13.03,9.13,3.52
R001,2023-07-25,4,53.27,16156.17,12.3,5.82,7.4
R001,2023-07-26,4,65.13,19203.22,12.47,7.71,1.4
R001,2023-07-27,5,72.64,21703.38,8.32,7.62,1.26
R001,2023-07-28,4,70.48,21344.38,10.64,0.57,0.0
R001,2023-07-29,2,60.95,17140.02,14.31,4.74,5.39
R001,2023-07-30,4,61.51,17487.09,11.96,5.52,0.81
R001,2023-07-31,4,61.53,19836.72,10.18,6.93,1.02
R001,2023-08-01,5,61.03,19591.02,7.61,7.37,2.08
R001,2023-08-02,3,60.48,16705.96,10.34,3.79,1.76
R001,2023-08-03,4,62.89,20767.15,14.89,8.51,2.59
R001,2023-08-04,6,63.54,17408.25,8.07,3.46,0.0
R001,2023-08-05,4,64.85,16945.53,7.37,7.69,1.36
R001,2023-08-06,6,67.49,21193.78,8.3,6.3,0.0
R001,2023-08-07,5,69.01,17467.62,9.81,7.87,1.63
R001,2023-08-08,4,66.04,22004.27,10.04,4.48,0.0
R001,2023-08-09,6,59.12,19158.73,5.87,7.56,3.9
R001,2023-08-10,3,55.77,18339.08,10.33,7.95,7.28
R001,2023-08-11,5,59.14,16741.63,9.5,3.75,2.7
R001,2023-08-12,4,59.38,18006.26,13.22,6.52,2.51
R001,2023-08-13,4,54.03,20479.58,6.24,8.55,9.44
R001,2023-08-14,4,62.4,19059.17,6.1,4.8,0.09
R001,2023-08-15,5,67.05,17283.99,6.79,6.1,0.0
R001,2023-08-16,7,59.47,20267.01,10.71,7.2,3.06
R001,2023-08-17,5,55.91,18213.24,9.43,11.7,12.67
R001,2023-08-18,4,57.55,20510.39,8.74,4.99,3.98
R001,2023-08-19,7,55.47,23167.24,11.59,10.43,11.11
R001,2023-08-20,1,63.88,16530.19,7.48,8.19,10.25
R001,2023-08-21,6,65.52,18809.63,14.48,7.81,1.54
R001,2023-08-22,5,69.16,18498.26,10.87,8.3,2.28
R001,2023-08-23,3,59.97,20390.3,14.54,7.14,2.7
R001,2023-08-24,5,65.25,17638.53,5.43,6.37,0.0
R001,2023-08-25,3,63.88,20825.41,9.73,5.98,0.13
R001,2023-08-26,4,59.07,20040.74,13.03,9.16,6.33
R001,2023-08-27,4,70.66,18505.77,8.13,7.4,0.93
R001,2023-08-28,5,56.69,19542.3,7.87,5.02,4.67
R001,2023-08-29,5,55.57,17650.09,14.17,6.42,5.56
R001,2023-08-30,4,57.18,23395.98,12.79,10.09,9.23
R001,2023-08-31,4,66.0,17780.89,14.43,3.48,0.0
R001,2023-09-01,4,58.98,18798.2,13.07,2.17,2.83
R001,2023-09-02,4,63.2,17597.56,11.43,6.87,0.14
R001,2023-09-03,4,75.54,22027.08,7.69,4.73,0.0
R001,2023-09-04,4,58.97,17538.99,14.7,7.16,3.41
R001,2023-09-05,5,59.08,20196.41,13.3,6.56,2.75
R001,2023-09-06,4,64.46,23210.46,11.67,8.9,3.17
R001,2023-09-07,4,60.41,20744.01,5.37,6.31,1.69
R001,2023-09-08,4,61.86,15794.89,10.12,6.19,0.53
R001,2023-09-09,6,71.85,20174.34,12.41,7.36,0.87
R001,2023-09-10,3,59.67,19816.12,11.17,7.07,2.85
R001,2023-09-11,5,67.5,20748.01,9.21,6.79,0.02
R001,2023-09-12,3,63.01,20233.62,8.08,7.63,1.41
R001,2023-09-13,6,68.41,24222.96,9.11,6.97,0.29
R001,2023-09-14,6,57.66,21664.77,13.42,6.99,4.21
R001,2023-09-15,5,60.03,17637.9,9.48,7.47,3.02
R001,2023-09-16,4,63.57,17328.87,7.09,10.3,5.29
R001,2023-09-17,4,60.97,20490.71,8.41,8.45,3.74
R001,2023-09-18,7,61.27,16958.54,7.89,9.1,4.48
R001,2023-09-19,6,59.54,15577.44,8.2,6.64,2.38
R001,2023-09-20,3,61.74,18304.6,5.15,5.0,0.75
R001,2023-09-21,3,68.53,19474.9,9.43,4.46,0.13
R001,2023-09-22,5,63.38,19092.02,14.88,7.26,0.72
R001,2023-09-23,4,65.67,16476.19,7.29,5.45,0.0
R001,2023-09-24,5,61.94,19328.24,8.23,6.48,0.46
R001,2023-09-25,5,67.63,18105.78,12.4,7.15,0.56
R001,2023-09-26,6,70.6,18893.6,13.2,4.35,0.0
R001,2023-09-27,5,53.72,20043.54,13.15,9.98,11.84
R001,2023-09-28,5,61.99,18284.28,13.51,8.03,2.29
R001,2023-09-29,4,58.63,24533.73,7.02,6.83,3.18
R001,2023-09-30,4,59.65,20568.66,9.91,5.16,2.29
R001,2023-10-01,5,45.31,19095.7,8.15,2.68,13.77
R001,2023-10-02,3,59.11,16758.76,7.5,4.57,2.86
R001,2023-10-03,7,65.67,15061.03,7.13,9.89,4.66
R001,2023-10-04,6,58.76,22143.14,11.15,9.47,7.04
R001,2023-10-05,2,59.95,19577.5,9.72,10.47,11.72
R001,2023-10-06,3,66.74,19168.06,13.85,7.06,0.55
R001,2023-10-07,3,51.91,17107.15,7.57,5.29,8.62
R001,2023-10-08,3,64.27,21676.86,11.79,7.48,1.18
R001,2023-10-09,3,62.29,16964.14,9.67,8.26,2.53
R001,2023-10-10,5,61.12,15965.66,9.41,1.88,1.12
R001,2023-10-11,3,68.57,20875.05,5.1,8.44,2.61
R001,2023-10-12,5,57.44,20468.91,6.79,8.81,7.11
R001,2023-10-13,3,62.79,21562.13,8.89,4.55,0.13
R001,2023-10-14,5,63.93,19525.02,12.08,6.86,0.11
R001,2023-10-15,5,73.83,15819.04,13.57,10.78,6.0
R001,2023-10-16,5,57.19,16191.62,11.13,7.95,6.01
R001,2023-10-17,5,60.33,19840.65,9.14,8.55,4.41
R001,2023-10-18,5,58.29,22821.6,5.15,5.58,3.38
R001,2023-10-19,6,66.07,18172.28,14.21,5.61,0.0
R001,2023-10-20,4,69.84,18841.03,9.73,8.49,2.56
R001,2023-10-21,5,60.36,15389.55,9.98,7.21,2.37
R001,2023-10-22,3,55.09,23164.35,13.9,7.96,7.84
R001,2023-10-23,3,61.01,18077.98,8.78,7.05,1.74
R001,2023-10-24,4,61.33,24728.13,14.86,8.44,3.43
R001,2023-10-25,2,62.28,19084.36,10.88,6.65,4.32
R001,2023-10-26,5,58.3,16728.89,12.3,3.33,3.37
R001,2023-10-27,4,54.76,19761.06,12.14,5.2,6.2
R001,2023-10-28,4,54.63,19289.66,5.27,9.36,10.18
R001,2023-10-29,5,68.76,20560.12,5.66,8.76,2.97
R001,2023-10-30,4,64.67,18364.17,7.18,10.57,5.69
R001,2023-10-31,6,59.62,18384.3,5.86,4.44,2.31
R001,2023-11-01,4,67.82,18158.05,8.35,8.9,3.17
R001,2023-11-02,5,62.98,15769.95,6.76,7.66,1.32
R001,2023-11-03,6,59.19,17507.93,7.51,3.11,2.66
R001,2023-11-04,5,64.16,19231.09,11.66,10.25,5.2
R001,2023-11-05,6,63.13,19750.41,7.53,5.77,0.0
R001,2023-11-06,2,62.59,22521.46,9.77,6.61,4.13
R001,2023-11-07,5,69.11,16359.56,9.96,9.01,3.35
R001,2023-11-08,5,63.66,21887.14,7.19,8.02,1.86
R001,2023-11-09,4,64.42,15330.4,12.19,8.37,2.38
R001,2023-11-10,3,63.57,18154.82,12.15,5.15,0.13
R001,2023-11-11,4,61.96,17375.39,10.79,10.04,5.34
R001,2023-11-12,6,63.0,18966.92,8.05,4.85,0.0
R001,2023-11-13,3,48.75,20197.78,9.28,4.35,11.14
R001,2023-11-14,5,58.53,19609.32,8.74,6.92,3.4
R001,2023-11-15,5,64.89,20625.42,8.19,6.99,0.31
R001,2023-11-16,4,63.9,19976.49,9.61,6.56,0.0
R001,2023-11-17,4,65.47,22316.27,11.7,6.72,0.0
R001,2023-11-18,5,55.63,19379.78,8.86,9.43,9.49
R001,2023-11-19,3,57.83,17993.13,9.61,5.37,3.88
R001,2023-11-20,5,59.38,18904.49,9.91,6.68,2.51
R001,2023-11-21,4,57.32,19088.31,5.32,7.75,5.61
R001,2023-11-22,4,64.79,19713.06,6.93,2.29,0.0
R001,2023-11-23,5,57.38,20189.21,7.09,6.47,4.11
R001,2023-11-24,4,63.56,23156.22,14.58,6.59,0.0
R001,2023-11-25,3,69.01,17957.32,7.55,6.79,0.15
R001,2023-11-26,4,66.37,17010.58,5.05,3.48,0.0
R001,2023-11-27,4,58.82,22337.99,10.06,7.64,4.25
R001,2023-11-28,5,62.83,16648.64,10.95,6.41,0.0
R001,2023-11-29,4,71.87,18486.48,13.1,3.82,0.0
R001,2023-11-30,6,59.46,20885.92,9.74,5.09,2.44
R001,2023-12-01,4,64.45,17044.0,10.94,9.01,3.35
R001,2023-12-02,6,67.34,19273.49,5.67,6.94,0.24
R001,2023-12-03,4,53.93,20961.85,9.61,8.1,8.85
R001,2023-12-04,3,54.58,20751.23,5.32,7.69,7.84
R001,2023-12-05,7,61.34,22617.12,10.29,7.16,1.51
R001,2023-12-06,4,66.1,18202.15,14.5,7.49,1.06
R001,2023-12-07,5,62.32,18991.19,5.29,8.37,2.54
R001,2023-12-08,4,57.39,18205.26,6.03,7.27,4.84
R001,2023-12-09,3,56.23,17313.57,14.97,11.42,12.12
R001,2023-12-10,4,63.23,17886.65,12.18,9.18,3.6
R001,2023-12-11,3,65.4,15628.84,14.2,7.37,1.01
R001,2023-12-12,4,63.63,19962.44,14.85,7.13,0.52
R001,2023-12-13,5,63.74,18765.74,7.98,9.73,4.43
R001,2023-12-14,5,65.42,21069.52,12.32,8.64,2.79
R001,2023-12-15,5,64.59,17983.84,13.24,6.28,0.0
R001,2023-12-16,3,61.6,19909.06,6.8,5.31,0.87
R001,2023-12-17,5,64.57,19309.54,12.21,6.21,0.0
R001,2023-12-18,5,54.73,17731.57,8.72,11.37,13.11
R001,2023-12-19,3,58.71,19996.6,7.67,8.67,6.02
R001,2023-12-20,4,55.74,14806.21,6.77,10.05,10.33
R001,2023-12-21,6,66.39,16073.47,11.99,7.19,0.61
R001,2023-12-22,6,56.66,22016.68,8.03,8.47,7.23
R001,2023-12-23,5,61.44,17902.05,10.6,6.62,0.86
R001,2023-12-24,5,66.62,20718.93,14.48,5.37,0.0
R001,2023-12-25,6,56.26,19434.5,11.56,4.65,5.0
R001,2023-12-26,5,69.17,18913.39,10.37,4.66,0.0
R001,2023-12-27,6,71.78,17815.93,7.55,5.23,0.0
R001,2023-12-28,5,63.03,20761.79,11.89,8.85,3.11
R001,2023-12-29,4,65.96,18865.47,14.86,7.44,0.98
R001,2023-12-30,4,59.6,15644.84,9.55,4.77,2.34
R001,2023-12-31,5,63.64,16886.5,12.61,7.68,1.35
R001,2024-01-01,5,67.3,20980.51,8.81,5.69,0.0
R001,2024-01-02,5,61.13,22233.17,6.03,4.7,1.11
R001,2024-01-03,6,61.4,18804.86,13.46,6.08,0.89
R001,2024-01-04,3,55.59,18195.56,5.12,3.94,5.67
R001,2024-01-05,3,64.33,17961.69,14.19,7.95,1.89
R001,2024-01-06,4,56.34,21406.57,8.18,5.3,4.94
R001,2024-01-07,4,60.75,21648.06,10.03,5.36,1.42
R001,2024-01-08,5,60.1,19941.37,7.97,7.59,3.16
R001,2024-01-09,4,55.62,22714.86,6.61,8.11,7.51
R001,2024-01-10,5,56.83,18323.71,5.61,7.68,5.89
R001,2024-01-11,5,55.13,20830.06,11.23,8.72,8.82
R001,2024-01-12,5,60.73,17832.14,12.88,10.79,7.44
R001,2024-01-13,4,61.76,16845.67,8.02,4.74,0.6
R001,2024-01-14,4,64.16,19427.7,14.69,5.93,0.0
R001,2024-01-15,3,66.13,18313.55,6.81,6.67,0.13
R001,2024-01-16,7,64.08,21087.2,9.82,6.45,0.0
R001,2024-01-17,6,58.02,21544.59,11.91,3.99,3.6
R001,2024-01-18,6,59.21,19474.28,8.05,6.42,2.64
R001,2024-01-19,4,60.57,22261.67,12.35,3.43,1.56
R001,2024-01-20,6,54.48,18522.17,5.38,6.33,6.43
R001,2024-01-21,6,63.02,20055.26,7.73,3.64,0.0
R001,2024-01-22,4,53.97,20011.38,11.39,6.98,7.14
R001,2024-01-23,5,65.64,17818.38,13.86,6.88,0.14
R001,2024-01-24,4,59.98,20275.45,6.1,7.21,2.68
R001,2024-01-25,3,69.48,20270.87,12.3,9.13,3.65
R001,2024-01-26,5,60.0,16127.51,12.31,7.71,3.41
R001,2024-01-27,5,61.16,19303.72,12.97,6.79,1.1
R001,2024-01-28,3,66.98,20074.81,10.22,5.79,0.13
R001,2024-01-29,5,64.35,18807.88,11.21,7.04,0.39
R001,2024-01-30,4,62.57,20412.61,14.82,8.35,2.35
R001,2024-01-31,3,66.43,20119.08,6.54,7.5,1.22
R001,2024-02-01,5,62.46,19502.15,12.11,3.75,0.05
R001,2024-02-02,3,68.76,15320.24,12.67,4.68,0.13
R001,2024-02-03,4,69.04,15861.36,7.49,6.04,0.0
R001,2024-02-04,5,69.7,18724.61,5.21,1.43,0.0
R001,2024-02-05,6,64.67,19984.35,11.74,6.01,0.0
R001,2024-02-06,5,59.92,14956.06,9.97,5.87,2.08
R001,2024-02-07,5,70.11,18239.2,6.85,2.8,0.0
R001,2024-02-08,4,69.72,16915.81,8.23,5.35,0.0
R001,2024-02-09,6,65.23,17742.82,5.03,6.89,0.16
R001,2024-02-10,3,62.48,19807.73,14.43,3.17,0.16
R001,2024-02-11,5,65.19,18066.38,14.86,6.62,0.0
R001,2024-02-12,4,66.83,18656.57,7.51,4.36,0.0
R001,2024-02-13,5,69.92,19916.32,12.91,6.21,0.0
R001,2024-02-14,6,61.21,21988.56,11.12,7.92,2.76
R001,2024-02-15,5,59.62,17541.34,12.7,4.21,2.32
R001,2024-02-16,5,65.87,20210.75,7.34,4.49,0.0
R001,2024-02-17,5,69.17,19298.74,9.69,5.88,0.0
R001,2024-02-18,6,60.93,14883.76,10.57,4.68,1.27
R001,2024-02-19,4,65.68,19433.49,11.81,4.23,0.0
R001,2024-02-20,5,59.86,17355.59,5.5,6.99,2.44
R001,2024-02-21,3,65.93,20685.12,8.51,8.91,3.32
R001,2024-02-22,6,57.4,21941.74,6.15,3.83,4.09
R001,2024-02-23,5,51.31,22372.17,13.88,3.72,8.96
