lead_id,customer_id,country,service_type,lead_date,assigned_at,converted_at,lead_status,lead_source
L00046,C00248,DK,payroll,2023-03-03,2023-03-03,2023-03-17,converted,referral
L00047,C00097,DK,audit,2023-03-05,2023-03-05,,lost,organic
L00048,C00010,DK,tax_advisory,2023-03-11,2023-03-12,,pending,referral
L00049,C00156,DK,bookkeeping,2023-03-10,2023-03-15,2023-03-23,converted,partner
L00050,C00038,DK,bookkeeping,2023-03-23,2023-03-23,2023-04-09,converted,referral
L00051,C00266,DK,audit,2023-03-21,,,unassigned,partner
L00052,C00188,DK,audit,2023-03-28,2023-03-30,,lost,organic
L00053,C00270,DK,bookkeeping,2023-03-03,2023-03-04,,pending,partner
L00054,C00134,DK,payroll,2023-03-09,2023-03-12,2023-03-30,converted,partner
L00055,C00225,DK,payroll,2023-03-06,2023-03-06,,pending,paid
L00056,C00148,DK,bookkeeping,2023-03-13,2023-03-13,,lost,referral
L00057,C00056,DK,payroll,2023-03-26,2023-03-27,2023-04-02,converted,organic
L00058,C00246,DK,audit,2023-03-14,2023-03-17,,pending,paid
L00059,C00306,DK,audit,2023-03-10,2023-03-11,2023-03-23,converted,referral
L00060,C00052,DK,audit,2023-03-17,2023-03-18,2023-04-12,converted,paid
L00061,C00276,DK,payroll,2023-03-23,2023-03-23,2023-04-15,converted,organic
L00062,C00204,DK,audit,2023-03-11,,,unassigned,partner
L00063,C00133,DK,bookkeeping,2023-03-28,2023-03-28,2023-04-10,converted,partner
L00064,C00004,DK,audit,2023-03-22,2023-03-23,2023-04-15,converted,organic
L00065,C00174,DK,bookkeeping,2023-03-16,2023-03-16,,lost,partner
L00066,C00258,DK,tax_advisory,2023-03-07,2023-03-09,2023-03-14,converted,organic
L00067,C00048,DK,audit,2023-04-12,2023-04-12,2023-04-25,converted,referral
L00068,C00235,DK,bookkeeping,2023-04-10,2023-04-11,,lost,paid
L00069,C00119,DK,audit,2023-04-21,2023-04-21,2023-05-02,converted,partner
L00070,C00084,DK,accounting,2023-04-05,2023-04-05,,pending,paid
L00071,C00015,DK,audit,2023-04-05,2023-04-07,,pending,partner
L00072,C00200,DK,accounting,2023-04-19,,,unassigned,referral
L00073,C00035,DK,accounting,2023-04-06,2023-04-06,,lost,partner
L00074,C00214,DK,audit,2023-04-17,2023-04-17,2023-05-09,converted,paid
L00075,C00032,DK,payroll,2023-04-15,2023-04-17,,lost,paid
L00076,C00206,DK,payroll,2023-04-06,2023-04-07,,lost,paid
L00077,C00013,DK,audit,2023-04-26,2023-04-30,,pending,partner
L00078,C00049,DK,bookkeeping,2023-04-02,2023-04-03,2023-04-26,converted,partner
L00079,C00217,DK,bookkeeping,2023-04-09,2023-04-09,2023-04-18,converted,partner
L00080,C00086,DK,accounting,2023-04-03,2023-04-05,2023-04-09,converted,referral
L00081,C00028,DK,audit,2023-04-16,2023-04-16,2023-04-28,converted,paid
L00082,C00100,DK,accounting,2023-04-08,,,unassigned,partner
L00083,C00061,DK,payroll,2023-04-04,2023-04-05,2023-04-18,converted,referral
L00084,C00201,DK,accounting,2023-04-16,2023-04-16,2023-05-07,converted,partner
L00085,C00031,DK,bookkeeping,2023-04-17,2023-04-17,,pending,paid
L00086,C00251,DK,accounting,2023-04-09,2023-04-09,2023-04-13,converted,partner
L00087,C00233,DK,tax_advisory,2023-04-07,2023-04-09,2023-04-26,converted,paid
L00088,C00304,DK,bookkeeping,2023-04-05,2023-04-06,2023-04-28,converted,paid
L00089,C00332,DK,bookkeeping,2023-05-03,2023-05-03,,pending,paid
L00090,C00094,DK,payroll,2023-05-22,2023-05-22,,lost,paid
L00091,C00095,DK,audit,2023-05-12,2023-05-12,2023-05-19,converted,referral
L00092,C00004,DK,audit,2023-05-11,2023-05-15,2023-06-03,converted,paid
L00093,C00283,DK,payroll,2023-05-21,2023-05-22,,lost,referral
L00094,C00053,DK,tax_advisory,2023-05-18,2023-05-18,2023-05-29,converted,referral
L00095,C00215,DK,bookkeeping,2023-05-04,,,unassigned,partner
L00096,C00290,DK,tax_advisory,2023-05-21,2023-05-22,,lost,paid
L00097,C00081,DK,accounting,2023-05-22,2023-05-23,2023-05-27,converted,partner
L00098,C00320,DK,accounting,2023-05-22,2023-05-23,,pending,partner
L00099,C00088,DK,payroll,2023-05-16,2023-05-16,2023-05-20,converted,referral
L00100,C00139,DK,accounting,2023-05-22,2023-05-23,2023-06-03,converted,organic
L00101,C00236,DK,accounting,2023-05-25,2023-05-25,2023-06-12,converted,paid
L00102,C00003,DK,bookkeeping,2023-05-20,2023-05-21,,lost,organic
L00103,C00240,DK,tax_advisory,2023-05-07,2023-05-07,2023-05-17,converted,partner
L00104,C00002,DK,bookkeeping,2023-05-13,2023-05-14,2023-05-29,converted,partner
L00105,C00003,DK,audit,2023-05-28,2023-06-03,2023-06-24,converted,partner
L00106,C00103,DK,tax_advisory,2023-05-25,2023-05-25,,pending,referral
L00107,C00313,DK,accounting,2023-05-16,,,unassigned,organic
L00108,C00104,DK,bookkeeping,2023-05-03,2023-05-04,2023-05-10,converted,paid
L00109,C00304,DK,bookkeeping,2023-05-22,2023-05-22,2023-06-06,converted,paid
L00110,C00075,DK,bookkeeping,2023-05-25,2023-05-31,,pending,paid
L00111,C00350,DK,bookkeeping,2023-06-01,2023-06-01,2023-06-11,converted,organic
L00112,C00089,DK,tax_advisory,2023-06-17,,,unassigned,referral
L00113,C00326,DK,payroll,2023-06-17,2023-06-17,2023-07-01,converted,paid
L00114,C00330,DK,payroll,2023-06-28,2023-06-29,2023-07-14,converted,organic
L00115,C00306,DK,bookkeeping,2023-06-18,2023-06-19,,pending,referral
L00116,C00100,DK,tax_advisory,2023-06-11,2023-06-11,2023-06-15,converted,referral
L00117,C00371,DK,audit,2023-06-12,2023-06-15,,pending,organic
L00118,C00077,DK,payroll,2023-06-09,2023-06-09,2023-07-01,converted,organic
L00119,C00141,DK,tax_advisory,2023-06-08,2023-06-09,2023-06-14,converted,organic
L00120,C00240,DK,tax_advisory,2023-06-07,2023-06-08,,lost,referral
L00121,C00318,DK,tax_advisory,2023-06-27,2023-06-27,,lost,referral
L00122,C00298,DK,bookkeeping,2023-06-24,2023-06-25,,lost,partner
L00123,C00310,DK,tax_advisory,2023-06-06,2023-06-07,2023-06-14,converted,paid
L00124,C00386,DK,bookkeeping,2023-06-13,2023-06-13,2023-06-20,converted,organic
L00125,C00186,DK,payroll,2023-06-22,2023-06-22,2023-07-14,converted,organic
L00126,C00027,DK,payroll,2023-06-21,2023-06-22,,lost,organic
L00127,C00308,DK,payroll,2023-06-19,2023-06-19,,pending,organic
L00128,C00018,DK,payroll,2023-06-09,,,unassigned,paid
L00129,C00074,DK,bookkeeping,2023-06-08,2023-06-08,2023-06-25,converted,partner
L00130,C00262,DK,bookkeeping,2023-06-11,2023-06-11,,pending,partner
L00131,C00083,DK,audit,2023-06-05,2023-06-05,,lost,paid
L00132,C00178,DK,tax_advisory,2023-06-06,2023-06-06,2023-06-19,converted,paid
L00133,C00112,DK,tax_advisory,2023-07-27,2023-07-28,2023-08-03,converted,referral
L00134,C00229,DK,bookkeeping,2023-07-14,2023-07-14,2023-07-27,converted,paid
L00135,C00254,DK,accounting,2023-07-21,2023-07-22,2023-08-03,converted,organic
L00136,C00015,DK,audit,2023-07-17,2023-07-20,2023-08-13,converted,paid
L00137,C00393,DK,payroll,2023-07-07,,,unassigned,organic
L00138,C00171,DK,bookkeeping,2023-07-19,2023-07-20,2023-08-04,converted,organic
L00139,C00242,DK,payroll,2023-07-25,2023-07-25,,lost,partner
L00140,C00233,DK,audit,2023-07-26,2023-07-31,,pending,partner
L00141,C00304,DK,audit,2023-07-12,2023-07-12,,pending,referral
L00142,C00375,DK,tax_advisory,2023-07-19,2023-07-19,,lost,paid
L00143,C00370,DK,payroll,2023-07-07,2023-07-08,2023-07-29,converted,partner
L00144,C00113,DK,audit,2023-07-22,2023-07-26,,lost,organic
L00145,C00143,DK,payroll,2023-07-24,2023-07-25,2023-08-01,converted,organic
L00146,C00199,DK,tax_advisory,2023-07-28,,,unassigned,referral
L00147,C00388,DK,bookkeeping,2023-07-07,2023-07-12,2023-07-30,converted,partner
L00148,C00100,DK,bookkeeping,2023-07-05,2023-07-05,,pending,paid
L00149,C00096,DK,payroll,2023-07-21,2023-07-27,2023-08-14,converted,organic
L00150,C00131,DK,audit,2023-07-22,2023-07-22,2023-08-01,converted,paid
L00151,C00003,DK,tax_advisory,2023-07-04,2023-07-04,,lost,partner
L00152,C00012,DK,payroll,2023-07-18,2023-07-19,,lost,paid
L00153,C00009,DK,bookkeeping,2023-07-08,2023-07-10,,pending,partner
L00154,C00132,DK,bookkeeping,2023-07-07,2023-07-08,2023-07-13,converted,referral
L00155,C00278,DK,payroll,2023-08-11,2023-08-12,2023-08-28,converted,paid
L00156,C00217,DK,payroll,2023-08-23,2023-08-23,,lost,paid
L00157,C00390,DK,payroll,2023-08-19,2023-08-20,2023-09-02,converted,organic
L00158,C00234,DK,accounting,2023-08-06,2023-08-07,2023-08-21,converted,referral
L00159,C00381,DK,payroll,2023-08-19,2023-08-19,,pending,organic
L00160,C00139,DK,payroll,2023-08-14,2023-08-15,,pending,paid
L00161,C00365,DK,audit,2023-08-04,2023-08-05,2023-08-15,converted,partner
L00162,C00403,DK,tax_advisory,2023-08-04,2023-08-05,2023-08-11,converted,referral
L00163,C00031,DK,audit,2023-08-15,2023-08-16,,lost,organic
L00164,C00121,DK,tax_advisory,2023-08-14,2023-08-15,2023-08-26,converted,referral
L00165,C00238,DK,accounting,2023-08-22,2023-08-25,2023-09-09,converted,paid
L00166,C00006,DK,audit,2023-08-16,2023-08-17,,pending,partner
L00167,C00221,DK,payroll,2023-08-08,2023-08-08,2023-08-14,converted,partner
L00168,C00392,DK,audit,2023-08-28,2023-09-02,2023-09-24,converted,paid
L00169,C00209,DK,audit,2023-08-20,,,unassigned,paid
L00170,C00037,DK,bookkeeping,2023-08-28,,,unassigned,organic
L00171,C00036,DK,payroll,2023-08-18,2023-08-18,,lost,organic
L00172,C00266,DK,audit,2023-08-21,2023-08-22,,pending,partner
L00173,C00140,DK,audit,2023-08-24,2023-08-25,2023-09-19,converted,partner
L00174,C00072,DK,bookkeeping,2023-08-01,2023-08-01,2023-08-23,converted,partner
L00175,C00175,DK,accounting,2023-08-08,2023-08-09,2023-08-22,converted,partner
L00176,C00066,DK,bookkeeping,2023-08-13,2023-08-14,,lost,paid
L00177,C00210,DK,accounting,2023-09-20,2023-09-20,,pending,paid
L00178,C00260,DK,payroll,2023-09-17,2023-09-18,2023-09-26,converted,paid
L00179,C00321,DK,payroll,2023-09-07,2023-09-10,2023-09-17,converted,referral
L00180,C00247,DK,tax_advisory,2023-09-16,,,unassigned,partner
L00181,C00321,DK,payroll,2023-09-07,2023-09-08,,lost,organic
L00182,C00126,DK,payroll,2023-09-28,2023-09-29,2023-10-15,converted,partner
L00183,C00075,DK,bookkeeping,2023-09-17,2023-09-17,,lost,partner
L00184,C00097,DK,audit,2023-09-08,2023-09-09,,pending,referral
L00185,C00226,DK,accounting,2023-09-06,2023-09-06,2023-09-11,converted,referral
L00186,C00381,DK,bookkeeping,2023-09-12,2023-09-13,2023-10-05,converted,partner
L00187,C00208,DK,payroll,2023-09-07,2023-09-08,2023-09-12,converted,partner
L00188,C00316,DK,bookkeeping,2023-09-17,2023-09-17,,lost,referral
L00189,C00316,DK,payroll,2023-09-08,2023-09-08,,lost,referral
L00190,C00172,DK,bookkeeping,2023-09-23,2023-09-27,,lost,organic
L00191,C00030,DK,bookkeeping,2023-09-15,2023-09-16,2023-09-26,converted,organic
L00192,C00080,DK,accounting,2023-09-09,,,unassigned,partner
L00193,C00294,DK,audit,2023-09-09,2023-09-09,,pending,referral
L00194,C00283,DK,bookkeeping,2023-09-27,2023-09-28,2023-10-05,converted,referral
L00195,C00412,DK,bookkeeping,2023-09-09,2023-09-11,,pending,paid
L00196,C00367,DK,audit,2023-09-24,2023-09-25,2023-10-18,converted,organic
L00197,C00184,DK,tax_advisory,2023-09-07,2023-09-08,2023-09-24,converted,organic
L00198,C00416,DK,payroll,2023-09-15,2023-09-16,2023-10-07,converted,referral
L00199,C00375,DK,accounting,2023-10-24,2023-10-26,2023-11-20,converted,referral
L00200,C00037,DK,payroll,2023-10-02,2023-10-02,2023-10-09,converted,paid
L00201,C00166,DK,accounting,2023-10-27,,,unassigned,paid
L00202,C00357,DK,bookkeeping,2023-10-20,2023-10-23,2023-11-13,converted,organic
L00203,C00230,DK,bookkeeping,2023-10-03,2023-10-03,2023-10-15,converted,referral
L00204,C00362,DK,bookkeeping,2023-10-06,2023-10-06,,pending,partner
L00205,C00106,DK,payroll,2023-10-11,2023-10-16,2023-11-04,converted,organic
L00206,C00254,DK,bookkeeping,2023-10-09,2023-10-10,2023-10-24,converted,partner
L00207,C00082,DK,audit,2023-10-13,2023-10-14,2023-10-26,converted,paid
L00208,C00409,DK,payroll,2023-10-07,2023-10-07,,lost,partner
L00209,C00298,DK,accounting,2023-10-24,2023-10-25,2023-10-30,converted,paid
L00210,C00299,DK,tax_advisory,2023-10-23,2023-10-23,2023-10-27,converted,partner
L00211,C00418,DK,accounting,2023-10-03,2023-10-03,2023-10-19,converted,referral
L00212,C00340,DK,bookkeeping,2023-10-22,2023-10-23,,pending,organic
L00213,C00194,DK,payroll,2023-10-07,,,unassigned,paid
L00214,C00258,DK,audit,2023-10-28,2023-10-28,,pending,paid
L00215,C00382,DK,accounting,2023-10-07,2023-10-07,,pending,referral
L00216,C00420,DK,accounting,2023-10-04,2023-10-04,,lost,paid
L00217,C00451,DK,audit,2023-10-03,2023-10-03,,lost,paid
L00218,C00270,DK,audit,2023-10-19,2023-10-22,2023-10-27,converted,referral
L00219,C00339,DK,accounting,2023-10-21,2023-10-21,,lost,organic
L00220,C00084,DK,tax_advisory,2023-10-18,2023-10-18,,lost,paid
L00221,C00114,DK,payroll,2023-11-23,2023-11-24,,lost,referral
L00222,C00159,DK,accounting,2023-11-06,,,unassigned,paid
L00223,C00256,DK,bookkeeping,2023-11-08,,,unassigned,paid
L00224,C00186,DK,payroll,2023-11-02,2023-11-03,2023-11-26,converted,organic
L00225,C00330,DK,accounting,2023-11-09,2023-11-09,2023-12-01,converted,paid
L00226,C00087,DK,payroll,2023-11-20,2023-11-21,,pending,referral
L00227,C00301,DK,accounting,2023-11-20,2023-11-21,2023-12-01,converted,organic
L00228,C00124,DK,tax_advisory,2023-11-13,2023-11-14,2023-11-24,converted,paid
L00229,C00503,DK,bookkeeping,2023-11-15,2023-11-16,2023-11-25,converted,organic
L00230,C00301,DK,audit,2023-11-28,2023-12-02,,lost,referral
L00231,C00113,DK,payroll,2023-11-17,2023-11-17,,lost,partner
L00232,C00008,DK,accounting,2023-11-18,2023-11-19,2023-11-27,converted,organic
L00233,C00174,DK,bookkeeping,2023-11-22,2023-11-23,2023-12-17,converted,partner
L00234,C00291,DK,tax_advisory,2023-11-18,2023-11-19,,pending,organic
L00235,C00411,DK,payroll,2023-11-15,2023-11-16,2023-11-22,converted,referral
L00236,C00063,DK,audit,2023-11-01,2023-11-01,2023-11-09,converted,referral
L00237,C00083,DK,bookkeeping,2023-11-11,2023-11-11,,pending,partner
L00238,C00027,DK,accounting,2023-11-24,2023-11-24,2023-12-15,converted,paid
L00239,C00368,DK,accounting,2023-11-06,2023-11-10,2023-11-16,converted,paid
L00240,C00088,DK,payroll,2023-11-21,2023-11-21,2023-11-25,converted,referral
L00241,C00175,DK,bookkeeping,2023-11-06,2023-11-07,,pending,organic
L00242,C00032,DK,accounting,2023-11-05,2023-11-06,,lost,referral
L00243,C00192,DK,payroll,2023-12-04,2023-12-04,2023-12-16,converted,partner
L00244,C00405,DK,bookkeeping,2023-12-18,2023-12-24,2024-01-07,converted,referral
L00245,C00289,DK,bookkeeping,2023-12-06,2023-12-09,,pending,organic
L00246,C00291,DK,accounting,2023-12-19,2023-12-20,,pending,partner
L00247,C00437,DK,tax_advisory,2023-12-16,2023-12-16,2024-01-02,converted,referral
L00248,C00374,DK,audit,2023-12-25,2023-12-25,,lost,partner
L00249,C00524,DK,bookkeeping,2023-12-25,,,unassigned,referral
L00250,C00288,DK,bookkeeping,2023-12-10,2023-12-11,2023-12-27,converted,partner
L00251,C00113,DK,payroll,2023-12-22,2023-12-22,2024-01-04,converted,referral
L00252,C00465,DK,payroll,2023-12-28,2023-12-28,2024-01-12,converted,referral
L00253,C00181,DK,payroll,2023-12-09,2023-12-09,2023-12-15,converted,organic
L00254,C00427,DK,payroll,2023-12-11,2023-12-12,,lost,referral
L00255,C00145,DK,audit,2023-12-01,2023-12-01,2023-12-17,converted,referral
L00256,C00418,DK,audit,2023-12-20,2023-12-20,2024-01-01,converted,organic
L00257,C00230,DK,payroll,2023-12-23,2023-12-24,,pending,paid
L00258,C00378,DK,accounting,2023-12-17,,,unassigned,partner
L00259,C00013,DK,tax_advisory,2023-12-04,2023-12-05,2023-12-18,converted,organic
L00260,C00178,DK,accounting,2023-12-21,2023-12-21,2024-01-03,converted,paid
L00261,C00009,DK,tax_advisory,2023-12-25,2023-12-25,,lost,partner
L00262,C00458,DK,audit,2023-12-09,2023-12-10,2023-12-17,converted,referral
L00263,C00454,DK,bookkeeping,2023-12-08,2023-12-08,,lost,referral
L00264,C00311,DK,accounting,2023-12-09,2023-12-10,,pending,partner
L00265,C00330,DK,accounting,2024-01-05,2024-01-10,2024-02-02,converted,paid
L00266,C00062,DK,accounting,2024-01-01,,,unassigned,organic
L00267,C00264,DK,accounting,2024-01-16,2024-01-17,,pending,organic
L00268,C00243,DK,tax_advisory,2024-01-03,2024-01-04,,lost,referral
L00269,C00096,DK,accounting,2024-01-28,2024-02-03,,pending,partner
L00270,C00412,DK,accounting,2024-01-22,2024-01-26,2024-02-17,converted,referral
L00271,C00368,DK,payroll,2024-01-21,2024-01-21,2024-01-24,converted,referral
L00272,C00287,DK,bookkeeping,2024-01-12,2024-01-12,2024-01-23,converted,partner
L00273,C00020,DK,payroll,2024-01-06,2024-01-10,2024-01-18,converted,partner
L00274,C00181,DK,payroll,2024-01-27,2024-02-02,,lost,referral
L00275,C00468,DK,payroll,2024-01-11,2024-01-11,,lost,referral
L00276,C00377,DK,bookkeeping,2024-01-06,2024-01-06,2024-01-31,converted,organic
L00277,C00051,DK,payroll,2024-01-11,2024-01-11,,pending,paid
L00278,C00396,DK,audit,2024-01-15,,,unassigned,referral
L00279,C00391,DK,accounting,2024-01-01,2024-01-02,2024-01-23,converted,referral
L00280,C00266,DK,accounting,2024-01-03,2024-01-04,,lost,paid
L00281,C00275,DK,payroll,2024-01-25,2024-01-25,2024-02-02,converted,paid
L00282,C00373,DK,payroll,2024-01-13,2024-01-14,,pending,partner
L00283,C00061,DK,audit,2024-01-18,2024-01-19,2024-02-05,converted,paid
L00284,C00409,DK,payroll,2024-01-05,2024-01-05,2024-01-19,converted,partner
L00285,C00531,DK,tax_advisory,2024-01-20,2024-01-22,,lost,referral
L00286,C00240,DK,bookkeeping,2024-01-14,2024-01-16,2024-01-24,converted,organic
L00287,C00086,DK,tax_advisory,2024-02-12,2024-02-13,2024-03-05,converted,referral
L00288,C00546,DK,accounting,2024-02-23,2024-02-23,2024-02-29,converted,organic
L00289,C00496,DK,payroll,2024-02-04,2024-02-04,,lost,partner
L00290,C00106,DK,bookkeeping,2024-02-22,2024-02-22,2024-03-02,converted,paid
L00291,C00009,DK,audit,2024-02-06,2024-02-07,,pending,organic
L00292,C00439,DK,tax_advisory,2024-02-05,2024-02-06,2024-02-28,converted,paid
L00293,C00510,DK,accounting,2024-02-24,2024-02-24,,lost,paid
L00294,C00055,DK,payroll,2024-02-22,2024-02-22,,pending,paid
L00295,C00064,DK,bookkeeping,2024-02-06,,,unassigned,partner
L00296,C00111,DK,payroll,2024-02-17,2024-02-17,2024-03-01,converted,referral
L00297,C00261,DK,payroll,2024-02-17,2024-02-17,2024-03-04,converted,partner
L00298,C00287,DK,tax_advisory,2024-02-16,2024-02-18,,lost,partner
L00299,C00020,DK,accounting,2024-02-20,,,unassigned,paid
L00300,C00107,DK,audit,2024-02-17,2024-02-17,2024-02-28,converted,organic
L00301,C00093,DK,tax_advisory,2024-02-23,2024-02-26,,lost,referral
L00302,C00038,DK,tax_advisory,2024-02-16,2024-02-16,2024-02-27,converted,organic
L00303,C00158,DK,bookkeeping,2024-02-27,2024-02-28,2024-03-20,converted,organic
L00304,C00353,DK,payroll,2024-02-16,2024-02-16,,pending,organic
L00305,C00172,DK,accounting,2024-02-08,2024-02-08,,pending,organic
L00306,C00486,DK,payroll,2024-02-21,2024-02-21,2024-03-14,converted,referral
L00307,C00398,DK,tax_advisory,2024-02-18,2024-02-19,,lost,organic
L00308,C00057,DK,audit,2024-02-03,2024-02-04,2024-02-07,converted,paid
L00309,C00254,DK,bookkeeping,2024-03-24,2024-03-24,2024-03-30,converted,partner
L00310,C00042,DK,payroll,2024-03-20,2024-03-21,,lost,paid
L00311,C00247,DK,bookkeeping,2024-03-27,2024-03-28,2024-04-16,converted,partner
L00312,C00267,DK,payroll,2024-03-22,,,unassigned,referral
L00313,C00053,DK,bookkeeping,2024-03-05,2024-03-06,2024-03-13,converted,referral
L00314,C00125,DK,accounting,2024-03-09,2024-03-10,,pending,referral
L00315,C00249,DK,payroll,2024-03-27,2024-03-27,2024-04-17,converted,organic
L00316,C00379,DK,bookkeeping,2024-03-09,,,unassigned,organic
L00317,C00310,DK,audit,2024-03-28,2024-03-29,,lost,partner
L00318,C00312,DK,tax_advisory,2024-03-16,2024-03-16,2024-03-28,converted,partner
L00319,C00509,DK,payroll,2024-03-05,,,unassigned,referral
L00320,C00588,DK,payroll,2024-03-10,2024-03-10,,pending,paid
L00321,C00495,DK,payroll,2024-03-01,2024-03-01,,pending,partner
L00322,C00097,DK,tax_advisory,2024-03-05,2024-03-11,,lost,referral
L00323,C00269,DK,payroll,2024-03-23,2024-03-24,2024-04-06,converted,paid
L00324,C00494,DK,tax_advisory,2024-03-20,2024-03-21,,pending,referral
L00325,C00256,DK,tax_advisory,2024-03-24,2024-03-28,,pending,paid
L00326,C00201,DK,payroll,2024-03-09,2024-03-13,2024-03-16,converted,paid
L00327,C00499,DK,tax_advisory,2024-03-09,2024-03-09,2024-03-21,converted,paid
L00328,C00153,DK,accounting,2024-03-08,2024-03-09,,lost,referral
L00329,C00242,DK,audit,2024-03-10,2024-03-11,2024-03-25,converted,organic
L00330,C00160,DK,tax_advisory,2024-03-22,2024-03-27,2024-04-06,converted,referral
L00331,C00089,DK,accounting,2024-04-26,2024-04-27,,lost,partner
L00332,C00122,DK,accounting,2024-04-25,2024-04-25,2024-05-14,converted,partner
L00333,C00588,DK,tax_advisory,2024-04-06,2024-04-07,,lost,partner
L00334,C00006,DK,audit,2024-04-05,,,unassigned,partner
L00335,C00331,DK,tax_advisory,2024-04-07,2024-04-08,,pending,partner
L00336,C00109,DK,payroll,2024-04-07,2024-04-08,2024-05-03,converted,referral
L00337,C00055,DK,payroll,2024-04-05,2024-04-06,,pending,paid
L00338,C00043,DK,accounting,2024-04-06,2024-04-07,2024-04-16,converted,organic
L00339,C00111,DK,audit,2024-04-22,2024-04-23,2024-05-03,converted,paid
L00340,C00016,DK,payroll,2024-04-08,2024-04-11,,lost,referral
L00341,C00259,DK,audit,2024-04-25,2024-04-26,,lost,paid
L00342,C00485,DK,accounting,2024-04-27,2024-04-27,,pending,paid
L00343,C00168,DK,bookkeeping,2024-04-03,,,unassigned,referral
L00344,C00077,DK,accounting,2024-04-20,2024-04-21,2024-05-13,converted,paid
L00345,C00470,DK,tax_advisory,2024-04-10,2024-04-10,,pending,partner
L00346,C00027,DK,audit,2024-04-10,2024-04-11,2024-04-19,converted,referral
L00347,C00148,DK,payroll,2024-04-19,2024-04-19,2024-05-03,converted,paid
L00348,C00505,DK,payroll,2024-04-03,2024-04-09,2024-04-26,converted,partner
L00349,C00110,DK,payroll,2024-04-04,2024-04-05,2024-04-09,converted,organic
L00350,C00146,DK,audit,2024-04-02,2024-04-03,2024-04-06,converted,referral
L00351,C00107,DK,audit,2024-04-13,2024-04-16,2024-04-26,converted,paid
