survey_id,customer_id,survey_date,nps_score,csat_score,country,comment
SV00108,C00181,2023-06-25,9,4,DK,Fremragende service og hurtig respons
SV00109,C00147,2023-07-11,10,5,DK,Fremragende service og hurtig respons
SV00110,C00072,2023-07-14,10,5,DK,Fremragende service og hurtig respons
SV00111,C00140,2023-07-08,7,3,DK,"God service, men kan forbedres"
SV00112,C00165,2023-07-03,10,4,DK,Fremragende service og hurtig respons
SV00113,C00251,2023-07-28,7,4,DK,"God service, men kan forbedres"
SV00114,C00115,2023-07-18,8,4,DK,"God service, men kan forbedres"
SV00115,C00256,2023-07-16,9,4,DK,Fremragende service og hurtig respons
SV00116,C00289,2023-07-19,10,5,DK,Fremragende service og hurtig respons
SV00117,C00061,2023-07-22,10,4,DK,Fremragende service og hurtig respons
SV00118,C00241,2023-07-22,8,4,DK,"God service, men kan forbedres"
SV00119,C00246,2023-07-02,9,5,DK,Fremragende service og hurtig respons
SV00120,C00378,2023-07-05,8,3,DK,"God service, men kan forbedres"
SV00121,C00007,2023-07-05,4,3,DK,Ikke tilfreds med serviceniveauet
SV00122,C00174,2023-07-02,6,3,DK,Ikke tilfreds med serviceniveauet
SV00123,C00262,2023-07-22,9,5,DK,Fremragende service og hurtig respons
SV00124,C00121,2023-07-23,9,5,DK,Fremragende service og hurtig respons
SV00125,C00347,2023-07-09,10,4,DK,Fremragende service og hurtig respons
SV00126,C00054,2023-07-08,7,4,DK,"God service, men kan forbedres"
SV00127,C00052,2023-08-21,7,3,DK,"God service, men kan forbedres"
SV00128,C00349,2023-08-25,10,5,DK,Fremragende service og hurtig respons
SV00129,C00198,2023-08-17,10,4,DK,Fremragende service og hurtig respons
SV00130,C00202,2023-08-22,7,4,DK,"God service, men kan forbedres"
SV00131,C00191,2023-08-17,4,1,DK,Ikke tilfreds med serviceniveauet
SV00132,C00053,2023-08-12,5,2,DK,Ikke tilfreds med serviceniveauet
SV00133,C00426,2023-08-23,10,5,DK,Fremragende service og hurtig respons
SV00134,C00205,2023-08-14,10,4,DK,Fremragende service og hurtig respons
SV00135,C00297,2023-08-14,10,4,DK,Fremragende service og hurtig respons
SV00136,C00219,2023-08-08,10,4,DK,Fremragende service og hurtig respons
SV00137,C00158,2023-08-09,10,4,DK,Fremragende service og hurtig respons
SV00138,C00056,2023-08-19,2,2,DK,Ikke tilfreds med serviceniveauet
SV00139,C00039,2023-08-23,10,4,DK,Fremragende service og hurtig respons
SV00140,C00204,2023-08-08,7,4,DK,"God service, men kan forbedres"
SV00141,C00134,2023-08-07,7,3,DK,"God service, men kan forbedres"
SV00142,C00181,2023-08-12,7,3,DK,"God service, men kan forbedres"
SV00143,C00302,2023-08-13,10,4,DK,Fremragende service og hurtig respons
SV00144,C00329,2023-08-05,9,4,DK,Fremragende service og hurtig respons
SV00145,C00323,2023-09-12,7,4,DK,"God service, men kan forbedres"
SV00146,C00206,2023-09-02,10,4,DK,Fremragende service og hurtig respons
SV00147,C00104,2023-09-19,6,1,DK,Ikke tilfreds med serviceniveauet
SV00148,C00207,2023-09-25,10,4,DK,Fremragende service og hurtig respons
SV00149,C00006,2023-09-09,9,4,DK,Fremragende service og hurtig respons
SV00150,C00154,2023-09-04,9,5,DK,Fremragende service og hurtig respons
SV00151,C00255,2023-09-13,9,4,DK,Fremragende service og hurtig respons
SV00152,C00386,2023-09-13,9,4,DK,Fremragende service og hurtig respons
SV00153,C00427,2023-09-20,0,3,DK,Ikke tilfreds med serviceniveauet
SV00154,C00236,2023-09-17,8,3,DK,"God service, men kan forbedres"
SV00155,C00346,2023-09-22,7,4,DK,"God service, men kan forbedres"
SV00156,C00006,2023-09-12,9,5,DK,Fremragende service og hurtig respons
SV00157,C00096,2023-09-14,9,4,DK,Fremragende service og hurtig respons
SV00158,C00178,2023-09-01,10,4,DK,Fremragende service og hurtig respons
SV00159,C00329,2023-09-14,8,3,DK,"God service, men kan forbedres"
SV00160,C00221,2023-09-24,8,4,DK,"God service, men kan forbedres"
SV00161,C00070,2023-09-12,10,5,DK,Fremragende service og hurtig respons
SV00162,C00013,2023-09-25,8,3,DK,"God service, men kan forbedres"
SV00163,C00336,2023-10-07,10,4,DK,Fremragende service og hurtig respons
SV00164,C00423,2023-10-24,7,4,DK,"God service, men kan forbedres"
SV00165,C00285,2023-10-14,9,4,DK,Fremragende service og hurtig respons
SV00166,C00117,2023-10-17,9,4,DK,Fremragende service og hurtig respons
SV00167,C00422,2023-10-27,7,4,DK,"God service, men kan forbedres"
SV00168,C00071,2023-10-27,10,5,DK,Fremragende service og hurtig respons
SV00169,C00089,2023-10-22,7,4,DK,"God service, men kan forbedres"
SV00170,C00370,2023-10-21,5,1,DK,Ikke tilfreds med serviceniveauet
SV00171,C00256,2023-10-04,9,4,DK,Fremragende service og hurtig respons
SV00172,C00258,2023-10-25,7,4,DK,"God service, men kan forbedres"
SV00173,C00322,2023-10-26,9,4,DK,Fremragende service og hurtig respons
SV00174,C00212,2023-10-13,10,5,DK,Fremragende service og hurtig respons
SV00175,C00254,2023-10-08,10,5,DK,Fremragende service og hurtig respons
SV00176,C00337,2023-10-06,4,1,DK,Ikke tilfreds med serviceniveauet
SV00177,C00430,2023-10-08,7,4,DK,"God service, men kan forbedres"
SV00178,C00010,2023-10-11,10,5,DK,Fremragende service og hurtig respons
SV00179,C00310,2023-10-07,9,5,DK,Fremragende service og hurtig respons
SV00180,C00004,2023-10-02,9,5,DK,Fremragende service og hurtig respons
SV00181,C00241,2023-11-23,10,5,DK,Fremragende service og hurtig respons
SV00182,C00025,2023-11-27,9,5,DK,Fremragende service og hurtig respons
SV00183,C00189,2023-11-27,9,4,DK,Fremragende service og hurtig respons
SV00184,C00228,2023-11-13,10,4,DK,Fremragende service og hurtig respons
SV00185,C00359,2023-11-26,7,3,DK,"God service, men kan forbedres"
SV00186,C00073,2023-11-28,10,5,DK,Fremragende service og hurtig respons
SV00187,C00245,2023-11-10,8,3,DK,"God service, men kan forbedres"
SV00188,C00260,2023-11-12,9,4,DK,Fremragende service og hurtig respons
SV00189,C00484,2023-11-17,1,1,DK,Ikke tilfreds med serviceniveauet
SV00190,C00056,2023-11-23,9,5,DK,Fremragende service og hurtig respons
SV00191,C00253,2023-11-09,8,4,DK,"God service, men kan forbedres"
SV00192,C00122,2023-11-14,10,4,DK,Fremragende service og hurtig respons
SV00193,C00422,2023-11-13,7,4,DK,"God service, men kan forbedres"
SV00194,C00423,2023-11-12,10,5,DK,Fremragende service og hurtig respons
SV00195,C00501,2023-11-12,9,4,DK,Fremragende service og hurtig respons
SV00196,C00423,2023-11-05,10,4,DK,Fremragende service og hurtig respons
SV00197,C00341,2023-11-19,5,2,DK,Ikke tilfreds med serviceniveauet
SV00198,C00293,2023-11-09,7,3,DK,"God service, men kan forbedres"
SV00199,C00003,2023-12-11,5,2,DK,Ikke tilfreds med serviceniveauet
SV00200,C00384,2023-12-25,7,3,DK,"God service, men kan forbedres"
SV00201,C00454,2023-12-20,10,5,DK,Fremragende service og hurtig respons
SV00202,C00216,2023-12-17,9,4,DK,Fremragende service og hurtig respons
SV00203,C00376,2023-12-19,10,4,DK,Fremragende service og hurtig respons
SV00204,C00305,2023-12-26,9,4,DK,Fremragende service og hurtig respons
SV00205,C00004,2023-12-03,7,4,DK,"God service, men kan forbedres"
SV00206,C00352,2023-12-14,8,3,DK,"God service, men kan forbedres"
SV00207,C00038,2023-12-22,7,4,DK,"God service, men kan forbedres"
SV00208,C00443,2023-12-23,10,4,DK,Fremragende service og hurtig respons
SV00209,C00007,2023-12-05,9,4,DK,Fremragende service og hurtig respons
SV00210,C00089,2023-12-28,9,4,DK,Fremragende service og hurtig respons
SV00211,C00391,2023-12-03,1,1,DK,Ikke tilfreds med serviceniveauet
SV00212,C00500,2023-12-19,8,4,DK,"God service, men kan forbedres"
SV00213,C00175,2023-12-14,1,2,DK,Ikke tilfreds med serviceniveauet
SV00214,C00111,2023-12-01,9,5,DK,Fremragende service og hurtig respons
SV00215,C00490,2023-12-10,10,4,DK,Fremragende service og hurtig respons
SV00216,C00506,2023-12-13,10,5,DK,Fremragende service og hurtig respons
SV00217,C00402,2024-01-07,7,3,DK,"God service, men kan forbedres"
SV00218,C00268,2024-01-09,9,5,DK,Fremragende service og hurtig respons
SV00219,C00055,2024-01-14,10,4,DK,Fremragende service og hurtig respons
SV00220,C00114,2024-01-25,8,4,DK,"God service, men kan forbedres"
SV00221,C00208,2024-01-02,9,5,DK,Fremragende service og hurtig respons
SV00222,C00428,2024-01-04,7,3,DK,"God service, men kan forbedres"
SV00223,C00318,2024-01-27,3,1,DK,Ikke tilfreds med serviceniveauet
SV00224,C00036,2024-01-09,8,3,DK,"God service, men kan forbedres"
SV00225,C00320,2024-01-19,8,3,DK,"God service, men kan forbedres"
SV00226,C00390,2024-01-01,7,4,DK,"God service, men kan forbedres"
SV00227,C00008,2024-01-04,10,5,DK,Fremragende service og hurtig respons
SV00228,C00053,2024-01-02,9,4,DK,Fremragende service og hurtig respons
SV00229,C00513,2024-01-02,10,4,DK,Fremragende service og hurtig respons
SV00230,C00444,2024-01-11,2,2,DK,Ikke tilfreds med serviceniveauet
SV00231,C00515,2024-01-25,9,5,DK,Fremragende service og hurtig respons
SV00232,C00229,2024-01-10,1,2,DK,Ikke tilfreds med serviceniveauet
SV00233,C00095,2024-01-27,9,5,DK,Fremragende service og hurtig respons
SV00234,C00381,2024-01-07,9,5,DK,Fremragende service og hurtig respons
SV00235,C00212,2024-02-04,7,3,DK,"God service, men kan forbedres"
SV00236,C00308,2024-02-25,2,3,DK,Ikke tilfreds med serviceniveauet
SV00237,C00164,2024-02-28,7,4,DK,"God service, men kan forbedres"
SV00238,C00182,2024-02-22,10,4,DK,Fremragende service og hurtig respons
SV00239,C00228,2024-02-11,8,3,DK,"God service, men kan forbedres"
SV00240,C00555,2024-02-25,9,4,DK,Fremragende service og hurtig respons
SV00241,C00438,2024-02-23,3,3,DK,Ikke tilfreds med serviceniveauet
SV00242,C00041,2024-02-15,3,2,DK,Ikke tilfreds med serviceniveauet
SV00243,C00531,2024-02-21,10,4,DK,Fremragende service og hurtig respons
SV00244,C00218,2024-02-19,10,4,DK,Fremragende service og hurtig respons
SV00245,C00208,2024-02-25,8,3,DK,"God service, men kan forbedres"
SV00246,C00548,2024-02-19,10,4,DK,Fremragende service og hurtig respons
SV00247,C00206,2024-02-15,10,5,DK,Fremragende service og hurtig respons
SV00248,C00417,2024-02-01,9,4,DK,Fremragende service og hurtig respons
SV00249,C00445,2024-02-08,9,4,DK,Fremragende service og hurtig respons
SV00250,C00392,2024-02-23,9,4,DK,Fremragende service og hurtig respons
SV00251,C00523,2024-02-25,10,4,DK,Fremragende service og hurtig respons
SV00252,C00122,2024-02-06,7,4,DK,"God service, men kan forbedres"
SV00253,C00592,2024-03-16,7,3,DK,"God service, men kan forbedres"
SV00254,C00228,2024-03-18,9,4,DK,Fremragende service og hurtig respons
SV00255,C00328,2024-03-02,7,4,DK,"God service, men kan forbedres"
SV00256,C00024,2024-03-26,10,5,DK,Fremragende service og hurtig respons
SV00257,C00195,2024-03-12,4,3,DK,Ikke tilfreds med serviceniveauet
SV00258,C00426,2024-03-08,7,3,DK,"God service, men kan forbedres"
SV00259,C00502,2024-03-01,10,5,DK,Fremragende service og hurtig respons
SV00260,C00155,2024-03-17,10,4,DK,Fremragende service og hurtig respons
SV00261,C00381,2024-03-09,10,4,DK,Fremragende service og hurtig respons
SV00262,C00065,2024-03-11,10,5,DK,Fremragende service og hurtig respons
SV00263,C00421,2024-03-07,3,2,DK,Ikke tilfreds med serviceniveauet
SV00264,C00093,2024-03-16,8,4,DK,"God service, men kan forbedres"
SV00265,C00233,2024-03-23,8,4,DK,"God service, men kan forbedres"
SV00266,C00370,2024-03-15,10,4,DK,Fremragende service og hurtig respons
SV00267,C00536,2024-03-15,10,5,DK,Fremragende service og hurtig respons
SV00268,C00150,2024-03-18,1,2,DK,Ikke tilfreds med serviceniveauet
SV00269,C00112,2024-03-24,10,4,DK,Fremragende service og hurtig respons
SV00270,C00101,2024-03-27,10,4,DK,Fremragende service og hurtig respons
SV00271,C00419,2024-04-21,10,4,DK,Fremragende service og hurtig respons
SV00272,C00516,2024-04-25,9,4,DK,Fremragende service og hurtig respons
SV00273,C00612,2024-04-24,7,3,DK,"God service, men kan forbedres"
SV00274,C00338,2024-04-08,10,5,DK,Fremragende service og hurtig respons
SV00275,C00504,2024-04-23,9,4,DK,Fremragende service og hurtig respons
SV00276,C00253,2024-04-11,10,4,DK,Fremragende service og hurtig respons
SV00277,C00357,2024-04-21,2,3,DK,Ikke tilfreds med serviceniveauet
SV00278,C00203,2024-04-13,9,4,DK,Fremragende service og hurtig respons
SV00279,C00308,2024-04-25,9,4,DK,Fremragende service og hurtig respons
SV00280,C00285,2024-04-20,10,4,DK,Fremragende service og hurtig respons
SV00281,C00057,2024-04-25,10,5,DK,Fremragende service og hurtig respons
SV00282,C00339,2024-04-11,7,4,DK,"God service, men kan forbedres"
SV00283,C00151,2024-04-24,3,3,DK,Ikke tilfreds med serviceniveauet
SV00284,C00200,2024-04-13,9,4,DK,Fremragende service og hurtig respons
SV00285,C00142,2024-04-26,7,4,DK,"God service, men kan forbedres"
SV00286,C00124,2024-04-15,7,4,DK,"God service, men kan forbedres"
SV00287,C00509,2024-04-22,8,3,DK,"God service, men kan forbedres"
SV00288,C00245,2024-04-21,10,5,DK,Fremragende service og hurtig respons
SV00289,C00625,2024-05-19,9,4,DK,Fremragende service og hurtig respons
SV00290,C00104,2024-05-05,7,4,DK,"God service, men kan forbedres"
SV00291,C00150,2024-05-25,9,4,DK,Fremragende service og hurtig respons
SV00292,C00189,2024-05-17,7,4,DK,"God service, men kan forbedres"
SV00293,C00093,2024-05-12,9,5,DK,Fremragende service og hurtig respons
SV00294,C00336,2024-05-17,2,2,DK,Ikke tilfreds med serviceniveauet
SV00295,C00554,2024-05-12,8,3,DK,"God service, men kan forbedres"
SV00296,C00567,2024-05-20,1,2,DK,Ikke tilfreds med serviceniveauet
SV00297,C00281,2024-05-17,9,4,DK,Fremragende service og hurtig respons
SV00298,C00229,2024-05-25,9,4,DK,Fremragende service og hurtig respons
SV00299,C00032,2024-05-12,8,3,DK,"God service, men kan forbedres"
SV00300,C00460,2024-05-07,9,4,DK,Fremragende service og hurtig respons
SV00301,C00316,2024-05-16,1,2,DK,Ikke tilfreds med serviceniveauet
SV00302,C00457,2024-05-28,9,5,DK,Fremragende service og hurtig respons
SV00303,C00453,2024-05-19,10,5,DK,Fremragende service og hurtig respons
SV00304,C00150,2024-05-04,8,4,DK,"God service, men kan forbedres"
SV00305,C00380,2024-05-03,9,4,DK,Fremragende service og hurtig respons
SV00306,C00554,2024-05-02,10,4,DK,Fremragende service og hurtig respons
SV00307,C00482,2024-06-06,10,5,DK,Fremragende service og hurtig respons
SV00308,C00199,2024-06-22,7,4,DK,"God service, men kan forbedres"
SV00309,C00255,2024-06-03,8,3,DK,"God service, men kan forbedres"
SV00310,C00040,2024-06-01,10,5,DK,Fremragende service og hurtig respons
SV00311,C00414,2024-06-04,3,1,DK,Ikke tilfreds med serviceniveauet
SV00312,C00204,2024-06-05,9,4,DK,Fremragende service og hurtig respons
SV00313,C00623,2024-06-23,10,5,DK,Fremragende service og hurtig respons
SV00314,C00293,2024-06-02,10,5,DK,Fremragende service og hurtig respons
SV00315,C00461,2024-06-19,9,4,DK,Fremragende service og hurtig respons
SV00316,C00232,2024-06-26,9,5,DK,Fremragende service og hurtig respons
SV00317,C00093,2024-06-28,9,4,DK,Fremragende service og hurtig respons
SV00318,C00425,2024-06-02,7,4,DK,"God service, men kan forbedres"
SV00319,C00179,2024-06-08,10,5,DK,Fremragende service og hurtig respons
SV00320,C00358,2024-06-25,7,4,DK,"God service, men kan forbedres"
SV00321,C00069,2024-06-27,10,5,DK,Fremragende service og hurtig respons
SV00322,C00548,2024-06-10,6,1,DK,Ikke tilfreds med serviceniveauet
SV00323,C00631,2024-06-21,2,2,DK,Ikke tilfreds med serviceniveauet
SV00324,C00172,2024-06-28,8,3,DK,"God service, men kan forbedres"
SV00325,C00302,2024-07-06,8,3,DK,"God service, men kan forbedres"
SV00326,C00451,2024-07-14,7,3,DK,"God service, men kan forbedres"
SV00327,C00509,2024-07-09,8,3,DK,"God service, men kan forbedres"
SV00328,C00144,2024-07-27,9,5,DK,Fremragende service og hurtig respons
SV00329,C00025,2024-07-10,10,4,DK,Fremragende service og hurtig respons
SV00330,C00571,2024-07-14,10,5,DK,Fremragende service og hurtig respons
SV00331,C00475,2024-07-18,8,4,DK,"God service, men kan forbedres"
SV00332,C00073,2024-07-28,7,3,DK,"God service, men kan forbedres"
SV00333,C00198,2024-07-14,10,4,DK,Fremragende service og hurtig respons
SV00334,C00207,2024-07-22,10,4,DK,Fremragende service og hurtig respons
SV00335,C00206,2024-07-25,4,3,DK,Ikke tilfreds med serviceniveauet
SV00336,C00007,2024-07-12,10,5,DK,Fremragende service og hurtig respons
SV00337,C00639,2024-07-15,9,4,DK,Fremragende service og hurtig respons
SV00338,C00638,2024-07-01,10,4,DK,Fremragende service og hurtig respons
SV00339,C00161,2024-07-17,10,4,DK,Fremragende service og hurtig respons
SV00340,C00653,2024-07-08,9,5,DK,Fremragende service og hurtig respons
SV00341,C00449,2024-07-24,9,5,DK,Fremragende service og hurtig respons
SV00342,C00569,2024-07-15,0,2,DK,Ikke tilfreds med serviceniveauet
SV00343,C00010,2024-08-10,7,3,DK,"God service, men kan forbedres"
SV00344,C00514,2024-08-27,6,1,DK,Ikke tilfreds med serviceniveauet
SV00345,C00682,2024-08-22,7,4,DK,"God service, men kan forbedres"
SV00346,C00150,2024-08-06,7,4,DK,"God service, men kan forbedres"
SV00347,C00570,2024-08-04,10,5,DK,Fremragende service og hurtig respons
SV00348,C00426,2024-08-01,0,1,DK,Ikke tilfreds med serviceniveauet
SV00349,C00333,2024-08-20,10,4,DK,Fremragende service og hurtig respons
SV00350,C00500,2024-08-02,10,4,DK,Fremragende service og hurtig respons
SV00351,C00285,2024-08-24,9,4,DK,Fremragende service og hurtig respons
SV00352,C00608,2024-08-24,9,4,DK,Fremragende service og hurtig respons
SV00353,C00248,2024-08-10,7,3,DK,"God service, men kan forbedres"
SV00354,C00059,2024-08-27,9,5,DK,Fremragende service og hurtig respons
SV00355,C00245,2024-08-24,9,5,DK,Fremragende service og hurtig respons
SV00356,C00254,2024-08-20,3,1,DK,Ikke tilfreds med serviceniveauet
SV00357,C00296,2024-08-18,7,4,DK,"God service, men kan forbedres"
SV00358,C00639,2024-08-02,9,5,DK,Fremragende service og hurtig respons
SV00359,C00205,2024-08-13,10,5,DK,Fremragende service og hurtig respons
SV00360,C00586,2024-08-20,10,4,DK,Fremragende service og hurtig respons
SV00361,C00344,2024-09-17,10,4,DK,Fremragende service og hurtig respons
SV00362,C00674,2024-09-02,8,4,DK,"God service, men kan forbedres"
SV00363,C00311,2024-09-04,10,4,DK,Fremragende service og hurtig respons
SV00364,C00207,2024-09-04,4,1,DK,Ikke tilfreds med serviceniveauet
SV00365,C00095,2024-09-15,8,3,DK,"God service, men kan forbedres"
SV00366,C00260,2024-09-02,7,4,DK,"God service, men kan forbedres"
SV00367,C00583,2024-09-10,10,5,DK,Fremragende service og hurtig respons
SV00368,C00719,2024-09-23,9,4,DK,Fremragende service og hurtig respons
SV00369,C00504,2024-09-03,10,4,DK,Fremragende service og hurtig respons
SV00370,C00211,2024-09-09,9,4,DK,Fremragende service og hurtig respons
SV00371,C00414,2024-09-23,2,2,DK,Ikke tilfreds med serviceniveauet
SV00372,C00343,2024-09-17,8,4,DK,"God service, men kan forbedres"
SV00373,C00501,2024-09-22,10,4,DK,Fremragende service og hurtig respons
