partner_id,snapshot_date,response_latency_p50_hours,response_latency_p90_hours,accept_count,decline_count,no_response_count,cancellation_count,capacity_utilization_pct,partner_roi_pct_snapshot,net_monthly_value_snapshot,churn_risk_score
P001,2023-01-24,4.17,15.89,12,3,1,0,56.06,17.13,11182.46,7.18
P001,2023-01-25,4.15,13.72,12,3,1,0,54.85,19.14,13782.06,5.53
P001,2023-01-26,3.95,15.19,4,0,1,0,39.11,21.09,11188.02,5.0
P001,2023-01-27,3.93,17.71,8,3,2,0,41.27,19.2,10831.0,10.1
P001,2023-01-28,4.1,13.4,12,2,1,0,56.37,20.6,11051.15,5.25
P001,2023-01-29,4.07,16.91,11,0,0,0,48.73,19.46,11511.18,0.18
P001,2023-01-30,4.65,16.92,12,0,0,0,46.06,21.37,12630.17,1.63
P001,2023-01-31,4.5,17.45,7,3,0,1,55.51,18.16,11457.47,10.19
P001,2023-02-01,4.28,16.16,7,2,1,0,63.87,20.32,12449.5,5.7
P001,2023-02-02,3.38,14.72,7,2,0,0,42.04,18.24,12343.45,0.87
P001,2023-02-03,3.63,14.37,11,1,0,0,62.66,16.76,11891.26,2.05
P001,2023-02-04,4.92,16.04,10,0,0,0,45.68,20.08,12433.08,2.29
P001,2023-02-05,3.9,18.51,7,3,2,0,61.47,20.4,12890.08,10.0
P001,2023-02-06,3.58,14.48,7,2,1,0,56.36,20.43,11727.37,5.0
P001,2023-02-07,4.14,12.09,11,0,0,0,65.12,17.77,12050.22,1.58
P001,2023-02-08,4.5,15.94,5,0,0,0,59.75,20.97,11172.01,1.26
P001,2023-02-09,2.87,16.38,6,0,0,0,54.83,18.39,11980.31,0.75
P001,2023-02-10,3.57,16.0,6,2,2,0,70.88,17.41,10757.34,11.53
P001,2023-02-11,4.6,13.17,7,3,1,0,46.85,19.26,11596.39,6.55
P001,2023-02-12,3.63,12.32,6,2,2,0,36.37,13.89,11583.75,14.34
P001,2023-02-13,4.38,16.07,11,0,2,0,62.0,17.26,10581.76,12.6
P001,2023-02-14,3.89,17.74,3,3,2,0,71.06,20.65,11605.77,10.0
P001,2023-02-15,3.5,13.2,5,1,0,0,62.11,19.54,11359.16,0.0
P001,2023-02-16,4.49,14.33,7,1,0,0,51.69,21.35,11409.77,1.23
P001,2023-02-17,3.38,18.87,12,3,1,0,64.28,20.2,11880.58,5.0
P001,2023-02-18,3.97,16.02,5,3,2,0,53.83,17.18,12783.49,11.71
P001,2023-02-19,4.21,17.52,5,2,0,0,54.57,21.28,13115.71,0.52
P001,2023-02-20,4.47,14.63,8,3,2,0,62.55,22.23,9723.49,11.18
P001,2023-02-21,4.31,15.44,12,2,1,0,68.24,15.19,12501.58,9.07
P001,2023-02-22,2.85,14.73,12,3,2,0,44.38,21.13,11141.89,10.0
P001,2023-02-23,4.33,15.07,3,3,0,0,66.67,18.99,13143.74,1.09
P001,2023-02-24,4.09,13.73,7,1,2,1,67.98,20.22,12012.03,18.24
P001,2023-02-25,4.0,13.24,8,1,2,0,57.61,19.79,11282.52,10.01
P001,2023-02-26,4.32,16.56,11,2,2,0,42.43,17.71,11082.95,12.1
P001,2023-02-27,4.57,12.93,6,2,0,0,38.53,19.01,13176.3,1.67
P001,2023-02-28,3.92,16.6,4,0,2,0,74.75,16.79,12496.87,12.03
P001,2023-03-01,4.54,14.82,6,2,2,0,39.49,18.51,11259.5,12.0
P001,2023-03-02,4.34,14.33,10,1,2,0,59.55,18.2,10719.6,11.76
P001,2023-03-03,3.65,14.64,10,0,1,0,43.14,18.42,12719.11,5.72
P001,2023-03-04,3.97,13.04,6,2,2,0,35.83,17.93,9856.77,11.11
P001,2023-03-05,3.16,14.58,3,2,0,0,73.43,19.83,13126.72,0.0
P001,2023-03-06,3.17,12.97,4,3,1,0,56.85,20.49,11980.91,5.0
P001,2023-03-07,5.14,14.74,7,3,2,0,64.32,18.15,10941.64,13.8
P001,2023-03-08,4.05,13.87,9,0,1,0,50.38,20.31,11161.31,5.12
P001,2023-03-09,4.4,15.84,12,0,1,0,52.12,25.27,11217.99,5.99
P001,2023-03-10,4.37,15.76,4,3,0,0,48.06,22.07,12094.94,0.93
P001,2023-03-11,3.91,12.99,12,3,0,0,40.55,17.51,11405.6,1.45
P001,2023-03-12,4.65,15.58,3,3,1,0,39.77,21.31,12432.9,6.63
P001,2023-03-13,3.91,15.04,12,3,0,0,46.65,18.28,11460.35,0.83
P001,2023-03-14,3.58,12.19,6,2,1,0,52.69,16.87,11863.84,6.96
P001,2023-03-15,5.03,16.63,8,1,0,0,38.61,20.42,11198.63,2.57
P001,2023-03-16,3.66,14.95,6,3,0,0,74.62,21.04,12151.13,0.0
P001,2023-03-17,5.39,14.79,11,0,2,0,74.71,20.63,10835.87,13.48
P001,2023-03-18,4.27,13.92,6,1,2,0,47.41,20.19,11871.76,10.68
P001,2023-03-19,3.96,14.52,5,2,2,0,50.88,15.93,11537.61,12.72
P001,2023-03-20,3.15,15.48,4,3,1,1,41.98,22.5,13840.94,13.0
P001,2023-03-21,3.46,17.58,9,3,0,0,51.71,22.47,11183.68,0.0
P001,2023-03-22,4.79,12.66,8,2,2,0,62.85,22.29,13304.74,11.97
P001,2023-03-23,4.01,14.74,6,1,2,0,67.74,23.41,11484.09,10.03
P001,2023-03-24,3.79,13.2,4,0,0,0,55.6,15.06,11143.41,3.41
P001,2023-03-25,4.19,14.74,12,0,1,0,58.58,21.49,12597.26,5.47
P001,2023-03-26,4.35,15.59,10,1,1,0,59.38,17.13,12486.55,7.62
P001,2023-03-27,4.71,15.36,3,1,2,0,48.01,19.13,10328.47,11.94
P001,2023-03-28,3.37,14.94,10,1,1,0,47.55,14.87,10441.06,8.56
P001,2023-03-29,3.83,14.21,4,3,2,0,63.17,17.26,12324.77,11.65
P001,2023-03-30,3.58,12.18,10,3,0,0,43.25,20.84,12018.42,0.0
P001,2023-03-31,4.96,14.02,4,0,2,0,38.42,18.82,11414.85,12.79
P001,2023-04-01,4.31,14.22,11,0,1,0,53.22,19.32,11944.75,5.78
P001,2023-04-02,3.89,15.13,5,0,0,0,46.22,19.37,12442.97,0.0
P001,2023-04-03,3.93,14.84,3,3,1,1,58.32,22.11,11928.0,13.0
P001,2023-04-04,3.95,14.97,7,0,2,0,56.05,17.62,12240.91,11.36
P001,2023-04-05,3.4,17.43,3,1,2,1,66.39,19.67,11598.05,18.0
P001,2023-04-06,3.82,14.58,4,2,1,0,55.6,19.88,11887.88,5.0
P001,2023-04-07,3.55,15.9,8,1,1,0,56.71,18.07,12425.2,6.0
P001,2023-04-08,3.14,15.04,9,2,1,0,67.02,16.63,12053.26,7.15
P001,2023-04-09,3.64,15.16,7,0,0,0,48.34,20.88,13139.14,0.0
P001,2023-04-10,4.22,12.22,6,2,1,0,44.03,18.19,11657.33,6.45
P001,2023-04-11,3.7,14.6,8,0,0,0,61.61,21.14,12413.11,0.0
P001,2023-04-12,3.33,17.56,8,3,1,0,48.3,18.49,11912.05,5.66
P001,2023-04-13,4.26,13.45,8,1,0,0,56.48,20.89,12168.36,0.65
P001,2023-04-14,3.83,15.72,11,3,1,0,57.54,17.19,10014.88,6.7
P001,2023-04-15,4.36,15.9,9,0,1,0,37.85,20.83,10700.57,5.89
P001,2023-04-16,3.77,15.83,8,3,1,0,47.81,16.72,10715.78,7.08
P001,2023-04-17,4.3,13.78,7,1,0,0,70.21,17.14,12136.16,2.49
P001,2023-04-18,3.92,14.6,7,1,1,0,62.82,19.83,11538.74,5.0
P001,2023-04-19,4.57,15.08,9,1,1,0,38.72,21.35,13471.21,6.41
P001,2023-04-20,3.73,15.33,11,1,0,0,66.93,20.82,13932.01,0.0
P001,2023-04-21,4.05,14.91,7,0,0,0,72.38,22.69,11177.8,0.12
P001,2023-04-22,3.96,16.86,8,3,2,0,64.64,20.7,12738.28,10.0
P001,2023-04-23,3.24,13.77,6,0,1,0,40.42,21.24,12680.2,5.0
P001,2023-04-24,3.23,14.85,3,3,2,0,61.22,19.84,11233.82,10.0
P001,2023-04-25,4.15,13.87,5,1,0,0,68.23,19.16,11779.94,0.5
P001,2023-04-26,3.92,16.51,11,1,1,0,56.98,22.46,11248.97,5.0
P001,2023-04-27,3.57,14.55,5,0,0,0,54.31,23.39,12181.08,0.0
P001,2023-04-28,4.04,16.38,8,0,2,0,48.36,20.04,11351.76,10.1
P001,2023-04-29,3.11,16.41,9,1,2,0,66.7,21.44,12806.51,10.0
P001,2023-04-30,4.09,15.26,10,0,2,1,42.16,17.31,13618.43,19.84
P001,2023-05-01,4.51,13.32,12,3,2,0,58.96,18.02,11607.25,12.33
P001,2023-05-02,3.06,14.38,8,3,0,0,36.72,18.23,11829.92,0.88
P001,2023-05-03,2.71,16.45,9,2,1,0,72.88,21.55,12845.23,5.0
P001,2023-05-04,4.52,12.48,7,0,1,0,72.23,20.85,11688.62,6.29
P001,2023-05-05,3.75,17.29,11,1,0,0,54.61,17.82,11914.04,1.2
P001,2023-05-06,5.23,16.47,4,2,0,0,42.68,20.63,12887.38,3.08
P001,2023-05-07,4.14,12.16,7,1,2,1,53.37,20.14,11471.83,18.36
P001,2023-05-08,3.92,16.85,5,1,2,0,60.44,16.52,11991.35,12.24
P001,2023-05-09,3.92,14.45,6,3,0,0,36.51,17.92,12173.9,1.12
P001,2023-05-10,3.36,11.2,4,1,2,0,71.74,19.16,12026.61,10.13
P001,2023-05-11,4.58,16.05,4,3,2,0,53.36,21.12,11906.97,11.45
P001,2023-05-12,3.51,14.49,5,1,0,0,40.07,18.72,11985.5,0.48
P001,2023-05-13,3.93,15.91,11,0,0,0,68.42,16.52,13012.69,2.24
P001,2023-05-14,4.0,16.26,12,2,0,0,50.24,20.23,10499.06,0.0
P001,2023-05-15,4.38,16.0,4,0,2,0,59.31,20.36,9777.01,10.96
P001,2023-05-16,3.97,15.67,11,0,1,0,60.43,20.05,11113.69,5.0
P001,2023-05-17,4.72,15.99,7,3,2,0,37.73,18.48,10898.93,12.48
P001,2023-05-18,4.38,18.68,11,1,1,0,37.01,22.75,13037.6,5.94
P001,2023-05-19,3.29,15.91,12,3,2,0,56.3,20.7,11928.08,10.0
P001,2023-05-20,5.15,15.61,5,3,1,0,39.98,19.0,11567.15,8.13
P001,2023-05-21,4.84,14.94,3,1,1,0,50.85,17.24,11207.73,8.77
P001,2023-05-22,4.23,15.58,12,0,2,0,55.77,18.06,10622.19,11.59
P001,2023-05-23,4.68,15.37,9,0,2,0,49.39,20.77,11644.5,11.7
P001,2023-05-24,4.15,14.78,4,0,1,0,45.11,18.37,12601.71,6.13
P001,2023-05-25,3.59,18.83,11,2,2,0,53.32,17.1,13268.79,11.78
P001,2023-05-26,3.49,12.67,8,1,2,0,46.29,20.96,13082.2,10.0
P001,2023-05-27,3.18,15.85,10,2,1,0,40.57,19.03,10832.91,5.23
P001,2023-05-28,4.01,16.35,5,1,0,0,53.66,21.43,13003.97,0.01
P001,2023-05-29,3.55,14.17,7,1,1,0,43.29,19.28,11952.55,5.03
P001,2023-05-30,4.81,14.23,3,3,0,0,40.66,18.83,10462.78,2.43
P001,2023-05-31,3.78,14.13,5,2,0,0,71.39,20.57,11137.92,0.0
P001,2023-06-01,4.66,14.24,9,3,1,0,57.25,18.76,11675.35,7.1
P001,2023-06-02,4.05,13.4,10,1,0,0,50.92,18.64,12051.16,0.67
P001,2023-06-03,3.78,15.98,5,1,1,0,61.45,17.31,11912.92,6.61
P001,2023-06-04,4.39,16.63,10,1,1,0,59.12,18.69,12576.12,6.47
P001,2023-06-05,4.49,13.83,5,1,2,0,60.8,23.61,12213.86,11.22
P001,2023-06-06,3.87,16.18,4,0,1,0,63.45,16.81,11419.74,7.01
P001,2023-06-07,3.43,13.76,7,3,2,0,38.81,19.18,10766.56,10.11
P001,2023-06-08,4.45,13.61,6,2,1,0,52.5,16.73,13664.48,8.19
P001,2023-06-09,4.89,13.77,4,3,0,0,70.74,18.33,11652.97,3.03
P001,2023-06-10,4.0,14.55,8,1,2,0,36.46,16.4,11230.14,12.34
P001,2023-06-11,4.66,13.1,12,3,1,0,56.86,21.21,12407.41,6.65
P001,2023-06-12,4.19,15.26,7,3,0,0,65.34,18.11,11490.63,1.43
P001,2023-06-13,4.45,15.06,5,2,1,0,37.57,18.73,13876.21,6.59
P001,2023-06-14,4.56,13.36,9,0,2,0,65.54,21.26,11010.56,11.41
P001,2023-06-15,3.57,16.8,11,1,0,0,58.45,20.63,11448.95,0.0
P001,2023-06-16,4.0,16.04,10,2,0,0,56.29,22.99,12103.22,0.0
P001,2023-06-17,3.08,16.16,7,1,1,0,42.37,20.5,11961.37,5.0
P001,2023-06-18,4.04,16.66,9,2,1,0,39.48,18.31,11195.37,5.91
P001,2023-06-19,4.59,15.55,3,3,1,0,56.87,15.43,11417.76,9.59
P001,2023-06-20,4.27,13.49,11,2,0,0,68.99,20.54,11410.32,0.69
P001,2023-06-21,3.71,14.72,10,2,2,0,62.61,24.35,11569.87,10.0
P001,2023-06-22,3.98,17.25,5,2,0,0,39.33,20.18,12282.88,0.0
P001,2023-06-23,4.26,12.33,11,1,2,0,73.71,19.18,12757.13,10.76
P001,2023-06-24,4.69,15.88,12,3,0,0,53.19,19.93,12364.19,1.72
P001,2023-06-25,3.86,14.41,7,0,1,0,41.1,21.6,11372.65,5.0
P001,2023-06-26,3.62,12.7,6,1,0,0,57.39,22.66,11545.96,0.0
P001,2023-06-27,4.47,13.31,6,0,2,0,73.03,20.57,11807.66,11.18
P001,2023-06-28,4.91,17.0,4,0,1,0,42.03,23.97,11812.85,7.28
P001,2023-06-29,3.94,15.46,4,3,1,0,69.5,20.5,13050.71,5.0
P001,2023-06-30,5.13,15.91,3,0,1,0,44.27,22.31,12260.76,7.82
P001,2023-07-01,3.62,15.49,9,2,0,0,56.1,21.54,12639.97,0.0
P001,2023-07-02,4.16,14.66,7,0,2,0,72.03,18.97,12959.94,10.69
P001,2023-07-03,4.12,14.4,10,3,2,1,68.84,17.32,12293.64,19.89
P001,2023-07-04,5.01,17.93,5,2,1,0,36.62,21.7,12798.92,7.52
P001,2023-07-05,3.78,15.47,3,0,2,0,48.31,17.98,12153.65,11.08
P001,2023-07-06,3.81,12.84,10,1,0,0,50.46,17.73,13536.4,1.28
P001,2023-07-07,3.78,14.87,4,2,1,0,54.12,19.5,11412.16,5.0
P001,2023-07-08,4.27,13.76,3,2,1,0,52.19,23.37,12890.34,5.67
P001,2023-07-09,4.11,13.21,4,0,2,0,67.73,20.27,11578.17,10.27
P001,2023-07-10,3.93,14.92,11,0,1,0,60.09,18.67,11247.55,5.52
P001,2023-07-11,4.2,16.15,7,3,1,0,56.07,13.85,11229.26,9.87
P001,2023-07-12,4.05,14.64,3,2,0,0,59.19,19.83,10013.41,0.12
P001,2023-07-13,3.83,17.22,9,1,1,0,56.34,21.06,10933.96,5.0
P001,2023-07-14,4.29,12.56,12,0,2,0,72.73,17.51,12054.04,12.17
P001,2023-07-15,4.86,16.17,5,3,0,0,46.89,21.32,11921.48,2.15
P001,2023-07-16,4.16,13.36,10,0,2,0,57.55,21.67,12540.85,10.41
P001,2023-07-17,4.41,15.3,6,3,1,0,69.56,17.39,10180.13,7.57
P001,2023-07-18,4.1,15.82,11,0,2,0,67.09,18.38,12723.21,11.0
P001,2023-07-19,4.1,15.73,12,0,0,0,46.88,19.09,12245.67,0.43
P001,2023-07-20,3.97,17.05,3,0,0,0,43.61,20.97,12140.23,0.0
P001,2023-07-21,4.0,17.54,4,1,0,0,58.34,16.01,11763.97,2.65
P001,2023-07-22,4.03,13.96,3,3,1,0,38.56,20.97,13542.9,5.07
P001,2023-07-23,4.19,12.84,7,1,2,0,40.19,22.31,12762.03,10.47
P001,2023-07-24,4.68,17.09,8,1,2,0,58.43,18.41,11188.2,12.42
P001,2023-07-25,2.94,17.26,10,2,0,0,40.47,19.61,11790.5,0.0
P001,2023-07-26,4.01,13.71,7,2,1,0,66.91,21.77,12794.2,5.03
P001,2023-07-27,3.98,13.28,9,0,0,0,53.87,20.49,12011.64,0.0
P001,2023-07-28,3.89,16.31,9,0,1,0,62.81,19.13,12377.43,5.16
P001,2023-07-29,3.84,13.84,5,3,2,0,67.36,18.59,11788.89,10.58
P001,2023-07-30,4.32,15.29,5,2,0,0,45.97,14.91,11105.3,4.32
P001,2023-07-31,4.65,15.94,7,1,0,0,60.19,20.64,12166.56,1.63
P001,2023-08-01,4.14,14.41,9,0,1,0,55.09,16.19,11536.27,7.86
P001,2023-08-02,3.72,12.18,4,2,1,0,55.94,22.27,11081.34,5.0
P001,2023-08-03,3.45,14.19,8,2,0,1,66.89,17.74,12158.98,9.27
P001,2023-08-04,4.38,13.44,9,0,1,0,73.54,17.33,12564.37,7.53
P001,2023-08-05,4.08,15.85,8,2,1,0,50.83,18.28,11204.35,6.04
P001,2023-08-06,3.74,13.49,11,1,1,0,48.42,21.08,11599.22,5.0
P001,2023-08-07,4.67,14.84,9,3,2,0,50.34,18.27,12894.26,12.51
P001,2023-08-08,4.12,14.73,4,1,1,1,38.7,18.7,12179.74,13.8
P001,2023-08-09,3.45,15.11,10,2,1,0,54.08,16.52,13018.55,7.24
P001,2023-08-10,4.42,15.13,9,2,2,0,42.77,19.83,13051.34,11.05
P001,2023-08-11,4.02,14.18,5,0,2,1,69.64,19.0,12222.76,18.31
P001,2023-08-12,4.52,16.88,10,2,2,0,62.21,17.96,11560.18,12.38
P001,2023-08-13,3.46,14.93,4,1,0,0,63.93,19.84,11567.36,0.0
P001,2023-08-14,3.15,13.24,3,0,0,0,61.1,19.14,11733.42,0.14
P001,2023-08-15,4.35,15.25,7,1,0,0,52.28,21.08,12087.22,0.86
P001,2023-08-16,3.8,16.11,9,2,0,0,35.74,20.82,13329.09,0.0
P001,2023-08-17,3.7,13.14,11,2,1,0,47.28,20.52,11470.2,5.0
P001,2023-08-18,3.71,15.7,6,1,0,0,55.68,21.34,13465.81,0.0
P001,2023-08-19,3.88,12.99,12,0,1,0,49.0,16.07,12999.54,7.6
P001,2023-08-20,4.27,14.78,12,2,2,0,51.27,16.9,12646.65,12.6
P001,2023-08-21,3.83,18.06,11,1,1,0,36.1,21.73,11258.57,5.0
P001,2023-08-22,3.83,17.93,6,1,1,0,57.84,21.13,11102.23,5.0
P001,2023-08-23,4.25,13.2,3,0,1,1,53.34,22.91,11655.38,13.62
P001,2023-08-24,3.47,15.5,3,3,0,0,74.95,16.83,12167.35,1.99
P001,2023-08-25,4.29,13.4,7,3,2,0,57.6,19.71,11561.38,10.73
P001,2023-08-26,3.68,14.31,6,1,1,0,38.95,21.54,12128.26,5.0
P001,2023-08-27,4.99,13.54,7,0,2,0,51.49,16.82,11588.91,14.47
P001,2023-08-28,4.01,19.01,9,2,1,0,60.79,17.3,11069.26,6.64
P001,2023-08-29,3.49,14.8,11,0,0,0,49.2,22.82,12078.01,0.0
P001,2023-08-30,3.52,15.31,6,0,2,0,60.15,18.21,13084.27,10.89
P001,2023-08-31,4.44,12.44,3,0,2,0,62.62,17.81,11486.84,12.3
P001,2023-09-01,3.82,16.91,6,2,2,0,36.26,16.62,11651.84,12.16
P001,2023-09-02,4.6,15.22,9,1,2,0,72.34,20.32,12544.57,11.49
P001,2023-09-03,4.83,11.71,6,2,0,0,42.47,22.1,11593.12,2.08
P001,2023-09-04,4.34,16.09,3,1,0,0,68.92,18.87,13042.55,1.2
P001,2023-09-05,2.83,14.37,6,2,1,0,56.02,17.51,11789.19,6.45
P001,2023-09-06,4.0,15.54,5,2,0,0,74.87,17.7,12145.87,1.3
P001,2023-09-07,3.93,13.15,10,0,1,0,37.42,22.93,12388.62,5.0
P001,2023-09-08,3.77,15.67,7,2,0,0,60.56,19.95,11610.34,0.0
P001,2023-09-09,4.33,13.62,10,1,2,0,45.23,19.22,11759.54,10.91
P001,2023-09-10,4.58,14.89,10,1,0,0,60.07,22.29,10952.9,1.46
P001,2023-09-11,4.43,13.99,12,1,1,0,52.76,21.12,12171.86,6.08
P001,2023-09-12,4.48,14.03,12,0,2,0,43.26,21.9,10909.55,11.2
P001,2023-09-13,3.95,16.56,4,3,2,0,58.57,22.46,10381.1,10.0
P001,2023-09-14,4.53,14.51,10,3,1,0,56.51,18.15,10535.38,7.27
P001,2023-09-15,3.54,15.43,10,3,1,0,68.14,18.49,10893.53,5.66
P001,2023-09-16,4.48,18.38,9,1,0,0,53.1,20.68,12353.05,1.21
P001,2023-09-17,3.73,14.72,7,2,2,0,59.28,20.04,11791.61,10.0
P001,2023-09-18,3.96,14.26,7,0,0,1,55.33,17.32,12627.26,9.6
P001,2023-09-19,4.73,16.44,10,1,0,0,70.16,17.69,12180.17,3.12
P001,2023-09-20,4.0,17.78,8,1,2,0,62.36,17.39,12758.81,11.55
P001,2023-09-21,4.57,13.07,8,0,2,0,57.8,21.35,12563.66,11.43
P001,2023-09-22,4.92,14.96,6,0,2,0,47.97,23.32,13078.19,12.31
P001,2023-09-23,4.1,15.09,9,1,1,0,57.79,18.48,12051.45,5.92
P001,2023-09-24,4.93,15.3,5,1,1,1,40.3,16.75,10462.85,17.38
P001,2023-09-25,3.78,16.85,9,3,0,0,74.28,17.81,12895.07,1.21
P001,2023-09-26,4.59,15.01,8,0,0,0,65.36,19.91,10617.31,1.47
P001,2023-09-27,4.27,16.35,9,0,2,0,47.92,16.34,12254.41,13.06
P001,2023-09-28,3.69,15.62,5,3,0,0,63.54,18.68,11228.86,0.51
P001,2023-09-29,4.37,13.99,6,2,1,0,49.77,21.41,10493.25,5.93
P001,2023-09-30,4.49,14.0,6,1,2,0,41.46,16.09,12831.95,13.8
P001,2023-10-01,3.72,14.88,10,0,0,0,72.18,21.92,12515.94,0.0
P001,2023-10-02,4.27,13.53,12,2,2,0,62.36,18.12,12882.67,11.65
P001,2023-10-03,4.75,14.88,12,2,0,0,69.46,16.38,12565.1,4.21
P001,2023-10-04,3.52,18.84,7,0,1,0,55.86,19.57,11457.35,5.0
P001,2023-10-05,3.61,16.21,9,0,1,0,54.15,18.86,11930.95,5.37
P001,2023-10-06,4.82,12.21,7,0,1,0,54.76,17.51,12203.68,8.5
P001,2023-10-07,3.37,14.16,6,0,0,0,53.47,17.55,11488.55,1.42
P001,2023-10-08,3.92,14.35,8,0,1,0,45.97,19.36,12045.1,5.0
P001,2023-10-09,3.88,14.67,11,3,2,0,62.39,20.0,13084.33,10.0
P001,2023-10-10,4.5,13.23,7,2,0,0,72.86,15.63,11784.97,4.2
P001,2023-10-11,4.63,13.61,3,2,0,0,65.81,21.13,12159.21,1.58
P001,2023-10-12,3.41,15.1,9,3,0,0,55.69,18.67,11180.32,0.52
P001,2023-10-13,4.17,17.36,5,1,1,0,51.21,17.68,11329.89,6.74
P001,2023-10-14,4.79,12.83,5,3,1,1,40.62,19.31,10968.12,14.97
P001,2023-10-15,3.86,12.47,5,0,2,0,72.25,20.76,12430.85,10.0
P001,2023-10-16,3.86,16.75,8,0,2,0,42.65,17.0,10738.6,11.86
P001,2023-10-17,4.68,15.51,11,3,0,0,52.5,18.17,11257.3,2.62
P001,2023-10-18,3.96,14.65,5,0,1,1,48.11,19.98,11219.55,13.0
P001,2023-10-19,4.92,14.21,11,1,2,1,48.98,19.72,11869.28,20.3
P001,2023-10-20,5.07,11.74,6,1,1,0,40.66,19.48,13168.9,7.67
P001,2023-10-21,5.05,11.62,9,3,0,0,42.68,16.32,12827.82,5.03
P001,2023-10-22,3.92,15.46,7,0,0,0,38.0,22.01,12756.8,0.0
P001,2023-10-23,3.28,15.69,8,3,2,0,61.19,19.49,11617.45,10.0
P001,2023-10-24,4.65,12.17,3,3,2,0,62.6,18.59,10917.33,12.21
P001,2023-10-25,3.91,13.04,12,2,0,0,57.25,21.57,12593.93,0.0
P001,2023-10-26,3.41,13.99,12,2,1,0,70.54,16.08,13483.12,7.59
P001,2023-10-27,4.13,14.46,9,0,0,1,57.59,17.81,11519.06,9.54
P001,2023-10-28,3.64,16.26,4,1,0,0,59.1,17.35,12301.64,1.58
P001,2023-10-29,4.11,17.78,11,3,1,0,56.27,22.18,11619.1,5.29
P001,2023-10-30,3.48,12.87,11,0,1,1,71.69,20.42,10550.63,13.0
P001,2023-10-31,3.97,13.08,11,2,1,0,54.38,16.93,12217.9,6.91
P001,2023-11-01,3.56,15.7,5,1,1,0,41.36,20.85,12385.23,5.0
P001,2023-11-02,4.0,14.63,12,1,0,0,56.7,20.51,11137.6,0.0
P001,2023-11-03,3.93,15.82,5,2,0,0,40.17,15.93,11958.51,2.71
P001,2023-11-04,3.63,13.79,6,1,0,0,72.37,18.5,11473.56,0.66
P001,2023-11-05,4.38,11.95,11,3,1,0,44.7,19.52,11526.03,5.95
P001,2023-11-06,5.49,15.2,4,0,1,1,47.95,18.57,12460.65,17.33
P001,2023-11-07,3.75,15.05,3,1,2,0,49.98,18.2,13067.69,10.89
P001,2023-11-08,3.75,14.74,5,1,0,1,44.63,23.01,11154.19,8.0
P001,2023-11-09,4.71,14.51,10,2,2,0,35.86,24.14,11324.96,11.77
P001,2023-11-10,4.46,12.02,4,3,2,0,51.79,17.92,11412.69,12.28
P001,2023-11-11,4.35,13.73,6,0,0,0,52.25,21.26,12728.79,0.86
P001,2023-11-12,4.63,14.43,5,3,2,0,71.0,17.91,11052.42,12.71
P001,2023-11-13,4.16,15.1,10,1,0,0,37.89,20.39,11738.37,0.39
P001,2023-11-14,4.1,16.19,5,0,1,0,41.67,19.57,13029.45,5.24
P001,2023-11-15,4.32,13.84,3,0,2,0,55.25,20.89,12890.17,10.79
P001,2023-11-16,3.37,13.79,8,2,1,0,65.82,16.33,12260.74,7.39
