invoice_id,customer_id,issue_date,due_date,paid_date,amount,currency,status,country
INV00026,C00228,2023-02-10,2023-03-12,2023-02-25,4579,DKK,paid,DK
INV00027,C00016,2023-02-26,2023-03-28,2023-03-14,5147,DKK,paid,DK
INV00028,C00283,2023-02-11,2023-03-13,2023-02-19,7964,DKK,paid,DK
INV00029,C00295,2023-02-27,2023-03-29,2023-03-04,2963,DKK,paid,DK
INV00030,C00035,2023-02-20,2023-03-22,2023-03-16,3334,DKK,paid,DK
INV00031,C00119,2023-02-13,2023-03-15,2023-03-19,7129,DKK,paid_late,DK
INV00032,C00200,2023-02-05,2023-03-07,2023-04-03,6660,DKK,paid_late,DK
INV00033,C00158,2023-02-27,2023-03-29,2023-04-09,6406,DKK,paid_late,DK
INV00034,C00129,2023-02-04,2023-03-06,2023-02-10,1194,DKK,paid,DK
INV00035,C00009,2023-02-12,2023-03-14,2023-02-24,4571,DKK,paid,DK
INV00036,C00118,2023-02-15,2023-03-17,2023-02-21,2258,DKK,paid,DK
INV00037,C00133,2023-02-01,2023-03-03,2023-03-16,3761,DKK,paid_late,DK
INV00038,C00199,2023-02-16,2023-03-18,2023-03-08,5843,DKK,paid,DK
INV00039,C00205,2023-02-20,2023-03-22,2023-03-20,4935,DKK,paid,DK
INV00040,C00237,2023-02-21,2023-03-23,2023-03-15,6394,DKK,paid,DK
INV00041,C00139,2023-02-01,2023-03-03,2023-02-19,1135,DKK,paid,DK
INV00042,C00042,2023-02-02,2023-03-04,2023-02-23,5501,DKK,paid,DK
INV00043,C00016,2023-02-22,2023-03-24,2023-03-01,4248,DKK,paid,DK
INV00044,C00293,2023-02-21,2023-03-23,2023-03-02,5430,DKK,paid,DK
INV00045,C00223,2023-02-24,2023-03-26,,4458,DKK,overdue,DK
INV00046,C00135,2023-02-06,2023-03-08,2023-02-16,6706,DKK,paid,DK
INV00047,C00177,2023-02-17,2023-03-19,2023-03-04,1345,DKK,paid,DK
INV00048,C00227,2023-02-11,2023-03-13,2023-03-08,694,DKK,paid,DK
INV00049,C00181,2023-03-10,2023-04-09,2023-03-30,882,DKK,paid,DK
INV00050,C00211,2023-03-14,2023-04-13,2023-03-25,7770,DKK,paid,DK
INV00051,C00094,2023-03-18,2023-04-17,2023-04-02,5019,DKK,paid,DK
INV00052,C00260,2023-03-20,2023-04-19,2023-05-03,3668,DKK,paid_late,DK
INV00053,C00190,2023-03-24,2023-04-23,2023-04-04,8058,DKK,paid,DK
INV00054,C00129,2023-03-19,2023-04-18,2023-04-13,2462,DKK,paid,DK
INV00055,C00043,2023-03-22,2023-04-21,2023-03-29,7014,DKK,paid,DK
INV00056,C00188,2023-03-12,2023-04-11,2023-03-21,3828,DKK,paid,DK
INV00057,C00220,2023-03-09,2023-04-08,2023-03-17,3297,DKK,paid,DK
INV00058,C00235,2023-03-02,2023-04-01,,8177,DKK,overdue,DK
INV00059,C00099,2023-03-27,2023-04-26,2023-04-10,6183,DKK,paid,DK
INV00060,C00186,2023-03-08,2023-04-07,2023-04-11,2816,DKK,paid_late,DK
INV00061,C00218,2023-03-02,2023-04-01,2023-03-30,5069,DKK,paid,DK
INV00062,C00055,2023-03-14,2023-04-13,2023-03-30,2660,DKK,paid,DK
INV00063,C00075,2023-03-17,2023-04-16,,3555,DKK,overdue,DK
INV00064,C00103,2023-03-28,2023-04-27,2023-04-19,4136,DKK,paid,DK
INV00065,C00155,2023-03-05,2023-04-04,,3729,DKK,overdue,DK
INV00066,C00317,2023-03-25,2023-04-24,2023-04-06,2429,DKK,paid,DK
INV00067,C00287,2023-03-02,2023-04-01,2023-03-08,7014,DKK,paid,DK
INV00068,C00074,2023-03-21,2023-04-20,,7703,DKK,overdue,DK
INV00069,C00150,2023-03-22,2023-04-21,2023-03-31,7456,DKK,paid,DK
INV00070,C00059,2023-03-25,2023-04-24,2023-04-01,4284,DKK,paid,DK
INV00071,C00180,2023-03-16,2023-04-15,2023-04-25,3283,DKK,paid_late,DK
INV00072,C00213,2023-03-23,2023-04-22,2023-04-03,8095,DKK,paid,DK
INV00073,C00324,2023-04-07,2023-05-07,2023-05-01,3438,DKK,paid,DK
INV00074,C00129,2023-04-12,2023-05-12,2023-04-20,1167,DKK,paid,DK
INV00075,C00311,2023-04-01,2023-05-01,2023-04-13,7357,DKK,paid,DK
INV00076,C00213,2023-04-19,2023-05-19,2023-05-11,6706,DKK,paid,DK
INV00077,C00213,2023-04-18,2023-05-18,2023-05-09,1993,DKK,paid,DK
INV00078,C00291,2023-04-11,2023-05-11,,2816,DKK,overdue,DK
INV00079,C00112,2023-04-04,2023-05-04,2023-04-13,478,DKK,paid,DK
INV00080,C00188,2023-04-22,2023-05-22,2023-05-12,3503,DKK,paid,DK
INV00081,C00156,2023-04-25,2023-05-25,2023-06-25,2961,DKK,paid_late,DK
INV00082,C00246,2023-04-08,2023-05-08,2023-04-27,695,DKK,paid,DK
INV00083,C00130,2023-04-20,2023-05-20,2023-05-07,1674,DKK,paid,DK
INV00084,C00203,2023-04-05,2023-05-05,2023-04-21,2107,DKK,paid,DK
INV00085,C00024,2023-04-17,2023-05-17,2023-05-03,3960,DKK,paid,DK
INV00086,C00053,2023-04-01,2023-05-01,2023-04-12,1664,DKK,paid,DK
INV00087,C00321,2023-04-03,2023-05-03,,1065,DKK,overdue,DK
INV00088,C00081,2023-04-10,2023-05-10,2023-05-29,6445,DKK,paid_late,DK
INV00089,C00023,2023-04-07,2023-05-07,2023-04-29,2953,DKK,paid,DK
INV00090,C00028,2023-04-11,2023-05-11,2023-04-24,2405,DKK,paid,DK
INV00091,C00243,2023-04-05,2023-05-05,,6253,DKK,overdue,DK
INV00092,C00173,2023-04-09,2023-05-09,2023-05-18,2487,DKK,paid_late,DK
INV00093,C00102,2023-04-14,2023-05-14,2023-04-27,1671,DKK,paid,DK
INV00094,C00303,2023-04-12,2023-05-12,2023-04-28,1540,DKK,paid,DK
INV00095,C00264,2023-04-28,2023-05-28,2023-05-07,1006,DKK,paid,DK
INV00096,C00311,2023-04-20,2023-05-20,2023-06-03,477,DKK,paid_late,DK
INV00097,C00223,2023-05-21,2023-06-20,2023-06-08,7013,DKK,paid,DK
INV00098,C00014,2023-05-02,2023-06-01,2023-05-15,7750,DKK,paid,DK
INV00099,C00294,2023-05-23,2023-06-22,2023-05-28,4965,DKK,paid,DK
INV00100,C00207,2023-05-19,2023-06-18,2023-07-05,4840,DKK,paid_late,DK
INV00101,C00227,2023-05-24,2023-06-23,,743,DKK,overdue,DK
INV00102,C00069,2023-05-03,2023-06-02,2023-05-23,1023,DKK,paid,DK
INV00103,C00353,2023-05-12,2023-06-11,,1111,DKK,overdue,DK
INV00104,C00334,2023-05-18,2023-06-17,2023-05-31,6914,DKK,paid,DK
INV00105,C00140,2023-05-15,2023-06-14,2023-07-05,6916,DKK,paid_late,DK
INV00106,C00044,2023-05-02,2023-06-01,2023-05-08,3002,DKK,paid,DK
INV00107,C00114,2023-05-09,2023-06-08,2023-06-04,5661,DKK,paid,DK
INV00108,C00067,2023-05-03,2023-06-02,2023-05-29,1440,DKK,paid,DK
INV00109,C00216,2023-05-06,2023-06-05,2023-06-02,2850,DKK,paid,DK
INV00110,C00127,2023-05-19,2023-06-18,2023-05-29,1674,DKK,paid,DK
INV00111,C00147,2023-05-15,2023-06-14,2023-05-25,5596,DKK,paid,DK
INV00112,C00326,2023-05-10,2023-06-09,2023-06-05,5900,DKK,paid,DK
INV00113,C00127,2023-05-12,2023-06-11,2023-06-16,4525,DKK,paid_late,DK
INV00114,C00165,2023-05-19,2023-06-18,2023-05-30,4343,DKK,paid,DK
INV00115,C00152,2023-05-14,2023-06-13,2023-06-08,5494,DKK,paid,DK
INV00116,C00102,2023-05-19,2023-06-18,2023-06-03,6217,DKK,paid,DK
INV00117,C00170,2023-05-07,2023-06-06,2023-06-18,2032,DKK,paid_late,DK
INV00118,C00252,2023-05-24,2023-06-23,2023-06-13,5688,DKK,paid,DK
INV00119,C00104,2023-05-10,2023-06-09,,1691,DKK,overdue,DK
INV00120,C00225,2023-05-21,2023-06-20,2023-06-08,917,DKK,paid,DK
INV00121,C00312,2023-06-24,2023-07-24,,4736,DKK,overdue,DK
INV00122,C00124,2023-06-19,2023-07-19,2023-06-25,8026,DKK,paid,DK
INV00123,C00234,2023-06-09,2023-07-09,2023-06-29,6003,DKK,paid,DK
INV00124,C00394,2023-06-09,2023-07-09,2023-06-22,5452,DKK,paid,DK
INV00125,C00267,2023-06-19,2023-07-19,2023-08-13,3139,DKK,paid_late,DK
INV00126,C00327,2023-06-07,2023-07-07,2023-07-04,6616,DKK,paid,DK
INV00127,C00061,2023-06-25,2023-07-25,2023-07-03,6571,DKK,paid,DK
INV00128,C00111,2023-06-28,2023-07-28,2023-07-05,7580,DKK,paid,DK
INV00129,C00094,2023-06-02,2023-07-02,2023-06-24,1586,DKK,paid,DK
INV00130,C00100,2023-06-24,2023-07-24,2023-07-01,1257,DKK,paid,DK
INV00131,C00055,2023-06-28,2023-07-28,2023-07-16,7713,DKK,paid,DK
INV00132,C00199,2023-06-25,2023-07-25,2023-08-25,1541,DKK,paid_late,DK
INV00133,C00059,2023-06-12,2023-07-12,,6623,DKK,overdue,DK
INV00134,C00228,2023-06-26,2023-07-26,2023-07-19,2095,DKK,paid,DK
INV00135,C00328,2023-06-27,2023-07-27,2023-08-05,646,DKK,paid_late,DK
INV00136,C00350,2023-06-05,2023-07-05,2023-06-30,5324,DKK,paid,DK
INV00137,C00114,2023-06-17,2023-07-17,2023-07-12,2189,DKK,paid,DK
INV00138,C00231,2023-06-04,2023-07-04,2023-06-13,3069,DKK,paid,DK
INV00139,C00332,2023-06-26,2023-07-26,2023-07-05,4500,DKK,paid,DK
INV00140,C00032,2023-06-04,2023-07-04,2023-07-07,7796,DKK,paid_late,DK
INV00141,C00310,2023-06-15,2023-07-15,2023-06-29,4876,DKK,paid,DK
INV00142,C00332,2023-06-18,2023-07-18,2023-07-14,4810,DKK,paid,DK
INV00143,C00002,2023-06-16,2023-07-16,2023-06-23,3318,DKK,paid,DK
INV00144,C00153,2023-06-09,2023-07-09,2023-06-30,703,DKK,paid,DK
INV00145,C00399,2023-07-13,2023-08-12,2023-07-26,3917,DKK,paid,DK
INV00146,C00178,2023-07-19,2023-08-18,,2591,DKK,overdue,DK
INV00147,C00235,2023-07-19,2023-08-18,2023-09-09,7991,DKK,paid_late,DK
INV00148,C00072,2023-07-12,2023-08-11,2023-09-19,523,DKK,paid_late,DK
INV00149,C00281,2023-07-12,2023-08-11,2023-07-26,4967,DKK,paid,DK
INV00150,C00037,2023-07-17,2023-08-16,2023-08-02,4229,DKK,paid,DK
INV00151,C00180,2023-07-07,2023-08-06,2023-07-16,4195,DKK,paid,DK
INV00152,C00210,2023-07-20,2023-08-19,2023-07-27,1913,DKK,paid,DK
INV00153,C00324,2023-07-22,2023-08-21,2023-08-16,5986,DKK,paid,DK
INV00154,C00243,2023-07-02,2023-08-01,2023-07-22,1756,DKK,paid,DK
INV00155,C00192,2023-07-14,2023-08-13,2023-08-24,1927,DKK,paid_late,DK
INV00156,C00022,2023-07-07,2023-08-06,2023-08-17,5331,DKK,paid_late,DK
INV00157,C00200,2023-07-20,2023-08-19,2023-08-14,3823,DKK,paid,DK
INV00158,C00083,2023-07-05,2023-08-04,2023-07-24,3185,DKK,paid,DK
INV00159,C00255,2023-07-26,2023-08-25,2023-08-01,492,DKK,paid,DK
INV00160,C00390,2023-07-03,2023-08-02,2023-07-12,705,DKK,paid,DK
INV00161,C00135,2023-07-01,2023-07-31,2023-07-23,774,DKK,paid,DK
INV00162,C00286,2023-07-16,2023-08-15,2023-08-01,4592,DKK,paid,DK
INV00163,C00069,2023-07-06,2023-08-05,2023-07-15,4323,DKK,paid,DK
INV00164,C00169,2023-07-05,2023-08-04,2023-07-31,4599,DKK,paid,DK
INV00165,C00309,2023-07-11,2023-08-10,2023-08-03,2233,DKK,paid,DK
INV00166,C00251,2023-07-03,2023-08-02,,4610,DKK,overdue,DK
INV00167,C00222,2023-07-11,2023-08-10,2023-08-01,4537,DKK,paid,DK
INV00168,C00262,2023-07-27,2023-08-26,2023-08-22,2081,DKK,paid,DK
INV00169,C00370,2023-08-15,2023-09-14,2023-09-24,8083,DKK,paid_late,DK
INV00170,C00301,2023-08-19,2023-09-18,2023-10-27,2455,DKK,paid_late,DK
INV00171,C00375,2023-08-22,2023-09-21,2023-09-08,3424,DKK,paid,DK
INV00172,C00062,2023-08-27,2023-09-26,2023-09-02,1926,DKK,paid,DK
INV00173,C00262,2023-08-07,2023-09-06,2023-09-30,4711,DKK,paid_late,DK
INV00174,C00105,2023-08-05,2023-09-04,,2013,DKK,overdue,DK
INV00175,C00138,2023-08-21,2023-09-20,2023-09-14,7743,DKK,paid,DK
INV00176,C00226,2023-08-20,2023-09-19,2023-09-17,8061,DKK,paid,DK
INV00177,C00124,2023-08-02,2023-09-01,2023-08-24,2907,DKK,paid,DK
INV00178,C00073,2023-08-02,2023-09-01,2023-08-20,3480,DKK,paid,DK
INV00179,C00180,2023-08-05,2023-09-04,2023-08-29,5937,DKK,paid,DK
INV00180,C00169,2023-08-08,2023-09-07,2023-08-25,2930,DKK,paid,DK
INV00181,C00284,2023-08-03,2023-09-02,2023-08-16,7395,DKK,paid,DK
INV00182,C00230,2023-08-16,2023-09-15,2023-10-19,8038,DKK,paid_late,DK
INV00183,C00155,2023-08-21,2023-09-20,2023-09-04,5070,DKK,paid,DK
INV00184,C00297,2023-08-24,2023-09-23,,2657,DKK,overdue,DK
INV00185,C00282,2023-08-04,2023-09-03,2023-08-25,2263,DKK,paid,DK
INV00186,C00381,2023-08-13,2023-09-12,2023-09-03,6317,DKK,paid,DK
INV00187,C00287,2023-08-01,2023-08-31,2023-08-23,7136,DKK,paid,DK
INV00188,C00369,2023-08-17,2023-09-16,2023-09-07,6530,DKK,paid,DK
INV00189,C00383,2023-08-02,2023-09-01,2023-08-25,1981,DKK,paid,DK
INV00190,C00239,2023-08-06,2023-09-05,2023-08-11,5302,DKK,paid,DK
INV00191,C00153,2023-08-13,2023-09-12,2023-08-27,6335,DKK,paid,DK
INV00192,C00252,2023-08-17,2023-09-16,2023-08-24,7211,DKK,paid,DK
INV00193,C00263,2023-09-16,2023-10-16,2023-10-07,859,DKK,paid,DK
INV00194,C00083,2023-09-07,2023-10-07,2023-09-19,7636,DKK,paid,DK
INV00195,C00423,2023-09-26,2023-10-26,2023-10-04,5675,DKK,paid,DK
INV00196,C00390,2023-09-11,2023-10-11,2023-10-02,2115,DKK,paid,DK
INV00197,C00094,2023-09-21,2023-10-21,2023-10-08,725,DKK,paid,DK
INV00198,C00461,2023-09-07,2023-10-07,2023-10-04,5511,DKK,paid,DK
INV00199,C00261,2023-09-05,2023-10-05,,7152,DKK,overdue,DK
INV00200,C00384,2023-09-12,2023-10-12,2023-10-03,7488,DKK,paid,DK
INV00201,C00137,2023-09-14,2023-10-14,2023-10-03,2233,DKK,paid,DK
INV00202,C00019,2023-09-21,2023-10-21,2023-10-08,2791,DKK,paid,DK
INV00203,C00269,2023-09-17,2023-10-17,2023-11-22,2322,DKK,paid_late,DK
INV00204,C00087,2023-09-08,2023-10-08,2023-09-25,6427,DKK,paid,DK
INV00205,C00349,2023-09-18,2023-10-18,,5715,DKK,overdue,DK
INV00206,C00395,2023-09-04,2023-10-04,2023-09-23,7866,DKK,paid,DK
INV00207,C00242,2023-09-11,2023-10-11,2023-09-16,8072,DKK,paid,DK
INV00208,C00357,2023-09-28,2023-10-28,2023-10-04,5236,DKK,paid,DK
INV00209,C00229,2023-09-10,2023-10-10,2023-10-07,8188,DKK,paid,DK
INV00210,C00404,2023-09-03,2023-10-03,2023-11-09,4586,DKK,paid_late,DK
INV00211,C00339,2023-09-17,2023-10-17,2023-10-20,5877,DKK,paid_late,DK
INV00212,C00317,2023-09-13,2023-10-13,2023-10-09,5656,DKK,paid,DK
INV00213,C00039,2023-09-23,2023-10-23,2023-10-09,7331,DKK,paid,DK
INV00214,C00290,2023-09-08,2023-10-08,2023-09-15,1397,DKK,paid,DK
INV00215,C00079,2023-09-25,2023-10-25,2023-11-14,5027,DKK,paid_late,DK
INV00216,C00089,2023-09-14,2023-10-14,2023-10-03,6778,DKK,paid,DK
INV00217,C00172,2023-10-16,2023-11-15,2023-11-03,7375,DKK,paid,DK
INV00218,C00247,2023-10-28,2023-11-27,2023-11-12,7706,DKK,paid,DK
INV00219,C00259,2023-10-20,2023-11-19,2023-11-11,1469,DKK,paid,DK
INV00220,C00036,2023-10-08,2023-11-07,2023-11-01,3753,DKK,paid,DK
INV00221,C00262,2023-10-23,2023-11-22,2023-12-04,681,DKK,paid_late,DK
INV00222,C00055,2023-10-10,2023-11-09,2023-11-03,2732,DKK,paid,DK
INV00223,C00281,2023-10-21,2023-11-20,2023-11-30,8054,DKK,paid_late,DK
INV00224,C00216,2023-10-25,2023-11-24,2023-12-20,7336,DKK,paid_late,DK
INV00225,C00123,2023-10-05,2023-11-04,2023-10-17,7795,DKK,paid,DK
INV00226,C00424,2023-10-07,2023-11-06,2023-10-29,7765,DKK,paid,DK
INV00227,C00053,2023-10-22,2023-11-21,2023-11-03,3688,DKK,paid,DK
INV00228,C00287,2023-10-16,2023-11-15,2023-10-26,784,DKK,paid,DK
INV00229,C00113,2023-10-02,2023-11-01,,4105,DKK,overdue,DK
INV00230,C00329,2023-10-05,2023-11-04,2023-11-26,4424,DKK,paid_late,DK
INV00231,C00396,2023-10-28,2023-11-27,2023-11-03,5823,DKK,paid,DK
INV00232,C00115,2023-10-19,2023-11-18,2023-11-14,1375,DKK,paid,DK
INV00233,C00179,2023-10-24,2023-11-23,2023-11-17,1107,DKK,paid,DK
INV00234,C00246,2023-10-07,2023-11-06,2023-10-13,2837,DKK,paid,DK
INV00235,C00074,2023-10-11,2023-11-10,2023-10-27,8085,DKK,paid,DK
INV00236,C00312,2023-10-20,2023-11-19,2023-10-26,465,DKK,paid,DK
INV00237,C00315,2023-10-07,2023-11-06,2023-10-23,7510,DKK,paid,DK
INV00238,C00021,2023-10-06,2023-11-05,2023-10-31,3403,DKK,paid,DK
INV00239,C00461,2023-10-16,2023-11-15,2023-11-10,7549,DKK,paid,DK
INV00240,C00097,2023-10-02,2023-11-01,2023-10-24,5163,DKK,paid,DK
INV00241,C00310,2023-11-21,2023-12-21,2023-12-11,7593,DKK,paid,DK
INV00242,C00340,2023-11-18,2023-12-18,2023-12-14,1406,DKK,paid,DK
INV00243,C00068,2023-11-28,2023-12-28,2023-12-25,1946,DKK,paid,DK
INV00244,C00335,2023-11-07,2023-12-07,2023-11-15,3854,DKK,paid,DK
INV00245,C00037,2023-11-01,2023-12-01,2023-12-16,4818,DKK,paid_late,DK
INV00246,C00331,2023-11-23,2023-12-23,2024-01-06,6578,DKK,paid_late,DK
INV00247,C00218,2023-11-22,2023-12-22,2023-12-08,2370,DKK,paid,DK
INV00248,C00047,2023-11-22,2023-12-22,2023-11-29,2791,DKK,paid,DK
INV00249,C00432,2023-11-01,2023-12-01,,1793,DKK,overdue,DK
INV00250,C00177,2023-11-24,2023-12-24,2023-12-02,2119,DKK,paid,DK
INV00251,C00410,2023-11-02,2023-12-02,2023-11-23,520,DKK,paid,DK
INV00252,C00032,2023-11-26,2023-12-26,2023-12-10,1715,DKK,paid,DK
INV00253,C00039,2023-11-15,2023-12-15,2023-12-03,4223,DKK,paid,DK
INV00254,C00470,2023-11-16,2023-12-16,2023-12-08,1230,DKK,paid,DK
INV00255,C00467,2023-11-06,2023-12-06,2023-12-03,4600,DKK,paid,DK
INV00256,C00122,2023-11-19,2023-12-19,2023-12-01,1481,DKK,paid,DK
INV00257,C00467,2023-11-08,2023-12-08,2023-11-21,3456,DKK,paid,DK
INV00258,C00087,2023-11-09,2023-12-09,,5819,DKK,overdue,DK
INV00259,C00333,2023-11-05,2023-12-05,2023-12-21,5807,DKK,paid_late,DK
INV00260,C00377,2023-11-03,2023-12-03,,4311,DKK,overdue,DK
INV00261,C00276,2023-11-22,2023-12-22,2023-12-12,1299,DKK,paid,DK
INV00262,C00413,2023-11-13,2023-12-13,2023-11-23,1315,DKK,paid,DK
INV00263,C00500,2023-11-24,2023-12-24,2024-01-13,1711,DKK,paid_late,DK
INV00264,C00182,2023-11-16,2023-12-16,2023-12-04,5736,DKK,paid,DK
INV00265,C00443,2023-12-04,2024-01-03,2023-12-17,967,DKK,paid,DK
INV00266,C00206,2023-12-02,2024-01-01,2023-12-30,2719,DKK,paid,DK
INV00267,C00195,2023-12-11,2024-01-10,2023-12-26,453,DKK,paid,DK
INV00268,C00292,2023-12-01,2023-12-31,2023-12-27,2486,DKK,paid,DK
INV00269,C00115,2023-12-25,2024-01-24,2024-01-01,6844,DKK,paid,DK
INV00270,C00179,2023-12-09,2024-01-08,2023-12-22,1419,DKK,paid,DK
INV00271,C00315,2023-12-13,2024-01-12,2023-12-21,7070,DKK,paid,DK
INV00272,C00251,2023-12-14,2024-01-13,2023-12-29,6813,DKK,paid,DK
INV00273,C00006,2023-12-15,2024-01-14,,5516,DKK,overdue,DK
INV00274,C00394,2023-12-05,2024-01-04,2023-12-16,4590,DKK,paid,DK
INV00275,C00238,2023-12-22,2024-01-21,2024-01-11,6985,DKK,paid,DK
INV00276,C00111,2023-12-06,2024-01-05,2023-12-31,1788,DKK,paid,DK
INV00277,C00383,2023-12-25,2024-01-24,2024-02-11,4013,DKK,paid_late,DK
INV00278,C00375,2023-12-15,2024-01-14,2023-12-20,2068,DKK,paid,DK
INV00279,C00139,2023-12-28,2024-01-27,2024-01-11,3300,DKK,paid,DK
INV00280,C00515,2023-12-23,2024-01-22,2023-12-30,891,DKK,paid,DK
INV00281,C00406,2023-12-04,2024-01-03,2024-01-18,6199,DKK,paid_late,DK
INV00282,C00102,2023-12-11,2024-01-10,2024-01-01,5957,DKK,paid,DK
INV00283,C00181,2023-12-06,2024-01-05,2024-01-15,3464,DKK,paid_late,DK
INV00284,C00144,2023-12-25,2024-01-24,2024-02-18,2563,DKK,paid_late,DK
INV00285,C00264,2023-12-18,2024-01-17,2024-01-10,7453,DKK,paid,DK
INV00286,C00222,2023-12-01,2023-12-31,2023-12-22,1409,DKK,paid,DK
INV00287,C00014,2023-12-07,2024-01-06,,6621,DKK,overdue,DK
INV00288,C00059,2023-12-04,2024-01-03,2023-12-21,7562,DKK,paid,DK
INV00289,C00474,2024-01-14,2024-02-13,2024-02-10,3995,DKK,paid,DK
INV00290,C00219,2024-01-17,2024-02-16,2024-01-22,2728,DKK,paid,DK
INV00291,C00095,2024-01-19,2024-02-18,2024-01-30,3969,DKK,paid,DK
INV00292,C00235,2024-01-26,2024-02-25,2024-02-07,6097,DKK,paid,DK
INV00293,C00222,2024-01-27,2024-02-26,2024-02-10,3401,DKK,paid,DK
INV00294,C00317,2024-01-12,2024-02-11,2024-01-31,5120,DKK,paid,DK
INV00295,C00336,2024-01-01,2024-01-31,2024-01-23,4003,DKK,paid,DK
INV00296,C00487,2024-01-10,2024-02-09,,1083,DKK,overdue,DK
INV00297,C00110,2024-01-16,2024-02-15,2024-03-17,3019,DKK,paid_late,DK
INV00298,C00288,2024-01-11,2024-02-10,2024-01-29,4673,DKK,paid,DK
INV00299,C00386,2024-01-19,2024-02-18,2024-02-15,2470,DKK,paid,DK
INV00300,C00156,2024-01-08,2024-02-07,2024-01-17,6243,DKK,paid,DK
INV00301,C00390,2024-01-09,2024-02-08,2024-01-26,2306,DKK,paid,DK
INV00302,C00108,2024-01-04,2024-02-03,2024-01-26,3064,DKK,paid,DK
INV00303,C00424,2024-01-18,2024-02-17,2024-02-11,415,DKK,paid,DK
INV00304,C00212,2024-01-19,2024-02-18,2024-02-12,6161,DKK,paid,DK
INV00305,C00170,2024-01-21,2024-02-20,2024-02-15,3578,DKK,paid,DK
INV00306,C00202,2024-01-07,2024-02-06,2024-02-25,826,DKK,paid_late,DK
INV00307,C00460,2024-01-20,2024-02-19,2024-01-29,1690,DKK,paid,DK
INV00308,C00510,2024-01-01,2024-01-31,2024-02-21,1506,DKK,paid_late,DK
INV00309,C00111,2024-01-09,2024-02-08,2024-02-12,7000,DKK,paid_late,DK
INV00310,C00142,2024-01-12,2024-02-11,,975,DKK,overdue,DK
INV00311,C00124,2024-01-15,2024-02-14,2024-01-26,815,DKK,paid,DK
INV00312,C00447,2024-01-03,2024-02-02,,2353,DKK,overdue,DK
INV00313,C00532,2024-02-25,2024-03-26,2024-03-06,1237,DKK,paid,DK
INV00314,C00523,2024-02-18,2024-03-19,,3428,DKK,overdue,DK
INV00315,C00245,2024-02-21,2024-03-22,2024-03-14,705,DKK,paid,DK
INV00316,C00294,2024-02-15,2024-03-16,2024-02-27,2274,DKK,paid,DK
INV00317,C00022,2024-02-03,2024-03-04,,7863,DKK,overdue,DK
INV00318,C00553,2024-02-26,2024-03-27,,3305,DKK,overdue,DK
INV00319,C00208,2024-02-21,2024-03-22,2024-04-22,2662,DKK,paid_late,DK
INV00320,C00546,2024-02-13,2024-03-14,2024-03-08,7599,DKK,paid,DK
INV00321,C00472,2024-02-23,2024-03-24,2024-03-12,3182,DKK,paid,DK
INV00322,C00503,2024-02-22,2024-03-23,2024-04-30,897,DKK,paid_late,DK
INV00323,C00292,2024-02-03,2024-03-04,2024-02-18,7968,DKK,paid,DK
INV00324,C00151,2024-02-05,2024-03-06,2024-03-02,8144,DKK,paid,DK
INV00325,C00505,2024-02-22,2024-03-23,2024-03-18,724,DKK,paid,DK
INV00326,C00384,2024-02-20,2024-03-21,2024-03-19,3465,DKK,paid,DK
