subscription_id,customer_id,plan_type,start_date,end_date,churn_date,churn_reason,mrr,country
S00100,C00100,enterprise,2022-05-14,,,,4412,DK
S00101,C00101,basic,2022-05-23,,,,618,DK
S00102,C00102,enterprise,2022-05-11,,,,7797,DK
S00103,C00103,basic,2022-05-03,,,,597,DK
S00104,C00104,premium,2022-05-04,,,,1205,DK
S00105,C00105,basic,2022-05-02,,,,633,DK
S00106,C00106,premium,2022-05-14,2022-11-24,2022-11-24,price_too_high,1348,DK
S00107,C00107,premium,2022-05-16,,,,1944,DK
S00108,C00108,premium,2022-05-22,2022-10-02,2022-10-02,competitor,1589,DK
S00109,C00109,premium,2022-05-19,,,,2413,DK
S00110,C00110,basic,2022-05-28,,,,742,DK
S00111,C00111,basic,2022-06-10,,,,636,DK
S00112,C00112,basic,2022-06-11,,,,517,DK
S00113,C00113,enterprise,2022-06-17,2023-01-14,2023-01-14,competitor,5905,DK
S00114,C00114,premium,2022-06-26,,,,1288,DK
S00115,C00115,premium,2022-06-28,,,,2619,DK
S00116,C00116,premium,2022-06-15,,,,1536,DK
S00117,C00117,basic,2022-06-22,,,,737,DK
S00118,C00118,enterprise,2022-06-21,,,,6275,DK
S00119,C00119,enterprise,2022-06-02,,,,7835,DK
S00120,C00120,basic,2022-06-13,,,,726,DK
S00121,C00121,basic,2022-06-21,,,,658,DK
S00122,C00122,basic,2022-06-23,,,,570,DK
S00123,C00123,enterprise,2022-06-18,2022-07-31,2022-07-31,not_using,4296,DK
S00124,C00124,premium,2022-06-07,,,,1043,DK
S00125,C00125,basic,2022-06-26,,,,733,DK
S00126,C00126,premium,2022-06-25,,,,1005,DK
S00127,C00127,basic,2022-06-09,,,,463,DK
S00128,C00128,basic,2022-06-11,2023-01-07,2023-01-07,price_too_high,514,DK
S00129,C00129,basic,2022-06-16,2022-07-17,2022-07-17,not_using,753,DK
S00130,C00130,enterprise,2022-06-26,,,,6270,DK
S00131,C00131,basic,2022-06-28,,,,701,DK
S00132,C00132,basic,2022-06-03,,,,514,DK
S00133,C00133,premium,2022-07-14,2023-01-25,2023-01-25,competitor,1640,DK
S00134,C00134,basic,2022-07-03,,,,671,DK
S00135,C00135,premium,2022-07-18,,,,2150,DK
S00136,C00136,premium,2022-07-28,2023-01-17,2023-01-17,competitor,2777,DK
S00137,C00137,basic,2022-07-12,,,,529,DK
S00138,C00138,premium,2022-07-12,,,,2561,DK
S00139,C00139,premium,2022-07-25,,,,2316,DK
S00140,C00140,basic,2022-07-01,,,,608,DK
S00141,C00141,premium,2022-07-06,,,,1820,DK
S00142,C00142,basic,2022-07-24,,,,682,DK
S00143,C00143,enterprise,2022-07-25,,,,4230,DK
S00144,C00144,basic,2022-07-09,,,,760,DK
S00145,C00145,basic,2022-07-04,,,,797,DK
S00146,C00146,basic,2022-07-22,,,,756,DK
S00147,C00147,basic,2022-07-25,2022-09-16,2022-09-16,competitor,617,DK
S00148,C00148,premium,2022-07-18,,,,2706,DK
S00149,C00149,basic,2022-07-13,,,,459,DK
S00150,C00150,basic,2022-07-14,,,,663,DK
S00151,C00151,premium,2022-07-06,,,,2703,DK
S00152,C00152,premium,2022-07-14,,,,2206,DK
S00153,C00153,basic,2022-07-24,,,,536,DK
S00154,C00154,premium,2022-07-17,,,,1719,DK
S00155,C00155,basic,2022-08-26,,,,709,DK
S00156,C00156,basic,2022-08-02,,,,780,DK
S00157,C00157,basic,2022-08-20,,,,733,DK
S00158,C00158,basic,2022-08-26,,,,759,DK
S00159,C00159,premium,2022-08-04,2022-10-26,2022-10-26,not_using,2462,DK
S00160,C00160,enterprise,2022-08-15,,,,5100,DK
S00161,C00161,basic,2022-08-25,,,,773,DK
S00162,C00162,basic,2022-08-04,,,,579,DK
S00163,C00163,basic,2022-08-11,,,,629,DK
S00164,C00164,basic,2022-08-20,,,,736,DK
S00165,C00165,premium,2022-08-03,,,,1741,DK
S00166,C00166,enterprise,2022-08-11,,,,5655,DK
S00167,C00167,basic,2022-08-10,,,,726,DK
S00168,C00168,premium,2022-08-22,,,,1268,DK
S00169,C00169,premium,2022-08-06,,,,2656,DK
S00170,C00170,basic,2022-08-14,,,,677,DK
S00171,C00171,premium,2022-08-18,,,,2606,DK
S00172,C00172,basic,2022-08-15,,,,645,DK
S00173,C00173,enterprise,2022-08-26,,,,4227,DK
S00174,C00174,premium,2022-08-04,,,,1255,DK
S00175,C00175,basic,2022-08-17,,,,563,DK
S00176,C00176,basic,2022-08-14,,,,570,DK
S00177,C00177,premium,2022-09-04,,,,1249,DK
S00178,C00178,premium,2022-09-03,,,,2222,DK
S00179,C00179,premium,2022-09-08,,,,1003,DK
S00180,C00180,basic,2022-09-14,,,,718,DK
S00181,C00181,premium,2022-09-18,,,,2134,DK
S00182,C00182,basic,2022-09-12,,,,484,DK
S00183,C00183,basic,2022-09-24,,,,630,DK
S00184,C00184,basic,2022-09-23,2022-12-03,2022-12-03,price_too_high,519,DK
S00185,C00185,basic,2022-09-26,,,,608,DK
S00186,C00186,premium,2022-09-02,,,,1731,DK
S00187,C00187,basic,2022-09-09,,,,654,DK
S00188,C00188,basic,2022-09-06,,,,715,DK
S00189,C00189,premium,2022-09-14,,,,2117,DK
S00190,C00190,basic,2022-09-22,,,,668,DK
S00191,C00191,enterprise,2022-09-02,,,,7363,DK
S00192,C00192,premium,2022-09-12,,,,1327,DK
S00193,C00193,basic,2022-09-22,,,,484,DK
S00194,C00194,premium,2022-09-13,,,,1314,DK
S00195,C00195,premium,2022-09-15,,,,2084,DK
S00196,C00196,basic,2022-09-04,,,,715,DK
S00197,C00197,basic,2022-09-25,,,,763,DK
S00198,C00198,premium,2022-09-05,,,,2460,DK
S00199,C00199,basic,2022-10-20,,,,653,DK
S00200,C00200,premium,2022-10-14,,,,1151,DK
S00201,C00201,premium,2022-10-15,,,,2798,DK
S00202,C00202,basic,2022-10-06,,,,707,DK
S00203,C00203,basic,2022-10-17,,,,615,DK
S00204,C00204,premium,2022-10-17,,,,1513,DK
S00205,C00205,basic,2022-10-21,,,,707,DK
S00206,C00206,basic,2022-10-05,2022-11-14,2022-11-14,price_too_high,759,DK
S00207,C00207,premium,2022-10-21,,,,1431,DK
S00208,C00208,premium,2022-10-21,,,,2117,DK
S00209,C00209,premium,2022-10-26,2023-03-01,2023-03-01,competitor,1928,DK
S00210,C00210,basic,2022-10-15,,,,610,DK
S00211,C00211,basic,2022-10-13,2023-01-09,2023-01-09,competitor,737,DK
S00212,C00212,basic,2022-10-08,,,,646,DK
S00213,C00213,enterprise,2022-10-28,,,,6361,DK
S00214,C00214,basic,2022-10-15,,,,461,DK
S00215,C00215,basic,2022-10-08,,,,475,DK
S00216,C00216,basic,2022-10-18,,,,518,DK
S00217,C00217,basic,2022-10-12,,,,737,DK
S00218,C00218,premium,2022-10-13,,,,1572,DK
S00219,C00219,basic,2022-10-04,,,,641,DK
S00220,C00220,premium,2022-10-12,,,,2042,DK
S00221,C00221,premium,2022-11-16,2023-06-27,2023-06-27,not_using,2379,DK
S00222,C00222,basic,2022-11-28,2023-02-14,2023-02-14,not_using,692,DK
S00223,C00223,basic,2022-11-02,,,,772,DK
S00224,C00224,basic,2022-11-27,,,,506,DK
S00225,C00225,basic,2022-11-05,,,,706,DK
S00226,C00226,basic,2022-11-23,,,,616,DK
S00227,C00227,basic,2022-11-13,,,,722,DK
S00228,C00228,basic,2022-11-16,,,,735,DK
S00229,C00229,premium,2022-11-23,,,,1714,DK
S00230,C00230,basic,2022-11-04,,,,652,DK
S00231,C00231,basic,2022-11-02,,,,627,DK
S00232,C00232,basic,2022-11-07,,,,737,DK
S00233,C00233,premium,2022-11-20,,,,1103,DK
S00234,C00234,basic,2022-11-21,,,,619,DK
S00235,C00235,enterprise,2022-11-01,,,,5093,DK
S00236,C00236,enterprise,2022-11-25,,,,4284,DK
S00237,C00237,premium,2022-11-08,,,,1076,DK
S00238,C00238,premium,2022-11-27,,,,2712,DK
S00239,C00239,basic,2022-11-02,,,,504,DK
S00240,C00240,enterprise,2022-11-15,,,,7846,DK
S00241,C00241,premium,2022-11-15,,,,1677,DK
S00242,C00242,premium,2022-11-01,,,,2162,DK
S00243,C00243,basic,2022-12-10,,,,583,DK
S00244,C00244,basic,2022-12-22,,,,657,DK
S00245,C00245,enterprise,2022-12-21,,,,5609,DK
S00246,C00246,premium,2022-12-15,,,,1851,DK
S00247,C00247,premium,2022-12-26,,,,1506,DK
S00248,C00248,basic,2022-12-17,,,,489,DK
S00249,C00249,basic,2022-12-27,,,,743,DK
S00250,C00250,basic,2022-12-15,2023-04-30,2023-04-30,price_too_high,748,DK
S00251,C00251,basic,2022-12-17,,,,736,DK
S00252,C00252,premium,2022-12-09,,,,2184,DK
S00253,C00253,enterprise,2022-12-18,,,,4365,DK
S00254,C00254,premium,2022-12-10,,,,2568,DK
S00255,C00255,premium,2022-12-13,,,,1773,DK
S00256,C00256,basic,2022-12-21,2023-07-22,2023-07-22,price_too_high,725,DK
S00257,C00257,basic,2022-12-10,,,,667,DK
S00258,C00258,basic,2022-12-12,,,,507,DK
S00259,C00259,enterprise,2022-12-25,2023-05-08,2023-05-08,not_using,5771,DK
S00260,C00260,basic,2022-12-22,,,,472,DK
S00261,C00261,basic,2022-12-25,,,,707,DK
S00262,C00262,premium,2022-12-11,,,,2676,DK
S00263,C00263,basic,2022-12-08,,,,735,DK
S00264,C00264,premium,2022-12-18,,,,2317,DK
S00265,C00265,basic,2023-01-09,,,,680,DK
S00266,C00266,basic,2023-01-24,,,,643,DK
S00267,C00267,premium,2023-01-28,,,,2203,DK
S00268,C00268,premium,2023-01-16,2023-03-25,2023-03-25,not_using,1620,DK
S00269,C00269,premium,2023-01-04,,,,1496,DK
S00270,C00270,premium,2023-01-08,,,,1779,DK
S00271,C00271,premium,2023-01-09,,,,1954,DK
S00272,C00272,basic,2023-01-07,,,,738,DK
S00273,C00273,basic,2023-01-09,2023-05-06,2023-05-06,not_using,663,DK
S00274,C00274,basic,2023-01-27,,,,800,DK
S00275,C00275,premium,2023-01-06,2023-06-13,2023-06-13,not_using,1286,DK
S00276,C00276,premium,2023-01-02,,,,1152,DK
S00277,C00277,basic,2023-01-14,,,,484,DK
S00278,C00278,basic,2023-01-17,,,,776,DK
S00279,C00279,basic,2023-01-22,,,,732,DK
S00280,C00280,premium,2023-01-18,,,,2665,DK
S00281,C00281,enterprise,2023-01-04,,,,5774,DK
S00282,C00282,basic,2023-01-09,,,,657,DK
S00283,C00283,basic,2023-01-22,,,,782,DK
S00284,C00284,basic,2023-01-13,,,,776,DK
S00285,C00285,premium,2023-01-28,,,,2158,DK
S00286,C00286,premium,2023-01-02,,,,2417,DK
S00287,C00287,basic,2023-02-13,,,,490,DK
S00288,C00288,basic,2023-02-14,,,,759,DK
S00289,C00289,basic,2023-02-25,,,,680,DK
S00290,C00290,basic,2023-02-14,,,,644,DK
S00291,C00291,basic,2023-02-23,,,,644,DK
S00292,C00292,basic,2023-02-11,,,,607,DK
S00293,C00293,basic,2023-02-03,,,,734,DK
S00294,C00294,basic,2023-02-12,,,,616,DK
S00295,C00295,basic,2023-02-14,,,,736,DK
S00296,C00296,basic,2023-02-17,,,,521,DK
S00297,C00297,basic,2023-02-03,,,,603,DK
S00298,C00298,premium,2023-02-08,,,,2262,DK
S00299,C00299,enterprise,2023-02-01,,,,6912,DK
S00300,C00300,premium,2023-02-11,,,,2333,DK
S00301,C00301,premium,2023-02-11,2023-09-07,2023-09-07,not_using,1981,DK
S00302,C00302,basic,2023-02-21,,,,574,DK
S00303,C00303,premium,2023-02-04,,,,2117,DK
S00304,C00304,premium,2023-02-23,,,,2702,DK
S00305,C00305,premium,2023-02-05,,,,2348,DK
S00306,C00306,enterprise,2023-02-15,,,,7083,DK
S00307,C00307,premium,2023-02-02,,,,2663,DK
S00308,C00308,basic,2023-02-25,,,,535,DK
S00309,C00309,basic,2023-03-16,,,,493,DK
S00310,C00310,premium,2023-03-10,,,,2067,DK
S00311,C00311,premium,2023-03-24,,,,1614,DK
S00312,C00312,basic,2023-03-28,,,,534,DK
S00313,C00313,basic,2023-03-06,,,,668,DK
S00314,C00314,basic,2023-03-21,,,,671,DK
S00315,C00315,basic,2023-03-15,2023-04-30,2023-04-30,not_using,559,DK
S00316,C00316,basic,2023-03-06,,,,508,DK
S00317,C00317,basic,2023-03-20,,,,508,DK
S00318,C00318,premium,2023-03-27,,,,2258,DK
S00319,C00319,basic,2023-03-04,,,,641,DK
S00320,C00320,basic,2023-03-14,,,,666,DK
S00321,C00321,basic,2023-03-18,,,,545,DK
S00322,C00322,basic,2023-03-28,,,,519,DK
S00323,C00323,basic,2023-03-21,2023-05-22,2023-05-22,price_too_high,662,DK
S00324,C00324,premium,2023-03-19,2023-05-21,2023-05-21,competitor,1598,DK
S00325,C00325,premium,2023-03-19,2023-10-23,2023-10-23,not_using,2125,DK
S00326,C00326,enterprise,2023-03-27,,,,4140,DK
S00327,C00327,premium,2023-03-07,,,,2699,DK
S00328,C00328,enterprise,2023-03-28,,,,6655,DK
S00329,C00329,enterprise,2023-03-28,,,,5741,DK
S00330,C00330,premium,2023-03-28,,,,1339,DK
S00331,C00331,premium,2023-04-23,,,,2456,DK
S00332,C00332,basic,2023-04-05,,,,662,DK
S00333,C00333,premium,2023-04-17,,,,2796,DK
S00334,C00334,premium,2023-04-01,,,,1190,DK
S00335,C00335,basic,2023-04-28,2023-07-25,2023-07-25,competitor,561,DK
S00336,C00336,basic,2023-04-27,2023-11-07,2023-11-07,price_too_high,516,DK
S00337,C00337,premium,2023-04-02,,,,1941,DK
S00338,C00338,enterprise,2023-04-01,2023-06-30,2023-06-30,price_too_high,4880,DK
S00339,C00339,basic,2023-04-21,2023-08-20,2023-08-20,not_using,790,DK
S00340,C00340,premium,2023-04-10,,,,1879,DK
S00341,C00341,basic,2023-04-07,,,,565,DK
S00342,C00342,basic,2023-04-23,,,,666,DK
S00343,C00343,premium,2023-04-08,,,,1209,DK
S00344,C00344,premium,2023-04-13,,,,1272,DK
S00345,C00345,basic,2023-04-17,,,,534,DK
S00346,C00346,premium,2023-04-14,,,,1444,DK
S00347,C00347,premium,2023-04-19,,,,1879,DK
S00348,C00348,basic,2023-04-21,,,,757,DK
S00349,C00349,enterprise,2023-04-28,,,,5483,DK
S00350,C00350,premium,2023-04-10,,,,2625,DK
S00351,C00351,basic,2023-04-04,,,,486,DK
S00352,C00352,premium,2023-04-05,,,,1861,DK
S00353,C00353,basic,2023-05-09,2023-08-20,2023-08-20,competitor,554,DK
S00354,C00354,premium,2023-05-19,,,,2394,DK
S00355,C00355,premium,2023-05-24,,,,1500,DK
S00356,C00356,premium,2023-05-20,,,,2518,DK
S00357,C00357,premium,2023-05-01,,,,1335,DK
S00358,C00358,premium,2023-05-26,,,,1761,DK
S00359,C00359,premium,2023-05-11,2023-09-24,2023-09-24,not_using,1130,DK
S00360,C00360,premium,2023-05-12,,,,1341,DK
S00361,C00361,premium,2023-05-22,,,,2042,DK
S00362,C00362,premium,2023-05-16,,,,1366,DK
S00363,C00363,enterprise,2023-05-26,,,,7235,DK
S00364,C00364,premium,2023-05-09,,,,1244,DK
S00365,C00365,basic,2023-05-26,,,,655,DK
S00366,C00366,basic,2023-05-11,,,,638,DK
S00367,C00367,basic,2023-05-08,,,,702,DK
S00368,C00368,basic,2023-05-25,,,,659,DK
S00369,C00369,basic,2023-05-11,,,,607,DK
S00370,C00370,enterprise,2023-05-16,,,,4966,DK
S00371,C00371,premium,2023-05-08,,,,2435,DK
S00372,C00372,basic,2023-05-19,,,,651,DK
S00373,C00373,premium,2023-05-22,2023-08-31,2023-08-31,competitor,1534,DK
S00374,C00374,premium,2023-05-09,2023-07-07,2023-07-07,price_too_high,1278,DK
S00375,C00375,basic,2023-06-05,,,,632,DK
S00376,C00376,premium,2023-06-27,,,,1828,DK
S00377,C00377,basic,2023-06-08,,,,521,DK
S00378,C00378,premium,2023-06-07,2023-11-24,2023-11-24,competitor,2290,DK
S00379,C00379,premium,2023-06-27,,,,1404,DK
S00380,C00380,enterprise,2023-06-03,,,,6516,DK
S00381,C00381,premium,2023-06-19,,,,2016,DK
S00382,C00382,basic,2023-06-12,,,,593,DK
S00383,C00383,premium,2023-06-20,,,,2021,DK
S00384,C00384,basic,2023-06-03,,,,552,DK
S00385,C00385,enterprise,2023-06-21,2023-11-27,2023-11-27,competitor,3959,DK
S00386,C00386,enterprise,2023-06-12,,,,6981,DK
S00387,C00387,premium,2023-06-08,,,,1575,DK
S00388,C00388,basic,2023-06-25,,,,531,DK
S00389,C00389,enterprise,2023-06-18,,,,4258,DK
S00390,C00390,enterprise,2023-06-28,,,,5223,DK
S00391,C00391,basic,2023-06-19,,,,740,DK
S00392,C00392,enterprise,2023-06-27,,,,7832,DK
S00393,C00393,basic,2023-06-03,,,,460,DK
S00394,C00394,premium,2023-06-07,,,,1363,DK
S00395,C00395,basic,2023-06-01,,,,522,DK
S00396,C00396,premium,2023-06-03,,,,1810,DK
S00397,C00397,enterprise,2023-07-06,2023-08-31,2023-08-31,competitor,5609,DK
S00398,C00398,basic,2023-07-24,,,,613,DK
S00399,C00399,basic,2023-07-01,,,,484,DK
S00400,C00400,basic,2023-07-13,,,,535,DK
S00401,C00401,basic,2023-07-12,,,,695,DK
S00402,C00402,premium,2023-07-06,2023-08-13,2023-08-13,competitor,1068,DK
S00403,C00403,basic,2023-07-06,,,,488,DK
S00404,C00404,premium,2023-07-20,,,,1883,DK
S00405,C00405,basic,2023-07-14,,,,555,DK
S00406,C00406,enterprise,2023-07-24,,,,6106,DK
S00407,C00407,basic,2023-07-19,,,,477,DK
S00408,C00408,premium,2023-07-27,,,,1408,DK
S00409,C00409,basic,2023-07-03,,,,653,DK
S00410,C00410,basic,2023-07-21,,,,645,DK
S00411,C00411,basic,2023-07-15,,,,587,DK
S00412,C00412,premium,2023-07-03,,,,1847,DK
S00413,C00413,basic,2023-07-18,,,,717,DK
S00414,C00414,basic,2023-07-08,,,,467,DK
S00415,C00415,premium,2023-07-05,,,,1354,DK
S00416,C00416,basic,2023-07-26,,,,490,DK
S00417,C00417,premium,2023-07-27,,,,1528,DK
S00418,C00418,basic,2023-07-13,,,,591,DK
S00419,C00419,basic,2023-08-09,,,,798,DK
S00420,C00420,basic,2023-08-11,2023-11-25,2023-11-25,competitor,693,DK
S00421,C00421,basic,2023-08-10,2024-03-07,2024-03-07,competitor,800,DK
S00422,C00422,premium,2023-08-25,,,,1853,DK
S00423,C00423,premium,2023-08-15,,,,2517,DK
S00424,C00424,basic,2023-08-17,,,,709,DK
S00425,C00425,premium,2023-08-06,,,,2714,DK
S00426,C00426,premium,2023-08-12,,,,2686,DK
S00427,C00427,basic,2023-08-08,,,,540,DK
S00428,C00428,basic,2023-08-18,,,,582,DK
S00429,C00429,basic,2023-08-01,,,,742,DK
S00430,C00430,basic,2023-08-21,,,,783,DK
S00431,C00431,premium,2023-08-05,2023-12-11,2023-12-11,competitor,1017,DK
S00432,C00432,basic,2023-08-28,,,,688,DK
S00433,C00433,basic,2023-08-19,,,,789,DK
S00434,C00434,basic,2023-08-21,,,,800,DK
S00435,C00435,basic,2023-08-21,,,,785,DK
S00436,C00436,basic,2023-08-05,,,,479,DK
S00437,C00437,basic,2023-08-22,,,,463,DK
S00438,C00438,premium,2023-08-14,,,,2194,DK
S00439,C00439,premium,2023-08-11,,,,2094,DK
S00440,C00440,basic,2023-08-17,,,,786,DK
S00441,C00441,premium,2023-09-28,,,,2271,DK
S00442,C00442,premium,2023-09-28,,,,1846,DK
S00443,C00443,basic,2023-09-11,,,,684,DK
S00444,C00444,premium,2023-09-16,2023-12-15,2023-12-15,price_too_high,1641,DK
S00445,C00445,premium,2023-09-25,,,,1324,DK
S00446,C00446,premium,2023-09-14,,,,1977,DK
S00447,C00447,basic,2023-09-24,,,,614,DK
S00448,C00448,premium,2023-09-01,,,,1509,DK
S00449,C00449,basic,2023-09-04,,,,535,DK
S00450,C00450,premium,2023-09-15,,,,1691,DK
S00451,C00451,basic,2023-09-16,,,,656,DK
S00452,C00452,basic,2023-09-24,,,,513,DK
S00453,C00453,basic,2023-09-21,,,,474,DK
S00454,C00454,basic,2023-09-21,,,,509,DK
S00455,C00455,basic,2023-09-09,,,,772,DK
S00456,C00456,premium,2023-09-09,,,,1857,DK
S00457,C00457,premium,2023-09-24,,,,2607,DK
S00458,C00458,basic,2023-09-25,,,,553,DK
S00459,C00459,premium,2023-09-02,,,,2409,DK
S00460,C00460,basic,2023-09-01,,,,506,DK
S00461,C00461,basic,2023-09-03,,,,501,DK
S00462,C00462,basic,2023-09-10,,,,539,DK
S00463,C00463,basic,2023-10-15,,,,694,DK
S00464,C00464,basic,2023-10-05,,,,531,DK
S00465,C00465,basic,2023-10-22,,,,633,DK
S00466,C00466,basic,2023-10-16,,,,473,DK
S00467,C00467,premium,2023-10-23,,,,2522,DK
S00468,C00468,premium,2023-10-22,,,,2409,DK
S00469,C00469,premium,2023-10-22,,,,2359,DK
S00470,C00470,enterprise,2023-10-27,,,,4247,DK
S00471,C00471,basic,2023-10-28,,,,701,DK
S00472,C00472,basic,2023-10-17,,,,656,DK
S00473,C00473,premium,2023-10-15,,,,2754,DK
S00474,C00474,basic,2023-10-24,,,,661,DK
S00475,C00475,premium,2023-10-26,2024-04-30,2024-04-30,not_using,1623,DK
S00476,C00476,enterprise,2023-10-15,,,,4244,DK
S00477,C00477,premium,2023-10-18,,,,2467,DK
S00478,C00478,premium,2023-10-04,,,,1699,DK
S00479,C00479,basic,2023-10-17,2024-01-10,2024-01-10,not_using,534,DK
S00480,C00480,premium,2023-10-07,2024-05-07,2024-05-07,competitor,1804,DK
S00481,C00481,enterprise,2023-10-02,,,,4809,DK
S00482,C00482,basic,2023-10-22,2024-02-29,2024-02-29,not_using,705,DK
S00483,C00483,enterprise,2023-10-16,,,,5251,DK
S00484,C00484,basic,2023-10-04,,,,614,DK
S00485,C00485,premium,2023-11-20,2024-04-26,2024-04-26,not_using,2377,DK
S00486,C00486,basic,2023-11-21,,,,630,DK
